split,fold,k,station,n_products,W_tr,W_te,T_s_stored,Tn,ratio_asrun,ratio_norm,share,flag_asrun,flag_norm,flag_train_viol
cv,r0f2,2,GARE9,60,76133.0,18993.0,76450.0,19087,0.24843688685415305,0.9950751820610887,0.13682534651182895,0,0,0
cv,r0f2,2,GARE10,60,55054.0,13502.0,76450.0,19087,0.17661216481360367,0.7073924660763871,0.09726824770192778,0,0,0
cv,r0f2,2,GARE11,60,67221.0,16206.0,76450.0,19087,0.21198168737737083,0.8490595693403887,0.11674783159957353,0,0,0
cv,r0f3,1,GARE4,60,42241.0,10402.0,76453.0,19085,0.1360574470589774,0.5450353680901231,0.07494452289691346,0,0,0
cv,r0f3,1,GARE5,60,70479.0,17589.0,76453.0,19085,0.23006291447032817,0.9216138328530259,0.126725554050549,0,0,0
cv,r0f3,1,GARE6,60,76406.0,19323.0,76453.0,19085,0.2527435156239781,1.0124705265915641,0.13921870947289547,0,1,0
cv,r0f3,1,GARE7,60,76394.0,19222.0,76453.0,19085,0.25142244254640106,1.0071784123657324,0.138491022796046,0,1,0
cv,r0f3,1,GARE8,60,76198.0,19032.0,76453.0,19085,0.24893725556878082,0.9972229499607022,0.13712210726533905,0,0,0
cv,r0f3,1,GARE9,60,61614.0,15035.0,76453.0,19085,0.19665676951852773,0.7877914592611999,0.1083244473904147,0,0,0
cv,r0f3,1,GARE10,60,76292.0,18928.0,76453.0,19085,0.24757694269682026,0.9917736442232119,0.13637280613274158,0,0,0
cv,r0f3,1,GARE11,60,76392.0,19265.0,76453.0,19085,0.2519848795992309,1.0094314906995023,0.1388008299951007,0,1,0
cv,r0f3,2,GARE4,60,66770.0,16909.0,76453.0,19085,0.22116856107673996,0.8859837568771286,0.1218262774143347,0,0,0
cv,r0f3,2,GARE5,60,75507.0,18889.0,76453.0,19085,0.24706682536983507,0.9897301545716531,0.13609181820801752,0,0,0
cv,r0f3,2,GARE6,60,73545.0,18402.0,76453.0,19085,0.24069689874825057,0.9642127325124443,0.13258307155825816,0,0,0
cv,r0f3,2,GARE7,60,49920.0,12085.0,76453.0,19085,0.15807097170810824,0.6332198061304689,0.08707023257154385,0,0,0
cv,r0f3,2,GARE8,60,73893.0,18634.0,76453.0,19085,0.2437314428472395,0.9763688760806917,0.13425458946943716,0,0,0
cv,r0f3,2,GARE9,60,65223.0,16090.0,76453.0,19085,0.21045609721005062,0.8430704741943935,0.11592553099512955,0,0,0
cv,r0f3,2,GARE10,60,74733.0,18617.0,76453.0,19085,0.24350908401239976,0.9754781241812942,0.1341321075535318,0,0,0
cv,r0f3,2,GARE11,60,76425.0,19170.0,76453.0,19085,0.25074228611042076,1.0044537594969871,0.13811637222974726,0,1,0
cv,r0f4,1,GARE4,60,58194.0,14533.0,76422.0,19116,0.1901677527413572,0.7602531910441515,0.10453741134496698,0,0,0
cv,r0f4,1,GARE5,60,68333.0,17224.0,76422.0,19116,0.22538012614168695,0.9010253191044152,0.12389405993296025,0,0,0
cv,r0f4,1,GARE6,60,76334.0,18935.0,76422.0,19116,0.24776896705137263,0.9905314919439213,0.13620146451640747,0,0,0
cv,r0f4,1,GARE7,60,64708.0,16459.0,76422.0,19116,0.21536991965664337,0.8610064867127014,0.11839133374573808,0,0,0
cv,r0f4,1,GARE8,60,76375.0,19122.0,76422.0,19116,0.2502159064143833,1.000313873195229,0.1375465753621729,0,1,0
cv,r0f4,1,GARE9,60,76108.0,19012.0,76422.0,19116,0.24877653031849467,0.9945595312826951,0.13675533368819323,0,0,0
cv,r0f4,1,GARE10,60,60931.0,15099.0,76422.0,19116,0.19757399701656592,0.7898618957940992,0.10860870941289867,0,0,0
cv,r0f4,1,GARE11,60,74807.0,18638.0,76422.0,19116,0.24388265159247338,0.9749947687800795,0.1340651119966624,0,0,0
cv,r0f4,2,GARE4,60,76354.0,19090.0,76422.0,19116,0.24979717882285205,0.9986398828206737,0.1373163959661061,0,0,0
cv,r0f4,2,GARE5,60,75852.0,19084.0,76422.0,19116,0.24971866739943996,0.9983260096254446,0.13727323732934354,0,0,0
cv,r0f4,2,GARE6,60,75023.0,18711.0,76422.0,19116,0.244837873910654,0.9788135593220338,0.13459020874393982,0,0,0
cv,r0f4,2,GARE7,60,51988.0,13102.0,76422.0,19116,0.17144277825756982,0.6853944339820046,0.09424407647710434,0,0,0
cv,r0f4,2,GARE8,60,70156.0,17876.0,76422.0,19116,0.23391170081913584,0.9351328729859804,0.1285839651278215,0,0,0
cv,r0f4,2,GARE9,60,74521.0,18411.0,76422.0,19116,0.24091230274004868,0.9631198995605775,0.13243227690581347,0,0,0
cv,r0f4,2,GARE10,60,67647.0,16651.0,76422.0,19116,0.21788228520583078,0.8710504289600335,0.11977241012213895,0,0,0
cv,r0f4,2,GARE11,60,64249.0,16097.0,76422.0,19116,0.21063306377744628,0.842069470600544,0.1157874293277323,0,0,0
temporal,r0f0,1,GARE4,60,45346.0,36116.0,45365.0,50173,0.7961203571034939,0.7198293903095291,0.09897723161921884,0,0,0
temporal,r0f0,1,GARE5,60,45154.0,53281.0,45365.0,50173,1.174495756640582,1.061945667988759,0.14601854795391514,1,1,0
temporal,r0f0,1,GARE6,60,39645.0,32312.0,45365.0,50173,0.7122671663176458,0.6440117194507006,0.0885522291527356,0,0,0
temporal,r0f0,1,GARE7,60,41115.0,51414.0,45365.0,50173,1.1333406811418494,1.0247344189105694,0.14090196551308332,1,1,0
temporal,r0f0,1,GARE8,60,29263.0,26704.0,45365.0,50173,0.5886476358426099,0.5322384549458873,0.07318329807175822,0,0,0
temporal,r0f0,1,GARE9,60,44960.0,48222.0,45365.0,50173,1.0629780667915794,0.9611145436788711,0.13215417164530874,1,0,0
temporal,r0f0,1,GARE10,60,45361.0,86019.0,45365.0,50173,1.8961534222418164,1.714448009885795,0.2357382458371244,1,1,0
temporal,r0f0,1,GARE11,60,39076.0,30824.0,45365.0,50173,0.6794665491017304,0.6143543340043449,0.08447431020685572,0,0,0
temporal,r0f0,2,GARE4,60,39638.0,33160.0,45365.0,50173,0.7309599911826298,0.6609132401889463,0.09087620446597898,0,0,0
temporal,r0f0,2,GARE5,60,40772.0,44576.0,45365.0,50173,0.9826077372423675,0.8884459769198573,0.12216217401313265,0,0,0
temporal,r0f0,2,GARE6,60,44936.0,71792.0,45365.0,50173,1.5825416069657225,1.4308891236322325,0.19674862699100007,1,1,0
temporal,r0f0,2,GARE7,60,42630.0,38003.0,45365.0,50173,0.837716301113193,0.757439260159847,0.10414862479857054,0,0,0
temporal,r0f0,2,GARE8,60,38309.0,34907.0,45365.0,50173,0.7694698556155627,0.6957327646343651,0.09566392247569144,0,0,0
temporal,r0f0,2,GARE9,60,45131.0,77336.0,45365.0,50173,1.7047503582056651,1.5413868016662349,0.2119421637087138,1,1,0
temporal,r0f0,2,GARE10,60,45336.0,36535.0,45365.0,50173,0.8053565524082442,0.7281804954856198,0.10012551659121055,0,0,0
temporal,r0f0,2,GARE11,60,33168.0,28583.0,45365.0,50173,0.6300672324479224,0.5696888764873538,0.07833276695570196,0,0,0
temporal,r0f1,1,GARE4,60,54071.0,78774.0,54208.0,41329,1.453180342384888,1.906022405574778,0.2620785563621604,1,1,0
temporal,r0f1,1,GARE5,60,39550.0,22009.0,54208.0,41329,0.40601018299881936,0.5325316363812335,0.07322323288108752,0,0,0
temporal,r0f1,1,GARE6,60,53513.0,25348.0,54208.0,41329,0.46760625737898465,0.6133223644414334,0.08433197814847591,0,0,0
temporal,r0f1,1,GARE7,60,54191.0,26520.0,54208.0,41329,0.4892266824085006,0.6416801761474993,0.08823118433397432,0,0,0
temporal,r0f1,1,GARE8,60,35339.0,17169.0,54208.0,41329,0.31672446871310506,0.41542258462580756,0.0571207090433637,0,0,0
temporal,r0f1,1,GARE9,60,53676.0,60970.0,54208.0,41329,1.12474173553719,1.4752353069273392,0.2028452228070292,1,1,0
temporal,r0f1,1,GARE10,60,51820.0,26005.0,54208.0,41329,0.47972623966942146,0.6292191923346803,0.08651779595041487,0,0,0
temporal,r0f1,1,GARE11,60,52078.0,43779.0,54208.0,41329,0.8076114226682408,1.059280408429916,0.14565132047349405,0,1,0
temporal,r0f1,2,GARE4,60,54111.0,70691.0,54208.0,41329,1.3040695100354192,1.7104454499262018,0.2351866761596146,1,1,0
temporal,r0f1,2,GARE5,60,47434.0,50426.0,54208.0,41329,0.9302317001180638,1.2201117859130393,0.16776567500848377,0,1,0
temporal,r0f1,2,GARE6,60,41427.0,21644.0,54208.0,41329,0.3992768595041322,0.5237000653294297,0.0720088896577881,0,0,0
temporal,r0f1,2,GARE7,60,54046.0,25697.0,54208.0,41329,0.4740444214876033,0.6217667981320623,0.08549308988801427,0,0,0
temporal,r0f1,2,GARE8,60,48023.0,22231.0,54208.0,41329,0.4101055194805195,0.5379031672675361,0.07396181971827237,0,0,0
temporal,r0f1,2,GARE9,60,53707.0,44386.0,54208.0,41329,0.8188090318772137,1.0739674320694912,0.14767078988867965,0,1,0
temporal,r0f1,2,GARE10,60,51256.0,44142.0,54208.0,41329,0.8143078512396694,1.068063587311573,0.14685900976132332,0,1,0
temporal,r0f1,2,GARE11,60,44234.0,21357.0,54208.0,41329,0.39398243801652894,0.5167557889133538,0.0710540499178239,0,0,0
temporal,r0f2,1,GARE4,60,39382.0,11536.0,63569.0,31969,0.18147210118139345,0.3608495730238669,0.04961784453132729,0,0,0
temporal,r0f2,1,GARE5,60,63417.0,50886.0,63569.0,31969,0.8004845128915037,1.5917294879414432,0.21886734022374482,0,1,0
temporal,r0f2,1,GARE6,60,57503.0,14530.0,63569.0,31969,0.22857052966068367,0.4545027995871,0.062495430048559765,0,0,0
temporal,r0f2,1,GARE7,60,63375.0,17808.0,63569.0,31969,0.28013654454215103,0.5570396321436392,0.07659453670369941,0,0,0
temporal,r0f2,1,GARE8,60,62046.0,34823.0,63569.0,31969,0.5477984552218849,1.0892739841721668,0.14977827670894678,0,1,0
temporal,r0f2,1,GARE9,60,59507.0,17162.0,63569.0,31969,0.2699743585710016,0.5368325565391473,0.07381600622803736,0,0,0
temporal,r0f2,1,GARE10,60,53645.0,13675.0,63569.0,31969,0.21512057764004466,0.42775814069880197,0.058817963242536464,0,0,0
temporal,r0f2,1,GARE11,60,63440.0,72077.0,63569.0,31969,1.1338388208088848,2.2545903844349215,0.31001260231314814,1,1,0
temporal,r0f2,2,GARE4,60,58896.0,23495.0,63569.0,31969,0.36959838915194515,0.7349307141293128,0.10105506737721347,0,0,0
temporal,r0f2,2,GARE5,60,62283.0,19195.0,63569.0,31969,0.3019553555978543,0.6004254121179893,0.08256020507791498,0,0,0
temporal,r0f2,2,GARE6,60,63098.0,17896.0,63569.0,31969,0.2815208670893045,0.5597922987894522,0.07697303621121993,0,0,0
temporal,r0f2,2,GARE7,60,63220.0,48115.0,63569.0,31969,0.7568940835942047,1.505051768901123,0.2069489068676155,0,1,0
temporal,r0f2,2,GARE8,60,55313.0,33729.0,63569.0,31969,0.5305888090106813,1.0550533329162626,0.14507283964954387,0,1,0
temporal,r0f2,2,GARE9,60,62229.0,63340.0,63569.0,31969,0.9963976151897938,1.981294378929588,0.27243362279943395,0,1,0
temporal,r0f2,2,GARE10,60,50600.0,14900.0,63569.0,31969,0.23439097673394266,0.46607651162063246,0.0640868484324529,0,0,0
temporal,r0f2,2,GARE11,60,46676.0,11827.0,63569.0,31969,0.18604980414982145,0.3699521411367262,0.05086947358460539,0,0,0
temporal,r0f3,1,GARE4,60,66060.0,7163.0,72966.0,22571,0.09816901022393992,0.3173541269770945,0.04363665161954542,0,0,0
temporal,r0f3,1,GARE5,60,71371.0,22028.0,72966.0,22571,0.30189403283721183,0.9759425811882504,0.13419351694476428,0,0,0
temporal,r0f3,1,GARE6,60,72538.0,10819.0,72966.0,22571,0.14827453882630265,0.47933188604846927,0.06590882784753063,0,0,0
temporal,r0f3,1,GARE7,60,66196.0,20558.0,72966.0,22571,0.2817476632952334,0.9108147623056134,0.1252383476189606,0,0,0
temporal,r0f3,1,GARE8,60,60487.0,6180.0,72966.0,22571,0.08469698215607269,0.2738026671392495,0.03764826287990935,0,0,0
temporal,r0f3,1,GARE9,60,49730.0,7569.0,72966.0,22571,0.10373324562124825,0.3353418102875371,0.04610998410000548,0,0,0
temporal,r0f3,1,GARE10,60,71433.0,32986.0,72966.0,22571,0.45207356851136143,1.461432812015418,0.20094912610949675,0,1,0
temporal,r0f3,1,GARE11,60,72846.0,56848.0,72966.0,22571,0.7791025957295179,2.5186301005715297,0.3463152828797875,0,1,0
temporal,r0f3,2,GARE4,60,61003.0,8317.0,72966.0,22571,0.1139845955650577,0.36848168003189935,0.050666764137897426,0,0,0
temporal,r0f3,2,GARE5,60,63170.0,8178.0,72966.0,22571,0.11207959871721075,0.362323335253201,0.04981998282069558,0,0,0
temporal,r0f3,2,GARE6,60,72270.0,37376.0,72966.0,22571,0.5122385768714196,1.6559301758894156,0.2276927950484615,0,1,0
temporal,r0f3,2,GARE7,60,53679.0,9721.0,72966.0,22571,0.1332264342296412,0.430685392760622,0.05921986463682829,0,0,0
temporal,r0f3,2,GARE8,60,67288.0,27502.0,72966.0,22571,0.37691527560781735,1.218466173408356,0.16754086176751892,0,1,0
temporal,r0f3,2,GARE9,60,72892.0,9415.0,72966.0,22571,0.12903270016171917,0.41712817331974655,0.05735572734859976,0,0,0
temporal,r0f3,2,GARE10,60,72837.0,49404.0,72966.0,22571,0.6770824767700024,2.188826370120952,0.30096679277007143,0,1,0
temporal,r0f3,2,GARE11,60,67522.0,14238.0,72966.0,22571,0.1951319792780199,0.6308094457489699,0.08673721146992708,0,0,0
temporal,r0f4,1,GARE4,60,57464.0,2352.0,83965.0,11573,0.028011671529804084,0.20323165989803854,0.02794577189501325,0,0,0
temporal,r0f4,1,GARE5,60,68120.0,3015.0,83965.0,11573,0.03590781873399631,0.2605201762723581,0.03582334279909224,0,0,0
temporal,r0f4,1,GARE6,60,83935.0,27503.0,83965.0,11573,0.3275531471446436,2.3764797373196234,0.3267825529032948,0,1,0
temporal,r0f4,1,GARE7,60,80009.0,14637.0,83965.0,11573,0.17432263443101292,1.2647541691869006,0.17391252688235923,0,1,0
temporal,r0f4,1,GARE8,60,73642.0,3779.0,83965.0,11573,0.045006848091466684,0.32653590253175496,0.044900965982676476,0,0,0
temporal,r0f4,1,GARE9,60,83154.0,10704.0,83965.0,11573,0.1274816887989043,0.9249114317808693,0.1271817782160807,0,0,0
temporal,r0f4,1,GARE10,60,80716.0,18438.0,83965.0,11573,0.21959149645685702,1.5931910481292664,0.21907489039126457,0,1,0
temporal,r0f4,1,GARE11,60,83609.0,3735.0,83965.0,11573,0.04448282022271184,0.32273394971053315,0.044378170930218744,0,0,0
temporal,r0f4,2,GARE4,60,61901.0,2698.0,83965.0,11573,0.03213243613410349,0.2331288343558282,0.03205684208024904,0,0,0
temporal,r0f4,2,GARE5,60,83633.0,4213.0,83965.0,11573,0.05017566843327577,0.36403698263198825,0.05005762627282773,0,0,0
temporal,r0f4,2,GARE6,60,76215.0,4535.0,83965.0,11573,0.054010599654618,0.39186036464183877,0.0538835355203593,0,0,0
temporal,r0f4,2,GARE7,60,80580.0,21616.0,83965.0,11573,0.25744060025010423,1.867795731443878,0.25683495122559796,0,1,0
temporal,r0f4,2,GARE8,60,83664.0,21777.0,83965.0,11573,0.2593580658607753,1.8817074224488033,0.25874790584936375,0,1,0
temporal,r0f4,2,GARE9,60,80520.0,3173.0,83965.0,11573,0.03778955517179777,0.2741726432212909,0.037700652305645,0,0,0
temporal,r0f4,2,GARE10,60,78225.0,16782.0,83965.0,11573,0.1998689930328113,1.4500993692214637,0.19939878568967362,0,1,0
temporal,r0f4,2,GARE11,60,65911.0,9369.0,83965.0,11573,0.11158220687191092,0.809556726864253,0.11131970105628364,0,0,0
