results_dir,shift_mode,tag,fold,k,rho,wl_broken,max_workload,cap_broken,N_train_visits,V_test_visits,coverage_kappa
iscf10kt_results_mm,structured,iscf10kt_r0f1,1,10,0.5,0,,0,9148,7134,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f1,1,1,1.0,1,,0,8315,7053,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f1,1,4,1.0,1,,0,8822,7244,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f1,1,6,1.0,0,,0,9106,7403,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f1,1,10,1.0,0,,0,9148,7281,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f1,1,1,2.0,1,,0,8315,7128,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f1,1,4,2.0,1,,0,8822,7355,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f1,1,6,2.0,0,,0,9106,7444,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f1,1,10,2.0,0,,0,9148,7371,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f1,1,1,3.0,1,,0,8315,7195,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f1,1,4,3.0,1,,0,8822,7392,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f1,1,6,3.0,0,,0,9106,7489,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f1,1,10,3.0,0,,0,9148,7373,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f1,1,1,4.0,1,,0,8315,7169,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f1,1,4,4.0,1,,0,8822,7382,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f1,1,6,4.0,0,,0,9106,7555,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f1,1,10,4.0,0,,0,9148,7405,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f2,2,1,0.0,0,,0,9683,4354,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f2,2,4,0.0,0,,0,9757,4284,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f2,2,6,0.0,0,,0,10675,4862,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f2,2,10,0.0,0,,0,10515,4774,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f2,2,1,0.5,0,,0,9683,5171,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f2,2,4,0.5,0,,0,9757,5074,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f2,2,6,0.5,0,,0,10675,5456,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f2,2,10,0.5,0,,0,10515,5327,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f2,2,1,1.0,0,,0,9683,5333,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f2,2,4,1.0,0,,0,9757,5284,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f2,2,6,1.0,0,,0,10675,5555,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f2,2,10,1.0,0,,0,10515,5470,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f2,2,1,2.0,0,,0,9683,5387,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f2,2,4,2.0,0,,0,9757,5351,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f2,2,6,2.0,0,,0,10675,5594,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f2,2,10,2.0,0,,0,10515,5502,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f2,2,1,3.0,0,,0,9683,5389,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f2,2,4,3.0,0,,0,9757,5372,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f2,2,6,3.0,0,,0,10675,5641,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f2,2,10,3.0,0,,0,10515,5539,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f2,2,1,4.0,0,,0,9683,5405,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f2,2,4,4.0,0,,0,9757,5348,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f2,2,6,4.0,0,,0,10675,5608,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f2,2,10,4.0,0,,0,10515,5508,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f3,3,1,0.0,0,,0,11109,2989,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f3,3,4,0.0,0,,0,11986,3302,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f3,3,6,0.0,0,,0,12321,3272,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f3,3,10,0.0,0,,0,12701,3482,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f3,3,1,0.5,0,,0,11109,3493,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f3,3,4,0.5,0,,0,11986,3710,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f3,3,6,0.5,0,,0,12321,3624,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f3,3,10,0.5,0,,0,12701,3745,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f3,3,1,1.0,0,,0,11109,3601,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f3,3,4,1.0,0,,0,11986,3778,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f3,3,6,1.0,0,,0,12321,3725,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f3,3,10,1.0,0,,0,12701,3817,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f3,3,1,2.0,0,,0,11109,3654,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f3,3,4,2.0,0,,0,11986,3810,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f3,3,6,2.0,0,,0,12321,3785,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f3,3,10,2.0,0,,0,12701,3854,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f3,3,1,3.0,0,,0,11109,3657,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f3,3,4,3.0,0,,0,11986,3833,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f3,3,6,3.0,0,,0,12321,3768,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f3,3,10,3.0,0,,0,12701,3808,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f3,3,1,4.0,0,,0,11109,3638,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f3,3,4,4.0,0,,0,11986,3844,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f3,3,6,4.0,0,,0,12321,3770,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f3,3,10,4.0,0,,0,12701,3793,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f4,4,1,0.0,0,,0,12634,1637,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f4,4,4,0.0,0,,0,13698,1817,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f4,4,6,0.0,0,,0,13790,1804,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f4,4,10,0.0,0,,0,13864,1881,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f4,4,1,0.5,0,,0,12634,1938,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f4,4,4,0.5,0,,0,13698,1982,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f4,4,6,0.5,0,,0,13790,1981,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f4,4,10,0.5,0,,0,13864,2071,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f4,4,1,1.0,0,,0,12634,1964,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f4,4,4,1.0,0,,0,13698,2031,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f4,4,6,1.0,0,,0,13790,1971,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f4,4,10,1.0,0,,0,13864,2101,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f4,4,1,2.0,0,,0,12634,1997,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f4,4,4,2.0,0,,0,13698,2018,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f4,4,6,2.0,0,,0,13790,1997,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f4,4,10,2.0,0,,0,13864,2101,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f4,4,1,3.0,0,,0,12634,2000,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f4,4,4,3.0,0,,0,13698,2019,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f4,4,6,3.0,0,,0,13790,2013,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f4,4,10,3.0,0,,0,13864,2140,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f4,4,1,4.0,0,,0,12634,2009,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f4,4,4,4.0,0,,0,13698,2026,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f4,4,6,4.0,0,,0,13790,2012,1.0
iscf10kt_results_mm,structured,iscf10kt_r0f4,4,10,4.0,0,,0,13864,2128,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f0,0,1,0.0,2,,0,6924,7516,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f0,0,4,0.0,1,,0,7191,7734,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f0,0,6,0.0,1,,0,7695,8449,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f0,0,10,0.0,2,,0,6980,7337,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f0,0,1,0.25,2,,0,6924,8362,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f0,0,4,0.25,1,,0,7191,8530,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f0,0,6,0.25,1,,0,7695,8972,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f0,0,10,0.25,2,,0,6980,8206,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f0,0,1,0.5,2,,0,6924,8852,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f0,0,4,0.5,1,,0,7191,8996,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f0,0,6,0.5,1,,0,7695,9218,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f0,0,10,0.5,2,,0,6980,8773,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f0,0,1,1.0,2,,0,6924,9280,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f0,0,4,1.0,1,,0,7191,9324,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f0,0,6,1.0,1,,0,7695,9521,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f0,0,10,1.0,2,,0,6980,9249,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f0,0,1,2.0,2,,0,6924,9573,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f0,0,4,2.0,1,,0,7191,9549,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f0,0,6,2.0,1,,0,7695,9585,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f0,0,10,2.0,2,,0,6980,9498,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f0,0,1,3.0,2,,0,6924,9609,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f0,0,4,3.0,1,,0,7191,9635,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f0,0,6,3.0,1,,0,7695,9717,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f0,0,10,3.0,2,,0,6980,9557,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f0,0,1,4.0,2,,0,6924,9694,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f0,0,4,4.0,1,,0,7191,9666,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f0,0,6,4.0,1,,0,7695,9713,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f0,0,10,4.0,2,,0,6980,9602,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f1,1,1,0.0,1,,0,8315,5973,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f1,1,4,0.0,1,,0,8822,6203,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f1,1,6,0.0,0,,0,9106,6483,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f1,1,10,0.0,0,,0,9148,6440,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f1,1,1,0.25,1,,0,8315,6656,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f1,1,4,0.25,1,,0,8822,6878,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f1,1,6,0.25,0,,0,9106,7068,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f1,1,10,0.25,0,,0,9148,6961,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f1,1,1,0.5,1,,0,8315,7038,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f1,1,4,0.5,1,,0,8822,7189,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f1,1,6,0.5,0,,0,9106,7348,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f1,1,10,0.5,0,,0,9148,7249,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f1,1,1,1.0,1,,0,8315,7392,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f1,1,4,1.0,1,,0,8822,7527,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f1,1,6,1.0,0,,0,9106,7558,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f1,1,10,1.0,0,,0,9148,7548,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f1,1,1,2.0,1,,0,8315,7586,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f1,1,4,2.0,1,,0,8822,7650,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f1,1,6,2.0,0,,0,9106,7733,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f1,1,10,2.0,0,,0,9148,7700,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f1,1,1,3.0,1,,0,8315,7598,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f1,1,4,3.0,1,,0,8822,7713,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f1,1,6,3.0,0,,0,9106,7751,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f1,1,10,3.0,0,,0,9148,7728,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f1,1,1,4.0,1,,0,8315,7717,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f1,1,4,4.0,1,,0,8822,7758,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f1,1,6,4.0,0,,0,9106,7803,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f1,1,10,4.0,0,,0,9148,7732,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f2,2,1,0.0,0,,0,9683,4354,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f2,2,4,0.0,0,,0,9757,4284,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f2,2,6,0.0,0,,0,10675,4862,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f2,2,10,0.0,0,,0,10515,4774,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f2,2,1,0.25,0,,0,9683,4933,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f2,2,4,0.25,0,,0,9757,4913,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f2,2,6,0.25,0,,0,10675,5272,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f2,2,10,0.25,0,,0,10515,5237,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f2,2,1,0.5,0,,0,9683,5298,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f2,2,4,0.5,0,,0,9757,5288,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f2,2,6,0.5,0,,0,10675,5529,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f2,2,10,0.5,0,,0,10515,5461,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f2,2,1,1.0,0,,0,9683,5603,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f2,2,4,1.0,0,,0,9757,5637,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f2,2,6,1.0,0,,0,10675,5794,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f2,2,10,1.0,0,,0,10515,5680,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f2,2,1,2.0,0,,0,9683,5795,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f2,2,4,2.0,0,,0,9757,5802,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f2,2,6,2.0,0,,0,10675,5893,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f2,2,10,2.0,0,,0,10515,5825,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f2,2,1,3.0,0,,0,9683,5810,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f2,2,4,3.0,0,,0,9757,5828,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f2,2,6,3.0,0,,0,10675,5910,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f2,2,10,3.0,0,,0,10515,5855,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f2,2,1,4.0,0,,0,9683,5842,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f2,2,4,4.0,0,,0,9757,5832,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f2,2,6,4.0,0,,0,10675,5890,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f2,2,10,4.0,0,,0,10515,5818,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f3,3,1,0.0,0,,0,11109,2989,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f3,3,4,0.0,0,,0,11986,3302,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f3,3,6,0.0,0,,0,12321,3272,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f3,3,10,0.0,0,,0,12701,3482,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f3,3,1,0.25,0,,0,11109,3362,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f3,3,4,0.25,0,,0,11986,3589,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f3,3,6,0.25,0,,0,12321,3581,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f3,3,10,0.25,0,,0,12701,3680,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f3,3,1,0.5,0,,0,11109,3601,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f3,3,4,0.5,0,,0,11986,3795,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f3,3,6,0.5,0,,0,12321,3758,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f3,3,10,0.5,0,,0,12701,3822,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f3,3,1,1.0,0,,0,11109,3772,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f3,3,4,1.0,0,,0,11986,3913,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f3,3,6,1.0,0,,0,12321,3869,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f3,3,10,1.0,0,,0,12701,3924,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f3,3,1,2.0,0,,0,11109,3911,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f3,3,4,2.0,0,,0,11986,3998,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f3,3,6,2.0,0,,0,12321,3952,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f3,3,10,2.0,0,,0,12701,4011,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f3,3,1,3.0,0,,0,11109,3930,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f3,3,4,3.0,0,,0,11986,4013,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f3,3,6,3.0,0,,0,12321,3940,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f3,3,10,3.0,0,,0,12701,4024,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f3,3,1,4.0,0,,0,11109,3933,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f3,3,4,4.0,0,,0,11986,4038,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f3,3,6,4.0,0,,0,12321,4002,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f3,3,10,4.0,0,,0,12701,3993,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f4,4,1,0.0,0,,0,12634,1637,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f4,4,4,0.0,0,,0,13698,1817,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f4,4,6,0.0,0,,0,13790,1804,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f4,4,10,0.0,0,,0,13864,1881,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f4,4,1,0.25,0,,0,12634,1891,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f4,4,4,0.25,0,,0,13698,1975,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f4,4,6,0.25,0,,0,13790,1977,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f4,4,10,0.25,0,,0,13864,2025,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f4,4,1,0.5,0,,0,12634,2007,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f4,4,4,0.5,0,,0,13698,2039,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f4,4,6,0.5,0,,0,13790,2048,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f4,4,10,0.5,0,,0,13864,2105,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f4,4,1,1.0,0,,0,12634,2095,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f4,4,4,1.0,0,,0,13698,2105,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f4,4,6,1.0,0,,0,13790,2091,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f4,4,10,1.0,0,,0,13864,2165,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f4,4,1,2.0,0,,0,12634,2151,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f4,4,4,2.0,0,,0,13698,2127,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f4,4,6,2.0,0,,0,13790,2138,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f4,4,10,2.0,0,,0,13864,2196,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f4,4,1,3.0,0,,0,12634,2136,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f4,4,4,3.0,0,,0,13698,2122,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f4,4,6,3.0,0,,0,13790,2128,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f4,4,10,3.0,0,,0,13864,2180,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f4,4,1,4.0,0,,0,12634,2165,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f4,4,4,4.0,0,,0,13698,2143,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f4,4,6,4.0,0,,0,13790,2154,1.0
iscf10kt_results_mm,unstructured,iscf10kt_r0f4,4,10,4.0,0,,0,13864,2199,1.0
iscf10kt_results_ms,structured,iscf10kt_r0f0,0,1,0.0,2,,0,6924,7516,1.0
iscf10kt_results_ms,structured,iscf10kt_r0f0,0,4,0.0,2,,0,7394,8040,1.0
iscf10kt_results_ms,structured,iscf10kt_r0f0,0,6,0.0,1,,0,7421,7831,1.0
iscf10kt_results_ms,structured,iscf10kt_r0f0,0,10,0.0,2,,0,7700,8112,1.0
iscf10kt_results_ms,structured,iscf10kt_r0f0,0,1,0.5,2,,0,6924,8648,1.0
iscf10kt_results_ms,structured,iscf10kt_r0f0,0,4,0.5,2,,0,7394,8950,1.0
iscf10kt_results_ms,structured,iscf10kt_r0f0,0,6,0.5,1,,0,7421,8682,1.0
iscf10kt_results_ms,structured,iscf10kt_r0f0,0,10,0.5,2,,0,7700,8930,1.0
iscf10kt_results_ms,structured,iscf10kt_r0f0,0,1,1.0,2,,0,6924,8867,1.0
iscf10kt_results_ms,structured,iscf10kt_r0f0,0,4,1.0,2,,0,7394,9185,1.0
iscf10kt_results_ms,structured,iscf10kt_r0f0,0,6,1.0,1,,0,7421,8922,1.0
