family,fold,k,station,n_products,W_tr,W_te,T_s_stored,Tn,Wbar,Wn,Tn_equiv,ratio_asrun,ratio_norm,ratio_norm_equiv,share,viol_asrun_flag,viol_norm_flag,train_ok
iscf480-temporal,r0f1,2,GARE8,60,48023.0,22231.0,54208.0,41329,48023.0,29158.55988209226,54208,0.4101055194805195,0.5379031672675361,0.5379014145899547,0.07396181971827237,False,False,True
iscf480-temporal,r0f1,2,GARE9,60,53707.0,44386.0,54208.0,41329,53707.0,58217.436864133284,54208,0.8188090318772137,1.0739674320694912,1.0739639327061188,0.14767078988867965,False,True,True
iscf480-temporal,r0f1,2,GARE10,60,51256.0,44142.0,54208.0,41329,51256.0,57897.40229028458,54208,0.8143078512396694,1.068063587311573,1.068060107185002,0.14685900976132332,False,True,True
iscf480-temporal,r0f1,2,GARE11,60,44234.0,21357.0,54208.0,41329,44234.0,28012.206531503056,54208,0.39398243801652894,0.5167557889133538,0.5167541051413639,0.0710540499178239,False,False,True
iscf480-temporal,r0f2,1,GARE4,60,39382.0,11536.0,63569.0,31969,39382.0,22939.07379450057,63569,0.18147210118139345,0.3608495730238669,0.3608531484607367,0.04961784453132729,False,False,True
iscf480-temporal,r0f2,1,GARE5,60,63417.0,50886.0,63569.0,31969,63417.0,101185.65439554058,63569,0.8004845128915037,1.5917294879414432,1.591745259411672,0.21886734022374482,False,True,True
iscf480-temporal,r0f2,1,GARE6,60,57503.0,14530.0,63569.0,31969,57503.0,28892.574742899906,63569,0.22857052966068367,0.4545027995871,0.454507302976292,0.062495430048559765,False,False,True
iscf480-temporal,r0f2,1,GARE7,60,63375.0,17808.0,63569.0,31969,63375.0,35410.80323617079,63569,0.28013654454215103,0.5570396321436392,0.5570451515073509,0.07659453670369941,False,False,True
iscf480-temporal,r0f2,1,GARE8,60,62046.0,34823.0,63569.0,31969,62046.0,69244.74399669674,63569,0.5477984552218849,1.0892739841721668,1.0892847771192993,0.14977827670894678,False,True,True
iscf480-temporal,r0f2,1,GARE9,60,59507.0,17162.0,63569.0,31969,59507.0,34126.24691931509,63569,0.2699743585710016,0.5368325565391473,0.5368378756833534,0.07381600622803736,False,False,True
iscf480-temporal,r0f2,1,GARE10,60,53645.0,13675.0,63569.0,31969,53645.0,27192.426676473242,63569,0.21512057764004466,0.42775814069880197,0.4277623790915893,0.058817963242536464,False,False,True
iscf480-temporal,r0f2,1,GARE11,60,63440.0,72077.0,63569.0,31969,63440.0,143323.47623840306,63569,1.1338388208088848,2.2545903844349215,2.2546127237867997,0.31001260231314814,True,True,True
iscf480-temporal,r0f2,2,GARE4,60,58896.0,23495.0,63569.0,31969,58896.0,46719.27347449644,63569,0.36959838915194515,0.7349307141293128,0.7349379961065369,0.10105506737721347,False,False,True
iscf480-temporal,r0f2,2,GARE5,60,62283.0,19195.0,63569.0,31969,62283.0,38168.82121059627,63569,0.3019553555978543,0.6004254121179893,0.6004313613647575,0.08256020507791498,False,False,True
iscf480-temporal,r0f2,2,GARE6,60,63098.0,17896.0,63569.0,31969,63098.0,35585.78923599014,63569,0.2815208670893045,0.5597922987894522,0.5597978454276478,0.07697303621121993,False,False,True
iscf480-temporal,r0f2,2,GARE7,60,63220.0,48115.0,63569.0,31969,63220.0,95675.58387850165,63569,0.7568940835942047,1.505051768901123,1.5050666815350509,0.2069489068676155,False,True,True
iscf480-temporal,r0f2,2,GARE8,60,55313.0,33729.0,63569.0,31969,55313.0,67069.34986257886,63569,0.5305888090106813,1.0550533329162626,1.0550637867919719,0.14507283964954387,False,True,True
iscf480-temporal,r0f2,2,GARE9,60,62229.0,63340.0,63569.0,31969,62229.0,125950.1503245203,63569,0.9963976151897938,1.981294378929588,1.9813140103591422,0.27243362279943395,False,True,True
iscf480-temporal,r0f2,2,GARE10,60,50600.0,14900.0,63569.0,31969,50600.0,29628.311333049456,63569,0.23439097673394266,0.46607651162063246,0.4660811296866312,0.0640868484324529,False,False,True
iscf480-temporal,r0f2,2,GARE11,60,46676.0,11827.0,63569.0,31969,46676.0,23517.72068026684,63569,0.18604980414982145,0.3699521411367262,0.36995580676535483,0.05086947358460539,False,False,True
iscf480-temporal,r0f3,1,GARE4,60,66060.0,7163.0,72966.0,22571,66060.0,23156.269185079593,72966,0.09816901022393992,0.3173541269770945,0.31735697701778354,0.04363665161954542,False,False,True
iscf480-temporal,r0f3,1,GARE5,60,71371.0,22028.0,72966.0,22571,71371.0,71211.26589542555,72966,0.30189403283721183,0.9759425811882504,0.9759513457696125,0.13419351694476428,False,False,True
iscf480-temporal,r0f3,1,GARE6,60,72538.0,10819.0,72966.0,22571,72538.0,34975.24449439845,72966,0.14827453882630265,0.47933188604846927,0.4793361907518358,0.06590882784753063,False,False,True
iscf480-temporal,r0f3,1,GARE7,60,66196.0,20558.0,72966.0,22571,66196.0,66459.10678582525,72966,0.2817476632952334,0.9108147623056134,0.9108229419979887,0.1252383476189606,False,False,True
iscf480-temporal,r0f3,1,GARE8,60,60487.0,6180.0,72966.0,22571,60487.0,19978.464828115575,72966,0.08469698215607269,0.2738026671392495,0.2738051260602962,0.03764826287990935,False,False,True
iscf480-temporal,r0f3,1,GARE9,60,49730.0,7569.0,72966.0,22571,49730.0,24468.77027249301,72966,0.10373324562124825,0.3353418102875371,0.3353448218689939,0.04610998410000548,False,False,True
iscf480-temporal,r0f3,1,GARE10,60,71433.0,32986.0,72966.0,22571,71433.0,106635.86421039165,72966,0.45207356851136143,1.461432812015418,1.461445936605976,0.20094912610949675,False,True,True
iscf480-temporal,r0f3,1,GARE11,60,72846.0,56848.0,72966.0,22571,72846.0,183776.01432827092,72966,0.7791025957295179,2.5186301005715297,2.5186527194620907,0.3463152828797875,False,True,True
iscf480-temporal,r0f3,2,GARE4,60,61003.0,8317.0,72966.0,22571,61003.0,26886.875724180783,72966,0.1139845955650577,0.36848168003189935,0.3684849892303372,0.050666764137897426,False,False,True
iscf480-temporal,r0f3,2,GARE5,60,63170.0,8178.0,72966.0,22571,63170.0,26437.521903613135,72966,0.11207959871721075,0.362323335253201,0.3623265891458095,0.04981998282069558,False,False,True
iscf480-temporal,r0f3,2,GARE6,60,72270.0,37376.0,72966.0,22571,72270.0,120827.68631321161,72966,0.5122385768714196,1.6559301758894156,1.655945047189261,0.2276927950484615,False,True,True
iscf480-temporal,r0f3,2,GARE7,60,53679.0,9721.0,72966.0,22571,53679.0,31425.672588043934,72966,0.1332264342296412,0.430685392760622,0.4306892605877249,0.05921986463682829,False,False,True
iscf480-temporal,r0f3,2,GARE8,60,67288.0,27502.0,72966.0,22571,67288.0,88907.40124641336,72966,0.37691527560781735,1.218466173408356,1.2184771160048975,0.16754086176751892,False,True,True
iscf480-temporal,r0f3,2,GARE9,60,72892.0,9415.0,72966.0,22571,72892.0,30436.4476305353,72966,0.12903270016171917,0.41712817331974655,0.41713191939444805,0.05735572734859976,False,False,True
iscf480-temporal,r0f3,2,GARE10,60,72837.0,49404.0,72966.0,22571,72837.0,159711.3392181589,72966,0.6770824767700024,2.188826370120952,2.1888460271655137,0.30096679277007143,False,True,True
iscf480-temporal,r0f3,2,GARE11,60,67522.0,14238.0,72966.0,22571,67522.0,46028.055375842974,72966,0.1951319792780199,0.6308094457489699,0.6308151108165855,0.08673721146992708,False,False,True
iscf480-temporal,r0f4,1,GARE4,60,57464.0,2352.0,83965.0,11573,57464.0,17065.057661917945,83965,0.028011671529804084,0.20323165989803854,0.20324013174439284,0.02794577189501325,False,False,True
iscf480-temporal,r0f4,1,GARE5,60,68120.0,3015.0,83965.0,11573,68120.0,21875.488456922874,83965,0.03590781873399631,0.2605201762723581,0.26053103622846274,0.03582334279909224,False,False,True
iscf480-temporal,r0f4,1,GARE6,60,83935.0,27503.0,83965.0,11573,83935.0,199549.43914784407,83965,0.3275531471446436,2.3764797373196234,2.376578802451546,0.3267825529032948,False,True,True
iscf480-temporal,r0f4,1,GARE7,60,80009.0,14637.0,83965.0,11573,80009.0,106199.51062818579,83965,0.17432263443101292,1.2647541691869006,1.264806891302159,0.17391252688235923,False,True,True
iscf480-temporal,r0f4,1,GARE8,60,73642.0,3779.0,83965.0,11573,73642.0,27418.729976355404,83965,0.045006848091466684,0.32653590253175496,0.3265495143971346,0.044900965982676476,False,False,True
iscf480-temporal,r0f4,1,GARE9,60,83154.0,10704.0,83965.0,11573,83154.0,77663.42568587147,83965,0.1274816887989043,0.9249114317808693,0.9249499873265226,0.1271817782160807,False,False,True
iscf480-temporal,r0f4,1,GARE10,60,80716.0,18438.0,83965.0,11573,80716.0,133777.8627425353,83965,0.21959149645685702,1.5931910481292664,1.5932574613533652,0.21907489039126457,False,True,True
iscf480-temporal,r0f4,1,GARE11,60,83609.0,3735.0,83965.0,11573,83609.0,27099.485700367142,83965,0.04448282022271184,0.32273394971053315,0.32274740308899114,0.044378170930218744,False,False,True
iscf480-temporal,r0f4,2,GARE4,60,61901.0,2698.0,83965.0,11573,61901.0,19575.478559461997,83965,0.03213243613410349,0.2331288343558282,0.23313855248570234,0.03205684208024904,False,False,True
iscf480-temporal,r0f4,2,GARE5,60,83633.0,4213.0,83965.0,11573,83633.0,30567.63942587598,83965,0.05017566843327577,0.36403698263198825,0.3640521577547309,0.05005762627282773,False,False,True
iscf480-temporal,r0f4,2,GARE6,60,76215.0,4535.0,83965.0,11573,76215.0,32903.92708197189,83965,0.054010599654618,0.39186036464183877,0.39187669960068944,0.0538835355203593,False,False,True
iscf480-temporal,r0f4,2,GARE7,60,80580.0,21616.0,83965.0,11573,80580.0,156836.00613096016,83965,0.25744060025010423,1.867795731443878,1.8678735917460865,0.25683495122559796,False,True,True
iscf480-temporal,r0f4,2,GARE8,60,83664.0,21777.0,83965.0,11573,83664.0,158004.1499590081,83965,0.2593580658607753,1.8817074224488033,1.8817858626690656,0.25874790584936375,False,True,True
iscf480-temporal,r0f4,2,GARE9,60,80520.0,3173.0,83965.0,11573,80520.0,23021.865629789812,83965,0.03778955517179777,0.2741726432212909,0.2741840722895232,0.037700652305645,False,False,True
iscf480-temporal,r0f4,2,GARE10,60,78225.0,16782.0,83965.0,11573,78225.0,121762.6690826135,83965,0.1998689930328113,1.4500993692214637,1.45015981757415,0.19939878568967362,False,True,True
iscf480-temporal,r0f4,2,GARE11,60,65911.0,9369.0,83965.0,11573,65911.0,67977.26413031855,83965,0.11158220687191092,0.809556726864253,0.8095904737726262,0.11131970105628364,False,False,True
iscf10kt-temporal,r0f0,1,GARE4,541,1904.0,2105.0,1904.0,1648,1904.0,2432.1711185308845,1904,1.1055672268907564,1.2773058252427185,1.2774007975477335,0.17570951585976627,True,True,True
iscf10kt-temporal,r0f0,1,GARE5,541,1893.0,2464.0,1904.0,1648,1893.0,2846.9689482470785,1904,1.2941176470588236,1.4951456310679612,1.4952568005499363,0.20567612687813022,True,True,True
iscf10kt-temporal,r0f0,1,GARE6,541,1867.0,1610.0,1904.0,1648,1867.0,1860.2353923205342,1904,0.8455882352941176,0.9769417475728155,0.9770143867229696,0.1343906510851419,False,False,True
iscf10kt-temporal,r0f0,1,GARE7,541,1896.0,1366.0,1904.0,1648,1896.0,1578.3115191986644,1904,0.717436974789916,0.8288834951456311,0.8289451256295507,0.11402337228714524,False,False,True
iscf10kt-temporal,r0f0,1,GARE8,541,1501.0,1089.0,1904.0,1648,1501.0,1258.2585976627713,1904,0.571953781512605,0.6608009708737864,0.6608501038144807,0.09090150250417363,False,False,True
iscf10kt-temporal,r0f0,1,GARE9,541,1318.0,774.0,1904.0,1648,1318.0,894.2994991652755,1904,0.4065126050420168,0.4696601941747573,0.46969511510781276,0.0646076794657763,False,False,True
iscf10kt-temporal,r0f0,1,GARE10,541,1561.0,1126.0,1904.0,1648,1561.0,1301.009348914858,1904,0.5913865546218487,0.683252427184466,0.6833032294720893,0.09398998330550919,False,False,True
iscf10kt-temporal,r0f0,1,GARE11,541,1902.0,1446.0,1904.0,1648,1902.0,1670.7455759599331,1904,0.759453781512605,0.8774271844660194,0.8774924243487043,0.12070116861435726,False,False,True
iscf10kt-temporal,r0f0,2,GARE4,541,1653.0,1184.0,1904.0,1648,1653.0,1368.0240400667778,1904,0.6218487394957983,0.7184466019417476,0.7185000210434758,0.0988313856427379,False,False,True
iscf10kt-temporal,r0f0,2,GARE5,541,1901.0,1360.0,1904.0,1648,1901.0,1571.3789649415694,1904,0.7142857142857143,0.8252427184466019,0.8253040782256141,0.11352253756260434,False,False,True
iscf10kt-temporal,r0f0,2,GARE6,541,1874.0,2417.0,1904.0,1648,1874.0,2792.663939899833,1904,1.2694327731092436,1.466626213592233,1.4667352625524335,0.20175292153589316,True,True,True
iscf10kt-temporal,r0f0,2,GARE7,541,1904.0,2289.0,1904.0,1648,1904.0,2644.769449081803,1904,1.2022058823529411,1.3889563106796117,1.3890595846017872,0.19106844741235393,True,True,True
iscf10kt-temporal,r0f0,2,GARE8,541,1339.0,828.0,1904.0,1648,1339.0,956.6924874791318,1904,0.43487394957983194,0.5024271844660194,0.5024645417432415,0.06911519198664441,False,False,True
iscf10kt-temporal,r0f0,2,GARE9,541,1896.0,1562.0,1904.0,1648,1896.0,1804.774958263773,1904,0.8203781512605042,0.9478155339805825,0.9478860074914774,0.13038397328881468,False,False,True
iscf10kt-temporal,r0f0,2,GARE10,541,1371.0,841.0,1904.0,1648,1371.0,971.7130217028381,1904,0.4417016806722689,0.5103155339805825,0.5103534777851041,0.07020033388981636,False,False,True
iscf10kt-temporal,r0f0,2,GARE11,541,1904.0,1499.0,1904.0,1648,1904.0,1731.9831385642738,1904,0.7872899159663865,0.9095873786407767,0.9096550097501438,0.12512520868113522,False,False,True
iscf10kt-temporal,r0f1,1,GARE4,541,2148.0,1110.0,2212.0,1339,2148.0,1833.9626129827445,2212,0.5018083182640145,0.8289768483943242,0.8290970221440979,0.11400986031224322,False,False,True
iscf10kt-temporal,r0f1,1,GARE5,541,2212.0,1937.0,2212.0,1339,2212.0,3200.3473705834017,2212,0.8756781193490054,1.4466019417475728,1.44681165035416,0.19895234182415777,False,True,True
iscf10kt-temporal,r0f1,1,GARE6,541,2209.0,1074.0,2212.0,1339,2209.0,1774.4827444535745,2212,0.48553345388788427,0.8020911127707244,0.8022073889934785,0.11031224322103533,False,False,True
iscf10kt-temporal,r0f1,1,GARE7,541,1275.0,441.0,2212.0,1339,1275.0,728.6283894823337,2212,0.19936708860759494,0.32935026138909634,0.32939800609508757,0.04529580936729663,False,False,True
iscf10kt-temporal,r0f1,1,GARE8,541,2212.0,1124.0,2212.0,1339,2212.0,1857.0936729663106,2212,0.5081374321880651,0.8394324122479462,0.8395541017026721,0.11544782251437963,False,False,True
iscf10kt-temporal,r0f1,1,GARE9,541,1648.0,749.0,2212.0,1339,1648.0,1237.5117091207887,2212,0.33860759493670883,0.5593726661687827,0.5594537563837201,0.07693097781429745,False,False,True
iscf10kt-temporal,r0f1,1,GARE10,541,2171.0,1038.0,2212.0,1339,2171.0,1715.0028759244042,2212,0.4692585895117541,0.7752053771471247,0.775317755842859,0.10661462612982744,False,False,True
iscf10kt-temporal,r0f1,1,GARE11,541,2211.0,2263.0,2212.0,1339,2211.0,3738.970624486442,2212,1.0230560578661845,1.690067214339059,1.6903122172181022,0.23243631881676252,True,True,True
iscf10kt-temporal,r0f1,2,GARE4,541,2093.0,975.0,2212.0,1339,2093.0,1610.9131059983565,2212,0.4407775768535262,0.7281553398058253,0.7282608978292751,0.10014379622021365,False,False,True
iscf10kt-temporal,r0f1,2,GARE5,541,1264.0,557.0,2212.0,1339,1264.0,920.2857436318817,2212,0.25180831826401445,0.41598207617625094,0.4160423795804167,0.05721035332785538,False,False,True
iscf10kt-temporal,r0f1,2,GARE6,541,2135.0,942.0,2212.0,1339,2135.0,1556.3898931799506,2212,0.4258589511754069,0.7035100821508589,0.7036120674412073,0.09675431388660641,False,False,True
iscf10kt-temporal,r0f1,2,GARE7,541,2160.0,1771.0,2212.0,1339,2160.0,2926.0790879211177,2212,0.8006329113924051,1.3226288274831963,1.3228205641596373,0.18190221857025474,False,True,True
iscf10kt-temporal,r0f1,2,GARE8,541,2211.0,1249.0,2212.0,1339,2211.0,2063.620994248151,2212,0.5646473779385172,0.9327856609410008,0.9329208834756559,0.12828677074774034,False,False,True
iscf10kt-temporal,r0f1,2,GARE9,541,2140.0,2051.0,2212.0,1339,2140.0,3388.7002875924404,2212,0.9272151898734177,1.5317401045556385,1.5319621553311213,0.21066146261298274,False,True,True
iscf10kt-temporal,r0f1,2,GARE10,541,2187.0,1026.0,2212.0,1339,2187.0,1695.1762530813476,2212,0.4638336347197107,0.7662434652725915,0.7663545447926526,0.10538208709942481,False,False,True
iscf10kt-temporal,r0f1,2,GARE11,541,1896.0,1165.0,2212.0,1339,1896.0,1924.8346343467542,2212,0.5266726943942134,0.8700522778192681,0.8701784061242108,0.11965899753492194,False,False,True
iscf10kt-temporal,r0f2,1,GARE4,541,2523.0,827.0,2529.0,1022,2523.0,2047.1310901749662,2529,0.32700672202451564,0.8091976516634051,0.8094626691083299,0.11130551816958277,False,False,True
iscf10kt-temporal,r0f2,1,GARE5,541,2522.0,683.0,2529.0,1022,2522.0,1690.6777927321668,2529,0.27006722024515617,0.6682974559686888,0.6685163276916437,0.09192462987886944,False,False,True
iscf10kt-temporal,r0f2,1,GARE6,541,2206.0,860.0,2529.0,1022,2206.0,2128.8183041722746,2529,0.34005535784895213,0.8414872798434442,0.8417628723496539,0.11574697173620457,False,False,True
iscf10kt-temporal,r0f2,1,GARE7,541,2526.0,2195.0,2529.0,1022,2526.0,5433.437415881561,2529,0.8679319889284303,2.147749510763209,2.148452912566849,0.29542395693135937,False,True,True
iscf10kt-temporal,r0f2,1,GARE8,541,2330.0,707.0,2529.0,1022,2330.0,1750.0866756393,2529,0.27955713720838277,0.6917808219178082,0.6920073845944247,0.09515477792732167,False,False,True
iscf10kt-temporal,r0f2,1,GARE9,541,1393.0,411.0,2529.0,1022,1393.0,1017.3771197846568,2529,0.16251482799525505,0.4021526418786693,0.40228434946012526,0.05531628532974428,False,False,True
iscf10kt-temporal,r0f2,1,GARE10,541,2375.0,948.0,2529.0,1022,2375.0,2346.650874831763,2529,0.3748517200474496,0.9275929549902152,0.9278967476598509,0.12759084791386271,False,False,True
iscf10kt-temporal,r0f2,1,GARE11,541,2517.0,799.0,2529.0,1022,2517.0,1977.8207267833106,2529,0.31593515223408464,0.7818003913894325,0.7820564360550852,0.10753701211305518,False,False,True
iscf10kt-temporal,r0f2,2,GARE4,541,2281.0,686.0,2529.0,1022,2281.0,1698.1039030955585,2529,0.2712534598655595,0.6712328767123288,0.6714527098044913,0.09232839838492597,False,False,True
iscf10kt-temporal,r0f2,2,GARE5,541,2446.0,977.0,2529.0,1022,2446.0,2418.436608344549,2529,0.3863187030446817,0.9559686888454012,0.9562817747507113,0.13149394347240914,False,False,True
iscf10kt-temporal,r0f2,2,GARE6,541,2523.0,726.0,2529.0,1022,2523.0,1797.1187079407805,2529,0.2870699881376038,0.7103718199608611,0.7106044713091263,0.09771197846567968,False,False,True
iscf10kt-temporal,r0f2,2,GARE7,541,1923.0,495.0,2529.0,1022,1923.0,1225.3082099596231,2529,0.19572953736654805,0.4843444227005871,0.4845030486198589,0.06662180349932706,False,False,True
iscf10kt-temporal,r0f2,2,GARE8,541,2495.0,1399.0,2529.0,1022,2495.0,3463.0427994616416,2529,0.553183076314749,1.3688845401174168,1.3693328586246112,0.1882907133243607,False,True,True
iscf10kt-temporal,r0f2,2,GARE9,541,2285.0,640.0,2529.0,1022,2285.0,1584.2368775235532,2529,0.2530644523527086,0.6262230919765166,0.626428184074161,0.08613728129205922,False,False,True
iscf10kt-temporal,r0f2,2,GARE10,541,1923.0,811.0,2529.0,1022,1923.0,2007.5251682368773,2529,0.3206801107156979,0.7935420743639922,0.7938019645064758,0.10915208613728129,False,False,True
iscf10kt-temporal,r0f2,2,GARE11,541,2516.0,1696.0,2529.0,1022,2516.0,4198.227725437416,2529,0.6706207987346777,1.659491193737769,1.6600346877965266,0.22826379542395694,False,True,True
iscf10kt-temporal,r0f3,1,GARE4,541,2829.0,415.0,2850.0,702,2829.0,1686.6140419690137,2850,0.1456140350877193,0.5911680911680912,0.591794400690882,0.0813885075505001,False,False,True
iscf10kt-temporal,r0f3,1,GARE5,541,2850.0,403.0,2850.0,702,2850.0,1637.8444793096687,2850,0.14140350877192984,0.5740740740740741,0.5746822734419891,0.07903510492253384,False,False,True
iscf10kt-temporal,r0f3,1,GARE6,541,2672.0,881.0,2850.0,702,2672.0,3580.4987252402434,2850,0.30912280701754385,1.254985754985755,1.256315342189559,0.17277897626985683,False,True,True
iscf10kt-temporal,r0f3,1,GARE7,541,2190.0,290.0,2850.0,702,2190.0,1178.5977642675034,2850,0.10175438596491228,0.4131054131054131,0.4135430751815801,0.05687389684251814,False,False,True
iscf10kt-temporal,r0f3,1,GARE8,541,2807.0,1353.0,2850.0,702,2807.0,5498.768189841146,2850,0.4747368421052632,1.9273504273504274,1.9293923473126826,0.2653461463031967,False,True,True
iscf10kt-temporal,r0f3,1,GARE9,541,2547.0,475.0,2850.0,702,2547.0,1930.4618552657384,2850,0.16666666666666666,0.6766381766381766,0.6773550369353468,0.09315552069033144,False,False,True
iscf10kt-temporal,r0f3,1,GARE10,541,1984.0,154.0,2850.0,702,1984.0,625.8760541282605,2850,0.05403508771929825,0.21937321937321938,0.21960563302745983,0.030202000392233773,False,False,True
iscf10kt-temporal,r0f3,1,GARE11,541,2844.0,1128.0,2850.0,702,2844.0,4584.338889978428,2850,0.3957894736842105,1.606837606837607,1.6085399613959395,0.2212198470288292,False,True,True
iscf10kt-temporal,r0f3,2,GARE4,541,2190.0,562.0,2850.0,702,2190.0,2284.0411845459894,2850,0.19719298245614036,0.8005698005698005,0.8014179594898209,0.11021768974308688,False,False,True
iscf10kt-temporal,r0f3,2,GARE5,541,2411.0,600.0,2850.0,702,2411.0,2438.4781329672487,2850,0.21052631578947367,0.8547008547008547,0.8556063624446487,0.1176701313983134,False,False,True
