family,fold,k,station,model,n_products,GammaCover,GammaCover_frac,GammaBind,GammaBind_frac,Wbar,Wn,T_s_stored,viol_asrun_flag,viol_norm_flag
iscf480-temporal,r0f0,1,GARE7,M3_empirical,60,44.0,0.7333333333333333,26.0,0.43333333333333335,41115.0,46486.376462076456,45365.0,True,True
iscf480-temporal,r0f0,1,GARE8,M3_empirical,60,0.0,0.0,inf,inf,29263.0,24144.633699834474,45365.0,False,False
iscf480-temporal,r0f0,1,GARE9,M3_empirical,60,0.0,0.0,1.0,0.016666666666666666,44960.0,43600.304309220264,45365.0,True,False
iscf480-temporal,r0f0,1,GARE10,M3_empirical,60,inf,inf,1.0,0.016666666666666666,45361.0,77774.76206658408,45365.0,True,True
iscf480-temporal,r0f0,1,GARE11,M3_empirical,60,0.0,0.0,inf,inf,39076.0,27869.764423445842,45365.0,False,False
iscf480-temporal,r0f0,2,GARE4,M1_prop,60,0.0,0.0,4.0,0.06666666666666667,39638.0,29981.877377415785,45365.0,False,False
iscf480-temporal,r0f0,2,GARE5,M1_prop,60,0.0,0.0,2.0,0.03333333333333333,40772.0,40303.74445041273,45365.0,False,False
iscf480-temporal,r0f0,2,GARE6,M1_prop,60,9.0,0.15,1.0,0.016666666666666666,44936.0,64911.30701687075,45365.0,True,True
iscf480-temporal,r0f0,2,GARE7,M1_prop,60,0.0,0.0,1.0,0.016666666666666666,42630.0,34360.71429354439,45365.0,False,False
iscf480-temporal,r0f0,2,GARE8,M1_prop,60,0.0,0.0,5.0,0.08333333333333333,38309.0,31561.441303180123,45365.0,False,False
iscf480-temporal,r0f0,2,GARE9,M1_prop,60,19.0,0.31666666666666665,1.0,0.016666666666666666,45131.0,69923.95865077886,45365.0,True,True
iscf480-temporal,r0f0,2,GARE10,M1_prop,60,0.0,0.0,1.0,0.016666666666666666,45336.0,33033.41043377219,45365.0,False,False
iscf480-temporal,r0f0,2,GARE11,M1_prop,60,0.0,0.0,11.0,0.18333333333333332,33168.0,25843.546474025192,45365.0,False,False
iscf480-temporal,r0f0,2,GARE4,M2_sqrt,60,0.0,0.0,3.0,0.05,39638.0,29981.877377415785,45365.0,False,False
iscf480-temporal,r0f0,2,GARE5,M2_sqrt,60,0.0,0.0,2.0,0.03333333333333333,40772.0,40303.74445041273,45365.0,False,False
iscf480-temporal,r0f0,2,GARE6,M2_sqrt,60,9.0,0.15,1.0,0.016666666666666666,44936.0,64911.30701687075,45365.0,True,True
iscf480-temporal,r0f0,2,GARE7,M2_sqrt,60,0.0,0.0,1.0,0.016666666666666666,42630.0,34360.71429354439,45365.0,False,False
iscf480-temporal,r0f0,2,GARE8,M2_sqrt,60,0.0,0.0,4.0,0.06666666666666667,38309.0,31561.441303180123,45365.0,False,False
iscf480-temporal,r0f0,2,GARE9,M2_sqrt,60,13.0,0.21666666666666667,1.0,0.016666666666666666,45131.0,69923.95865077886,45365.0,True,True
iscf480-temporal,r0f0,2,GARE10,M2_sqrt,60,0.0,0.0,1.0,0.016666666666666666,45336.0,33033.41043377219,45365.0,False,False
iscf480-temporal,r0f0,2,GARE11,M2_sqrt,60,0.0,0.0,7.0,0.11666666666666667,33168.0,25843.546474025192,45365.0,False,False
iscf480-temporal,r0f0,2,GARE4,M3_empirical,60,0.0,0.0,inf,inf,39638.0,29981.877377415785,45365.0,False,False
iscf480-temporal,r0f0,2,GARE5,M3_empirical,60,0.0,0.0,43.0,0.7166666666666667,40772.0,40303.74445041273,45365.0,False,False
iscf480-temporal,r0f0,2,GARE6,M3_empirical,60,inf,inf,1.0,0.016666666666666666,44936.0,64911.30701687075,45365.0,True,True
iscf480-temporal,r0f0,2,GARE7,M3_empirical,60,0.0,0.0,16.0,0.26666666666666666,42630.0,34360.71429354439,45365.0,False,False
iscf480-temporal,r0f0,2,GARE8,M3_empirical,60,0.0,0.0,inf,inf,38309.0,31561.441303180123,45365.0,False,False
iscf480-temporal,r0f0,2,GARE9,M3_empirical,60,inf,inf,1.0,0.016666666666666666,45131.0,69923.95865077886,45365.0,True,True
iscf480-temporal,r0f0,2,GARE10,M3_empirical,60,0.0,0.0,1.0,0.016666666666666666,45336.0,33033.41043377219,45365.0,False,False
iscf480-temporal,r0f0,2,GARE11,M3_empirical,60,0.0,0.0,inf,inf,33168.0,25843.546474025192,45365.0,False,False
iscf480-temporal,r0f1,1,GARE4,M1_prop,60,51.0,0.85,1.0,0.016666666666666666,54071.0,103321.32590310539,54208.0,True,True
iscf480-temporal,r0f1,1,GARE5,M1_prop,60,0.0,0.0,10.0,0.16666666666666666,39550.0,28867.38088457418,54208.0,False,False
iscf480-temporal,r0f1,1,GARE6,M1_prop,60,0.0,0.0,1.0,0.016666666666666666,53513.0,33246.870401298846,54208.0,False,False
iscf480-temporal,r0f1,1,GARE7,M1_prop,60,0.0,0.0,1.0,0.016666666666666666,54191.0,34784.08564945737,54208.0,False,False
iscf480-temporal,r0f1,1,GARE8,M1_prop,60,0.0,0.0,27.0,0.45,35339.0,22519.154091837616,54208.0,False,False
iscf480-temporal,r0f1,1,GARE9,M1_prop,60,11.0,0.18333333333333332,1.0,0.016666666666666666,53676.0,79969.29494899759,54208.0,True,True
iscf480-temporal,r0f1,1,GARE10,M1_prop,60,0.0,0.0,1.0,0.016666666666666666,51820.0,34108.60283989966,54208.0,False,False
iscf480-temporal,r0f1,1,GARE11,M1_prop,60,2.0,0.03333333333333333,1.0,0.016666666666666666,52078.0,57421.28528082934,54208.0,False,True
iscf480-temporal,r0f1,1,GARE4,M2_sqrt,60,23.0,0.38333333333333336,1.0,0.016666666666666666,54071.0,103321.32590310539,54208.0,True,True
iscf480-temporal,r0f1,1,GARE5,M2_sqrt,60,0.0,0.0,5.0,0.08333333333333333,39550.0,28867.38088457418,54208.0,False,False
iscf480-temporal,r0f1,1,GARE6,M2_sqrt,60,0.0,0.0,1.0,0.016666666666666666,53513.0,33246.870401298846,54208.0,False,False
iscf480-temporal,r0f1,1,GARE7,M2_sqrt,60,0.0,0.0,1.0,0.016666666666666666,54191.0,34784.08564945737,54208.0,False,False
iscf480-temporal,r0f1,1,GARE8,M2_sqrt,60,0.0,0.0,9.0,0.15,35339.0,22519.154091837616,54208.0,False,False
iscf480-temporal,r0f1,1,GARE9,M2_sqrt,60,8.0,0.13333333333333333,1.0,0.016666666666666666,53676.0,79969.29494899759,54208.0,True,True
iscf480-temporal,r0f1,1,GARE10,M2_sqrt,60,0.0,0.0,1.0,0.016666666666666666,51820.0,34108.60283989966,54208.0,False,False
iscf480-temporal,r0f1,1,GARE11,M2_sqrt,60,2.0,0.03333333333333333,1.0,0.016666666666666666,52078.0,57421.28528082934,54208.0,False,True
iscf480-temporal,r0f1,1,GARE4,M3_empirical,60,inf,inf,1.0,0.016666666666666666,54071.0,103321.32590310539,54208.0,True,True
iscf480-temporal,r0f1,1,GARE5,M3_empirical,60,0.0,0.0,inf,inf,39550.0,28867.38088457418,54208.0,False,False
iscf480-temporal,r0f1,1,GARE6,M3_empirical,60,0.0,0.0,2.0,0.03333333333333333,53513.0,33246.870401298846,54208.0,False,False
iscf480-temporal,r0f1,1,GARE7,M3_empirical,60,0.0,0.0,1.0,0.016666666666666666,54191.0,34784.08564945737,54208.0,False,False
iscf480-temporal,r0f1,1,GARE8,M3_empirical,60,0.0,0.0,inf,inf,35339.0,22519.154091837616,54208.0,False,False
iscf480-temporal,r0f1,1,GARE9,M3_empirical,60,inf,inf,1.0,0.016666666666666666,53676.0,79969.29494899759,54208.0,True,True
iscf480-temporal,r0f1,1,GARE10,M3_empirical,60,0.0,0.0,7.0,0.11666666666666667,51820.0,34108.60283989966,54208.0,False,False
iscf480-temporal,r0f1,1,GARE11,M3_empirical,60,34.0,0.5666666666666667,6.0,0.1,52078.0,57421.28528082934,54208.0,False,True
iscf480-temporal,r0f1,2,GARE4,M1_prop,60,17.0,0.2833333333333333,1.0,0.016666666666666666,54111.0,92719.52483581414,54208.0,True,True
iscf480-temporal,r0f1,2,GARE5,M1_prop,60,8.0,0.13333333333333333,2.0,0.03333333333333333,47434.0,66139.60418399461,54208.0,False,True
iscf480-temporal,r0f1,2,GARE6,M1_prop,60,0.0,0.0,8.0,0.13333333333333333,41427.0,28388.640640907062,54208.0,False,False
iscf480-temporal,r0f1,2,GARE7,M1_prop,60,0.0,0.0,1.0,0.016666666666666666,54046.0,33704.62477127097,54208.0,False,False
iscf480-temporal,r0f1,2,GARE8,M1_prop,60,0.0,0.0,2.0,0.03333333333333333,48023.0,29158.55988209226,54208.0,False,False
iscf480-temporal,r0f1,2,GARE9,M1_prop,60,2.0,0.03333333333333333,1.0,0.016666666666666666,53707.0,58217.436864133284,54208.0,False,True
iscf480-temporal,r0f1,2,GARE10,M1_prop,60,2.0,0.03333333333333333,1.0,0.016666666666666666,51256.0,57897.40229028458,54208.0,False,True
iscf480-temporal,r0f1,2,GARE11,M1_prop,60,0.0,0.0,4.0,0.06666666666666667,44234.0,28012.206531503056,54208.0,False,False
iscf480-temporal,r0f1,2,GARE4,M2_sqrt,60,15.0,0.25,1.0,0.016666666666666666,54111.0,92719.52483581414,54208.0,True,True
iscf480-temporal,r0f1,2,GARE5,M2_sqrt,60,6.0,0.1,2.0,0.03333333333333333,47434.0,66139.60418399461,54208.0,False,True
iscf480-temporal,r0f1,2,GARE6,M2_sqrt,60,0.0,0.0,5.0,0.08333333333333333,41427.0,28388.640640907062,54208.0,False,False
iscf480-temporal,r0f1,2,GARE7,M2_sqrt,60,0.0,0.0,1.0,0.016666666666666666,54046.0,33704.62477127097,54208.0,False,False
iscf480-temporal,r0f1,2,GARE8,M2_sqrt,60,0.0,0.0,2.0,0.03333333333333333,48023.0,29158.55988209226,54208.0,False,False
iscf480-temporal,r0f1,2,GARE9,M2_sqrt,60,2.0,0.03333333333333333,1.0,0.016666666666666666,53707.0,58217.436864133284,54208.0,False,True
iscf480-temporal,r0f1,2,GARE10,M2_sqrt,60,2.0,0.03333333333333333,1.0,0.016666666666666666,51256.0,57897.40229028458,54208.0,False,True
iscf480-temporal,r0f1,2,GARE11,M2_sqrt,60,0.0,0.0,3.0,0.05,44234.0,28012.206531503056,54208.0,False,False
iscf480-temporal,r0f1,2,GARE4,M3_empirical,60,inf,inf,1.0,0.016666666666666666,54111.0,92719.52483581414,54208.0,True,True
iscf480-temporal,r0f1,2,GARE5,M3_empirical,60,inf,inf,inf,inf,47434.0,66139.60418399461,54208.0,False,True
iscf480-temporal,r0f1,2,GARE6,M3_empirical,60,0.0,0.0,inf,inf,41427.0,28388.640640907062,54208.0,False,False
iscf480-temporal,r0f1,2,GARE7,M3_empirical,60,0.0,0.0,1.0,0.016666666666666666,54046.0,33704.62477127097,54208.0,False,False
iscf480-temporal,r0f1,2,GARE8,M3_empirical,60,0.0,0.0,inf,inf,48023.0,29158.55988209226,54208.0,False,False
iscf480-temporal,r0f1,2,GARE9,M3_empirical,60,11.0,0.18333333333333332,1.0,0.016666666666666666,53707.0,58217.436864133284,54208.0,False,True
iscf480-temporal,r0f1,2,GARE10,M3_empirical,60,inf,inf,14.0,0.23333333333333334,51256.0,57897.40229028458,54208.0,False,True
iscf480-temporal,r0f1,2,GARE11,M3_empirical,60,0.0,0.0,inf,inf,44234.0,28012.206531503056,54208.0,False,False
iscf480-temporal,r0f2,1,GARE4,M1_prop,60,0.0,0.0,17.0,0.2833333333333333,39382.0,22939.07379450057,63569.0,False,False
iscf480-temporal,r0f2,1,GARE5,M1_prop,60,4.0,0.06666666666666667,1.0,0.016666666666666666,63417.0,101185.65439554058,63569.0,False,True
iscf480-temporal,r0f2,1,GARE6,M1_prop,60,0.0,0.0,2.0,0.03333333333333333,57503.0,28892.574742899906,63569.0,False,False
iscf480-temporal,r0f2,1,GARE7,M1_prop,60,0.0,0.0,1.0,0.016666666666666666,63375.0,35410.80323617079,63569.0,False,False
iscf480-temporal,r0f2,1,GARE8,M1_prop,60,2.0,0.03333333333333333,1.0,0.016666666666666666,62046.0,69244.74399669674,63569.0,False,True
iscf480-temporal,r0f2,1,GARE9,M1_prop,60,0.0,0.0,1.0,0.016666666666666666,59507.0,34126.24691931509,63569.0,False,False
iscf480-temporal,r0f2,1,GARE10,M1_prop,60,0.0,0.0,2.0,0.03333333333333333,53645.0,27192.426676473242,63569.0,False,False
iscf480-temporal,r0f2,1,GARE11,M1_prop,60,inf,inf,1.0,0.016666666666666666,63440.0,143323.47623840306,63569.0,True,True
iscf480-temporal,r0f2,1,GARE4,M2_sqrt,60,0.0,0.0,6.0,0.1,39382.0,22939.07379450057,63569.0,False,False
iscf480-temporal,r0f2,1,GARE5,M2_sqrt,60,6.0,0.1,1.0,0.016666666666666666,63417.0,101185.65439554058,63569.0,False,True
iscf480-temporal,r0f2,1,GARE6,M2_sqrt,60,0.0,0.0,2.0,0.03333333333333333,57503.0,28892.574742899906,63569.0,False,False
iscf480-temporal,r0f2,1,GARE7,M2_sqrt,60,0.0,0.0,1.0,0.016666666666666666,63375.0,35410.80323617079,63569.0,False,False
iscf480-temporal,r0f2,1,GARE8,M2_sqrt,60,1.0,0.016666666666666666,1.0,0.016666666666666666,62046.0,69244.74399669674,63569.0,False,True
iscf480-temporal,r0f2,1,GARE9,M2_sqrt,60,0.0,0.0,1.0,0.016666666666666666,59507.0,34126.24691931509,63569.0,False,False
iscf480-temporal,r0f2,1,GARE10,M2_sqrt,60,0.0,0.0,2.0,0.03333333333333333,53645.0,27192.426676473242,63569.0,False,False
iscf480-temporal,r0f2,1,GARE11,M2_sqrt,60,20.0,0.3333333333333333,1.0,0.016666666666666666,63440.0,143323.47623840306,63569.0,True,True
iscf480-temporal,r0f2,1,GARE4,M3_empirical,60,0.0,0.0,inf,inf,39382.0,22939.07379450057,63569.0,False,False
iscf480-temporal,r0f2,1,GARE5,M3_empirical,60,inf,inf,1.0,0.016666666666666666,63417.0,101185.65439554058,63569.0,False,True
iscf480-temporal,r0f2,1,GARE6,M3_empirical,60,0.0,0.0,51.0,0.85,57503.0,28892.574742899906,63569.0,False,False
iscf480-temporal,r0f2,1,GARE7,M3_empirical,60,0.0,0.0,1.0,0.016666666666666666,63375.0,35410.80323617079,63569.0,False,False
iscf480-temporal,r0f2,1,GARE8,M3_empirical,60,28.0,0.4666666666666667,3.0,0.05,62046.0,69244.74399669674,63569.0,False,True
iscf480-temporal,r0f2,1,GARE9,M3_empirical,60,0.0,0.0,16.0,0.26666666666666666,59507.0,34126.24691931509,63569.0,False,False
iscf480-temporal,r0f2,1,GARE10,M3_empirical,60,0.0,0.0,inf,inf,53645.0,27192.426676473242,63569.0,False,False
iscf480-temporal,r0f2,1,GARE11,M3_empirical,60,inf,inf,1.0,0.016666666666666666,63440.0,143323.47623840306,63569.0,True,True
iscf480-temporal,r0f2,2,GARE4,M1_prop,60,0.0,0.0,1.0,0.016666666666666666,58896.0,46719.27347449644,63569.0,False,False
iscf480-temporal,r0f2,2,GARE5,M1_prop,60,0.0,0.0,1.0,0.016666666666666666,62283.0,38168.82121059627,63569.0,False,False
iscf480-temporal,r0f2,2,GARE6,M1_prop,60,0.0,0.0,1.0,0.016666666666666666,63098.0,35585.78923599014,63569.0,False,False
iscf480-temporal,r0f2,2,GARE7,M1_prop,60,3.0,0.05,1.0,0.016666666666666666,63220.0,95675.58387850165,63569.0,False,True
iscf480-temporal,r0f2,2,GARE8,M1_prop,60,2.0,0.03333333333333333,2.0,0.03333333333333333,55313.0,67069.34986257886,63569.0,False,True
iscf480-temporal,r0f2,2,GARE9,M1_prop,60,36.0,0.6,1.0,0.016666666666666666,62229.0,125950.1503245203,63569.0,False,True
iscf480-temporal,r0f2,2,GARE10,M1_prop,60,0.0,0.0,6.0,0.1,50600.0,29628.311333049456,63569.0,False,False
iscf480-temporal,r0f2,2,GARE11,M1_prop,60,0.0,0.0,6.0,0.1,46676.0,23517.72068026684,63569.0,False,False
iscf480-temporal,r0f2,2,GARE4,M2_sqrt,60,0.0,0.0,1.0,0.016666666666666666,58896.0,46719.27347449644,63569.0,False,False
iscf480-temporal,r0f2,2,GARE5,M2_sqrt,60,0.0,0.0,1.0,0.016666666666666666,62283.0,38168.82121059627,63569.0,False,False
iscf480-temporal,r0f2,2,GARE6,M2_sqrt,60,0.0,0.0,1.0,0.016666666666666666,63098.0,35585.78923599014,63569.0,False,False
iscf480-temporal,r0f2,2,GARE7,M2_sqrt,60,5.0,0.08333333333333333,1.0,0.016666666666666666,63220.0,95675.58387850165,63569.0,False,True
iscf480-temporal,r0f2,2,GARE8,M2_sqrt,60,2.0,0.03333333333333333,2.0,0.03333333333333333,55313.0,67069.34986257886,63569.0,False,True
iscf480-temporal,r0f2,2,GARE9,M2_sqrt,60,14.0,0.23333333333333334,1.0,0.016666666666666666,62229.0,125950.1503245203,63569.0,False,True
iscf480-temporal,r0f2,2,GARE10,M2_sqrt,60,0.0,0.0,3.0,0.05,50600.0,29628.311333049456,63569.0,False,False
iscf480-temporal,r0f2,2,GARE11,M2_sqrt,60,0.0,0.0,4.0,0.06666666666666667,46676.0,23517.72068026684,63569.0,False,False
iscf480-temporal,r0f2,2,GARE4,M3_empirical,60,0.0,0.0,21.0,0.35,58896.0,46719.27347449644,63569.0,False,False
iscf480-temporal,r0f2,2,GARE5,M3_empirical,60,0.0,0.0,3.0,0.05,62283.0,38168.82121059627,63569.0,False,False
iscf480-temporal,r0f2,2,GARE6,M3_empirical,60,0.0,0.0,1.0,0.016666666666666666,63098.0,35585.78923599014,63569.0,False,False
iscf480-temporal,r0f2,2,GARE7,M3_empirical,60,inf,inf,1.0,0.016666666666666666,63220.0,95675.58387850165,63569.0,False,True
iscf480-temporal,r0f2,2,GARE8,M3_empirical,60,inf,inf,inf,inf,55313.0,67069.34986257886,63569.0,False,True
iscf480-temporal,r0f2,2,GARE9,M3_empirical,60,inf,inf,2.0,0.03333333333333333,62229.0,125950.1503245203,63569.0,False,True
iscf480-temporal,r0f2,2,GARE10,M3_empirical,60,0.0,0.0,inf,inf,50600.0,29628.311333049456,63569.0,False,False
iscf480-temporal,r0f2,2,GARE11,M3_empirical,60,0.0,0.0,inf,inf,46676.0,23517.72068026684,63569.0,False,False
iscf480-temporal,r0f3,1,GARE4,M1_prop,60,0.0,0.0,1.0,0.016666666666666666,66060.0,23156.269185079593,72966.0,False,False
iscf480-temporal,r0f3,1,GARE5,M1_prop,60,0.0,0.0,1.0,0.016666666666666666,71371.0,71211.26589542555,72966.0,False,False
iscf480-temporal,r0f3,1,GARE6,M1_prop,60,0.0,0.0,1.0,0.016666666666666666,72538.0,34975.24449439845,72966.0,False,False
iscf480-temporal,r0f3,1,GARE7,M1_prop,60,1.0,0.016666666666666666,1.0,0.016666666666666666,66196.0,66459.10678582525,72966.0,False,False
iscf480-temporal,r0f3,1,GARE8,M1_prop,60,0.0,0.0,2.0,0.03333333333333333,60487.0,19978.464828115575,72966.0,False,False
iscf480-temporal,r0f3,1,GARE9,M1_prop,60,0.0,0.0,5.0,0.08333333333333333,49730.0,24468.77027249301,72966.0,False,False
iscf480-temporal,r0f3,1,GARE10,M1_prop,60,5.0,0.08333333333333333,1.0,0.016666666666666666,71433.0,106635.86421039165,72966.0,False,True
iscf480-temporal,r0f3,1,GARE11,M1_prop,60,54.0,0.9,1.0,0.016666666666666666,72846.0,183776.01432827092,72966.0,False,True
iscf480-temporal,r0f3,1,GARE4,M2_sqrt,60,0.0,0.0,1.0,0.016666666666666666,66060.0,23156.269185079593,72966.0,False,False
iscf480-temporal,r0f3,1,GARE5,M2_sqrt,60,0.0,0.0,1.0,0.016666666666666666,71371.0,71211.26589542555,72966.0,False,False
iscf480-temporal,r0f3,1,GARE6,M2_sqrt,60,0.0,0.0,1.0,0.016666666666666666,72538.0,34975.24449439845,72966.0,False,False
iscf480-temporal,r0f3,1,GARE7,M2_sqrt,60,1.0,0.016666666666666666,1.0,0.016666666666666666,66196.0,66459.10678582525,72966.0,False,False
iscf480-temporal,r0f3,1,GARE8,M2_sqrt,60,0.0,0.0,2.0,0.03333333333333333,60487.0,19978.464828115575,72966.0,False,False
iscf480-temporal,r0f3,1,GARE9,M2_sqrt,60,0.0,0.0,3.0,0.05,49730.0,24468.77027249301,72966.0,False,False
iscf480-temporal,r0f3,1,GARE10,M2_sqrt,60,4.0,0.06666666666666667,1.0,0.016666666666666666,71433.0,106635.86421039165,72966.0,False,True
iscf480-temporal,r0f3,1,GARE11,M2_sqrt,60,19.0,0.31666666666666665,1.0,0.016666666666666666,72846.0,183776.01432827092,72966.0,False,True
iscf480-temporal,r0f3,1,GARE4,M3_empirical,60,0.0,0.0,inf,inf,66060.0,23156.269185079593,72966.0,False,False
iscf480-temporal,r0f3,1,GARE5,M3_empirical,60,0.0,0.0,3.0,0.05,71371.0,71211.26589542555,72966.0,False,False
iscf480-temporal,r0f3,1,GARE6,M3_empirical,60,0.0,0.0,1.0,0.016666666666666666,72538.0,34975.24449439845,72966.0,False,False
iscf480-temporal,r0f3,1,GARE7,M3_empirical,60,1.0,0.016666666666666666,33.0,0.55,66196.0,66459.10678582525,72966.0,False,False
iscf480-temporal,r0f3,1,GARE8,M3_empirical,60,0.0,0.0,inf,inf,60487.0,19978.464828115575,72966.0,False,False
iscf480-temporal,r0f3,1,GARE9,M3_empirical,60,0.0,0.0,inf,inf,49730.0,24468.77027249301,72966.0,False,False
iscf480-temporal,r0f3,1,GARE10,M3_empirical,60,inf,inf,2.0,0.03333333333333333,71433.0,106635.86421039165,72966.0,False,True
iscf480-temporal,r0f3,1,GARE11,M3_empirical,60,inf,inf,1.0,0.016666666666666666,72846.0,183776.01432827092,72966.0,False,True
iscf480-temporal,r0f3,2,GARE4,M1_prop,60,0.0,0.0,2.0,0.03333333333333333,61003.0,26886.875724180783,72966.0,False,False
iscf480-temporal,r0f3,2,GARE5,M1_prop,60,0.0,0.0,2.0,0.03333333333333333,63170.0,26437.521903613135,72966.0,False,False
iscf480-temporal,r0f3,2,GARE6,M1_prop,60,3.0,0.05,1.0,0.016666666666666666,72270.0,120827.68631321161,72966.0,False,True
iscf480-temporal,r0f3,2,GARE7,M1_prop,60,0.0,0.0,5.0,0.08333333333333333,53679.0,31425.672588043934,72966.0,False,False
iscf480-temporal,r0f3,2,GARE8,M1_prop,60,3.0,0.05,1.0,0.016666666666666666,67288.0,88907.40124641336,72966.0,False,True
iscf480-temporal,r0f3,2,GARE9,M1_prop,60,0.0,0.0,1.0,0.016666666666666666,72892.0,30436.4476305353,72966.0,False,False
iscf480-temporal,r0f3,2,GARE10,M1_prop,60,22.0,0.36666666666666664,1.0,0.016666666666666666,72837.0,159711.3392181589,72966.0,False,True
iscf480-temporal,r0f3,2,GARE11,M1_prop,60,0.0,0.0,1.0,0.016666666666666666,67522.0,46028.055375842974,72966.0,False,False
iscf480-temporal,r0f3,2,GARE4,M2_sqrt,60,0.0,0.0,2.0,0.03333333333333333,61003.0,26886.875724180783,72966.0,False,False
iscf480-temporal,r0f3,2,GARE5,M2_sqrt,60,0.0,0.0,1.0,0.016666666666666666,63170.0,26437.521903613135,72966.0,False,False
iscf480-temporal,r0f3,2,GARE6,M2_sqrt,60,4.0,0.06666666666666667,1.0,0.016666666666666666,72270.0,120827.68631321161,72966.0,False,True
iscf480-temporal,r0f3,2,GARE7,M2_sqrt,60,0.0,0.0,3.0,0.05,53679.0,31425.672588043934,72966.0,False,False
iscf480-temporal,r0f3,2,GARE8,M2_sqrt,60,2.0,0.03333333333333333,1.0,0.016666666666666666,67288.0,88907.40124641336,72966.0,False,True
iscf480-temporal,r0f3,2,GARE9,M2_sqrt,60,0.0,0.0,1.0,0.016666666666666666,72892.0,30436.4476305353,72966.0,False,False
iscf480-temporal,r0f3,2,GARE10,M2_sqrt,60,10.0,0.16666666666666666,1.0,0.016666666666666666,72837.0,159711.3392181589,72966.0,False,True
iscf480-temporal,r0f3,2,GARE11,M2_sqrt,60,0.0,0.0,1.0,0.016666666666666666,67522.0,46028.055375842974,72966.0,False,False
iscf480-temporal,r0f3,2,GARE4,M3_empirical,60,0.0,0.0,inf,inf,61003.0,26886.875724180783,72966.0,False,False
iscf480-temporal,r0f3,2,GARE5,M3_empirical,60,0.0,0.0,inf,inf,63170.0,26437.521903613135,72966.0,False,False
iscf480-temporal,r0f3,2,GARE6,M3_empirical,60,inf,inf,1.0,0.016666666666666666,72270.0,120827.68631321161,72966.0,False,True
iscf480-temporal,r0f3,2,GARE7,M3_empirical,60,0.0,0.0,inf,inf,53679.0,31425.672588043934,72966.0,False,False
iscf480-temporal,r0f3,2,GARE8,M3_empirical,60,inf,inf,18.0,0.3,67288.0,88907.40124641336,72966.0,False,True
iscf480-temporal,r0f3,2,GARE9,M3_empirical,60,0.0,0.0,1.0,0.016666666666666666,72892.0,30436.4476305353,72966.0,False,False
