variant,fold,k,station,W_tr,W_te,T_s_stored,Tn,ratio_asrun,ratio_norm,share,viol_asrun_flag,viol_norm_flag,train_viol_flag
temporal,0,3,GARE7,1898.0,1292.0,1904.0,1648,0.6786,0.784,0.10785,0,0,0
temporal,0,3,GARE8,1506.0,976.0,1904.0,1648,0.5126,0.5922,0.08147,0,0,0
temporal,0,3,GARE9,1880.0,1548.0,1904.0,1648,0.813,0.9393,0.12922,0,0,0
temporal,0,3,GARE10,1888.0,1594.0,1904.0,1648,0.8372,0.9672,0.13306,0,0,0
temporal,0,3,GARE11,1295.0,809.0,1904.0,1648,0.4249,0.4909,0.06753,0,0,0
temporal,0,4,GARE4,1583.0,1171.0,1904.0,1648,0.615,0.7106,0.09775,0,0,0
temporal,0,4,GARE5,1871.0,1433.0,1904.0,1648,0.7526,0.8695,0.11962,0,0,0
temporal,0,4,GARE6,1894.0,1618.0,1904.0,1648,0.8498,0.9818,0.13506,0,0,0
temporal,0,4,GARE7,1699.0,1241.0,1904.0,1648,0.6518,0.753,0.10359,0,0,0
temporal,0,4,GARE8,1745.0,2109.0,1904.0,1648,1.1077,1.2797,0.17604,1,1,0
temporal,0,4,GARE9,1857.0,2179.0,1904.0,1648,1.1444,1.3222,0.18189,1,1,0
temporal,0,4,GARE10,1289.0,827.0,1904.0,1648,0.4343,0.5018,0.06903,0,0,0
temporal,0,4,GARE11,1904.0,1402.0,1904.0,1648,0.7363,0.8507,0.11703,0,0,0
temporal,0,6,GARE4,1563.0,1084.0,1904.0,1648,0.5693,0.6578,0.09048,0,0,0
temporal,0,6,GARE5,1791.0,1415.0,1904.0,1648,0.7432,0.8586,0.11811,0,0,0
temporal,0,6,GARE6,1769.0,1638.0,1904.0,1648,0.8603,0.9939,0.13673,0,0,0
temporal,0,6,GARE7,1803.0,1489.0,1904.0,1648,0.782,0.9035,0.12429,0,0,0
temporal,0,6,GARE8,1503.0,1144.0,1904.0,1648,0.6008,0.6942,0.09549,0,0,0
temporal,0,6,GARE9,1778.0,1276.0,1904.0,1648,0.6702,0.7743,0.10651,0,0,0
temporal,0,6,GARE10,1819.0,2458.0,1904.0,1648,1.291,1.4915,0.20518,1,1,0
temporal,0,6,GARE11,1816.0,1476.0,1904.0,1648,0.7752,0.8956,0.12321,0,0,0
temporal,1,1,GARE4,2148.0,1110.0,2212.0,1339,0.5018,0.829,0.11401,0,0,0
temporal,1,1,GARE5,2212.0,1937.0,2212.0,1339,0.8757,1.4466,0.19895,0,1,0
temporal,1,1,GARE6,2209.0,1074.0,2212.0,1339,0.4855,0.8021,0.11031,0,0,0
temporal,1,1,GARE7,1275.0,441.0,2212.0,1339,0.1994,0.3294,0.0453,0,0,0
temporal,1,1,GARE8,2212.0,1124.0,2212.0,1339,0.5081,0.8394,0.11545,0,0,0
temporal,1,1,GARE9,1648.0,749.0,2212.0,1339,0.3386,0.5594,0.07693,0,0,0
temporal,1,1,GARE10,2171.0,1038.0,2212.0,1339,0.4693,0.7752,0.10661,0,0,0
temporal,1,1,GARE11,2211.0,2263.0,2212.0,1339,1.0231,1.6901,0.23244,1,1,0
temporal,1,2,GARE4,2093.0,975.0,2212.0,1339,0.4408,0.7282,0.10014,0,0,0
temporal,1,2,GARE5,1264.0,557.0,2212.0,1339,0.2518,0.416,0.05721,0,0,0
temporal,1,2,GARE6,2135.0,942.0,2212.0,1339,0.4259,0.7035,0.09675,0,0,0
temporal,1,2,GARE7,2160.0,1771.0,2212.0,1339,0.8006,1.3226,0.1819,0,1,0
temporal,1,2,GARE8,2211.0,1249.0,2212.0,1339,0.5646,0.9328,0.12829,0,0,0
temporal,1,2,GARE9,2140.0,2051.0,2212.0,1339,0.9272,1.5317,0.21066,0,1,0
temporal,1,2,GARE10,2187.0,1026.0,2212.0,1339,0.4638,0.7662,0.10538,0,0,0
temporal,1,2,GARE11,1896.0,1165.0,2212.0,1339,0.5267,0.8701,0.11966,0,0,0
temporal,1,3,GARE4,2211.0,1251.0,2212.0,1339,0.5656,0.9343,0.12849,0,0,0
temporal,1,3,GARE5,1787.0,1252.0,2212.0,1339,0.566,0.935,0.12859,0,0,0
temporal,1,3,GARE6,1969.0,942.0,2212.0,1339,0.4259,0.7035,0.09675,0,0,0
temporal,1,3,GARE7,2209.0,1275.0,2212.0,1339,0.5764,0.9522,0.13096,0,0,0
temporal,1,3,GARE8,1369.0,758.0,2212.0,1339,0.3427,0.5661,0.07786,0,0,0
temporal,1,3,GARE9,2205.0,2090.0,2212.0,1339,0.9448,1.5609,0.21467,0,1,0
temporal,1,3,GARE10,2196.0,1087.0,2212.0,1339,0.4914,0.8118,0.11165,0,0,0
temporal,1,3,GARE11,2140.0,1081.0,2212.0,1339,0.4887,0.8073,0.11103,0,0,0
temporal,1,4,GARE4,2204.0,2213.0,2212.0,1339,1.0005,1.6527,0.2273,1,1,0
temporal,1,4,GARE5,1950.0,960.0,2212.0,1339,0.434,0.717,0.0986,0,0,0
temporal,1,4,GARE6,2188.0,1204.0,2212.0,1339,0.5443,0.8992,0.12366,0,0,0
temporal,1,4,GARE7,2118.0,1318.0,2212.0,1339,0.5958,0.9843,0.13537,0,0,0
temporal,1,4,GARE8,2199.0,1429.0,2212.0,1339,0.646,1.0672,0.14677,0,1,0
temporal,1,4,GARE9,1927.0,1188.0,2212.0,1339,0.5371,0.8872,0.12202,0,0,0
temporal,1,4,GARE10,2197.0,958.0,2212.0,1339,0.4331,0.7155,0.0984,0,0,0
temporal,1,4,GARE11,1303.0,466.0,2212.0,1339,0.2107,0.348,0.04786,0,0,0
temporal,1,6,GARE4,1530.0,638.0,2212.0,1339,0.2884,0.4765,0.06553,0,0,0
temporal,1,6,GARE5,2175.0,1707.0,2212.0,1339,0.7717,1.2748,0.17533,0,1,0
temporal,1,6,GARE6,2135.0,1411.0,2212.0,1339,0.6379,1.0538,0.14493,0,1,0
temporal,1,6,GARE7,2055.0,958.0,2212.0,1339,0.4331,0.7155,0.0984,0,0,0
temporal,1,6,GARE8,2045.0,1023.0,2212.0,1339,0.4625,0.764,0.10507,0,0,0
temporal,1,6,GARE9,1809.0,1087.0,2212.0,1339,0.4914,0.8118,0.11165,0,0,0
temporal,1,6,GARE10,2152.0,990.0,2212.0,1339,0.4476,0.7394,0.10168,0,0,0
temporal,1,6,GARE11,2185.0,1922.0,2212.0,1339,0.8689,1.4354,0.19741,0,1,0
temporal,2,1,GARE4,2523.0,827.0,2529.0,1022,0.327,0.8092,0.11131,0,0,0
temporal,2,1,GARE5,2522.0,683.0,2529.0,1022,0.2701,0.6683,0.09192,0,0,0
temporal,2,1,GARE6,2206.0,860.0,2529.0,1022,0.3401,0.8415,0.11575,0,0,0
temporal,2,1,GARE7,2526.0,2195.0,2529.0,1022,0.8679,2.1477,0.29542,0,1,0
temporal,2,1,GARE8,2330.0,707.0,2529.0,1022,0.2796,0.6918,0.09515,0,0,0
temporal,2,1,GARE9,1393.0,411.0,2529.0,1022,0.1625,0.4022,0.05532,0,0,0
temporal,2,1,GARE10,2375.0,948.0,2529.0,1022,0.3749,0.9276,0.12759,0,0,0
temporal,2,1,GARE11,2517.0,799.0,2529.0,1022,0.3159,0.7818,0.10754,0,0,0
temporal,2,2,GARE4,2281.0,686.0,2529.0,1022,0.2713,0.6712,0.09233,0,0,0
temporal,2,2,GARE5,2446.0,977.0,2529.0,1022,0.3863,0.956,0.13149,0,0,0
temporal,2,2,GARE6,2523.0,726.0,2529.0,1022,0.2871,0.7104,0.09771,0,0,0
temporal,2,2,GARE7,1923.0,495.0,2529.0,1022,0.1957,0.4843,0.06662,0,0,0
temporal,2,2,GARE8,2495.0,1399.0,2529.0,1022,0.5532,1.3689,0.18829,0,1,0
temporal,2,2,GARE9,2285.0,640.0,2529.0,1022,0.2531,0.6262,0.08614,0,0,0
temporal,2,2,GARE10,1923.0,811.0,2529.0,1022,0.3207,0.7935,0.10915,0,0,0
temporal,2,2,GARE11,2516.0,1696.0,2529.0,1022,0.6706,1.6595,0.22826,0,1,0
temporal,2,3,GARE4,2529.0,747.0,2529.0,1022,0.2954,0.7309,0.10054,0,0,0
temporal,2,3,GARE5,1729.0,617.0,2529.0,1022,0.244,0.6037,0.08304,0,0,0
temporal,2,3,GARE6,1522.0,389.0,2529.0,1022,0.1538,0.3806,0.05236,0,0,0
temporal,2,3,GARE7,2524.0,1365.0,2529.0,1022,0.5397,1.3356,0.18371,0,1,0
temporal,2,3,GARE8,2524.0,885.0,2529.0,1022,0.3499,0.8659,0.11911,0,0,0
temporal,2,3,GARE9,2527.0,2104.0,2529.0,1022,0.8319,2.0587,0.28318,0,1,0
temporal,2,3,GARE10,2509.0,657.0,2529.0,1022,0.2598,0.6429,0.08843,0,0,0
temporal,2,3,GARE11,2528.0,666.0,2529.0,1022,0.2633,0.6517,0.08964,0,0,0
temporal,2,4,GARE4,2252.0,768.0,2529.0,1022,0.3037,0.7515,0.10336,0,0,0
temporal,2,4,GARE5,2523.0,1939.0,2529.0,1022,0.7667,1.8973,0.26097,0,1,0
temporal,2,4,GARE6,2389.0,713.0,2529.0,1022,0.2819,0.6977,0.09596,0,0,0
temporal,2,4,GARE7,2061.0,905.0,2529.0,1022,0.3578,0.8855,0.1218,0,0,0
temporal,2,4,GARE8,2071.0,554.0,2529.0,1022,0.2191,0.5421,0.07456,0,0,0
temporal,2,4,GARE9,2520.0,967.0,2529.0,1022,0.3824,0.9462,0.13015,0,0,0
temporal,2,4,GARE10,2052.0,513.0,2529.0,1022,0.2028,0.502,0.06904,0,0,0
temporal,2,4,GARE11,2524.0,1071.0,2529.0,1022,0.4235,1.0479,0.14415,0,1,0
temporal,2,6,GARE4,2230.0,755.0,2529.0,1022,0.2985,0.7387,0.10162,0,0,0
temporal,2,6,GARE5,2498.0,947.0,2529.0,1022,0.3745,0.9266,0.12746,0,0,0
temporal,2,6,GARE6,1819.0,532.0,2529.0,1022,0.2104,0.5205,0.0716,0,0,0
temporal,2,6,GARE7,2446.0,1159.0,2529.0,1022,0.4583,1.1341,0.15599,0,1,0
temporal,2,6,GARE8,2508.0,1087.0,2529.0,1022,0.4298,1.0636,0.1463,0,1,0
temporal,2,6,GARE9,1870.0,470.0,2529.0,1022,0.1858,0.4599,0.06326,0,0,0
temporal,2,6,GARE10,2516.0,696.0,2529.0,1022,0.2752,0.681,0.09367,0,0,0
temporal,2,6,GARE11,2505.0,1784.0,2529.0,1022,0.7054,1.7456,0.24011,0,1,0
temporal,3,1,GARE4,2829.0,415.0,2850.0,702,0.1456,0.5912,0.08139,0,0,0
temporal,3,1,GARE5,2850.0,403.0,2850.0,702,0.1414,0.5741,0.07904,0,0,0
temporal,3,1,GARE6,2672.0,881.0,2850.0,702,0.3091,1.255,0.17278,0,1,0
temporal,3,1,GARE7,2190.0,290.0,2850.0,702,0.1018,0.4131,0.05687,0,0,0
temporal,3,1,GARE8,2807.0,1353.0,2850.0,702,0.4747,1.9274,0.26535,0,1,0
temporal,3,1,GARE9,2547.0,475.0,2850.0,702,0.1667,0.6766,0.09316,0,0,0
temporal,3,1,GARE10,1984.0,154.0,2850.0,702,0.054,0.2194,0.0302,0,0,0
temporal,3,1,GARE11,2844.0,1128.0,2850.0,702,0.3958,1.6068,0.22122,0,1,0
temporal,3,2,GARE4,2190.0,562.0,2850.0,702,0.1972,0.8006,0.11022,0,0,0
temporal,3,2,GARE5,2411.0,600.0,2850.0,702,0.2105,0.8547,0.11767,0,0,0
temporal,3,2,GARE6,2835.0,565.0,2850.0,702,0.1982,0.8048,0.11081,0,0,0
temporal,3,2,GARE7,2237.0,302.0,2850.0,702,0.106,0.4302,0.05923,0,0,0
temporal,3,2,GARE8,2818.0,1658.0,2850.0,702,0.5818,2.3618,0.32516,0,1,0
temporal,3,2,GARE9,2798.0,604.0,2850.0,702,0.2119,0.8604,0.11845,0,0,0
temporal,3,2,GARE10,2654.0,356.0,2850.0,702,0.1249,0.5071,0.06982,0,0,0
temporal,3,2,GARE11,2780.0,452.0,2850.0,702,0.1586,0.6439,0.08864,0,0,0
temporal,3,3,GARE4,2417.0,299.0,2850.0,702,0.1049,0.4259,0.05864,0,0,0
temporal,3,3,GARE5,2386.0,311.0,2850.0,702,0.1091,0.443,0.06099,0,0,0
temporal,3,3,GARE6,2849.0,597.0,2850.0,702,0.2095,0.8504,0.11708,0,0,0
temporal,3,3,GARE7,2644.0,370.0,2850.0,702,0.1298,0.5271,0.07256,0,0,0
temporal,3,3,GARE8,2844.0,1516.0,2850.0,702,0.5319,2.1595,0.29731,0,1,0
temporal,3,3,GARE9,2846.0,660.0,2850.0,702,0.2316,0.9402,0.12944,0,0,0
temporal,3,3,GARE10,2850.0,1138.0,2850.0,702,0.3993,1.6211,0.22318,0,1,0
temporal,3,3,GARE11,1887.0,208.0,2850.0,702,0.073,0.2963,0.04079,0,0,0
temporal,3,4,GARE4,2832.0,1249.0,2850.0,702,0.4382,1.7792,0.24495,0,1,0
temporal,3,4,GARE5,2510.0,424.0,2850.0,702,0.1488,0.604,0.08315,0,0,0
temporal,3,4,GARE6,2843.0,482.0,2850.0,702,0.1691,0.6866,0.09453,0,0,0
temporal,3,4,GARE7,2422.0,267.0,2850.0,702,0.0937,0.3803,0.05236,0,0,0
temporal,3,4,GARE8,2077.0,316.0,2850.0,702,0.1109,0.4501,0.06197,0,0,0
temporal,3,4,GARE9,2619.0,1155.0,2850.0,702,0.4053,1.6453,0.22652,0,1,0
temporal,3,4,GARE10,2580.0,354.0,2850.0,702,0.1242,0.5043,0.06943,0,0,0
temporal,3,4,GARE11,2840.0,852.0,2850.0,702,0.2989,1.2137,0.16709,0,1,0
temporal,3,6,GARE4,2431.0,847.0,2850.0,702,0.2972,1.2066,0.16611,0,1,0
temporal,3,6,GARE5,2848.0,1098.0,2850.0,702,0.3853,1.5641,0.21534,0,1,0
temporal,3,6,GARE6,1889.0,229.0,2850.0,702,0.0804,0.3262,0.04491,0,0,0
temporal,3,6,GARE7,2386.0,429.0,2850.0,702,0.1505,0.6111,0.08413,0,0,0
temporal,3,6,GARE8,2775.0,323.0,2850.0,702,0.1133,0.4601,0.06335,0,0,0
temporal,3,6,GARE9,2788.0,1182.0,2850.0,702,0.4147,1.6838,0.23181,0,1,0
temporal,3,6,GARE10,2758.0,492.0,2850.0,702,0.1726,0.7009,0.09649,0,0,0
temporal,3,6,GARE11,2848.0,499.0,2850.0,702,0.1751,0.7108,0.09786,0,0,0
temporal,4,1,GARE4,1782.0,82.0,3155.0,396,0.026,0.2071,0.02849,0,0,0
temporal,4,1,GARE5,3094.0,416.0,3155.0,396,0.1319,1.0505,0.14454,0,1,0
temporal,4,1,GARE6,3153.0,573.0,3155.0,396,0.1816,1.447,0.1991,0,1,0
temporal,4,1,GARE7,3153.0,215.0,3155.0,396,0.0681,0.5429,0.0747,0,0,0
temporal,4,1,GARE8,3151.0,931.0,3155.0,396,0.2951,2.351,0.32349,0,1,0
temporal,4,1,GARE9,2459.0,390.0,3155.0,396,0.1236,0.9848,0.13551,0,0,0
temporal,4,1,GARE10,3152.0,134.0,3155.0,396,0.0425,0.3384,0.04656,0,0,0
temporal,4,1,GARE11,3000.0,137.0,3155.0,396,0.0434,0.346,0.0476,0,0,0
temporal,4,2,GARE4,3150.0,79.0,3155.0,396,0.025,0.1995,0.02745,0,0,0
temporal,4,2,GARE5,3077.0,120.0,3155.0,396,0.038,0.303,0.0417,0,0,0
temporal,4,2,GARE6,3119.0,1043.0,3155.0,396,0.3306,2.6338,0.3624,0,1,0
temporal,4,2,GARE7,2710.0,360.0,3155.0,396,0.1141,0.9091,0.12509,0,0,0
temporal,4,2,GARE8,2802.0,167.0,3155.0,396,0.0529,0.4217,0.05803,0,0,0
temporal,4,2,GARE9,2279.0,121.0,3155.0,396,0.0384,0.3056,0.04204,0,0,0
temporal,4,2,GARE10,2654.0,179.0,3155.0,396,0.0567,0.452,0.0622,0,0,0
temporal,4,2,GARE11,3153.0,809.0,3155.0,396,0.2564,2.0429,0.2811,0,1,0
temporal,4,3,GARE4,3155.0,180.0,3155.0,396,0.0571,0.4545,0.06254,0,0,0
temporal,4,3,GARE5,1449.0,90.0,3155.0,396,0.0285,0.2273,0.03127,0,0,0
temporal,4,3,GARE6,3122.0,895.0,3155.0,396,0.2837,2.2601,0.31098,0,1,0
temporal,4,3,GARE7,3123.0,705.0,3155.0,396,0.2235,1.7803,0.24496,0,1,0
temporal,4,3,GARE8,3069.0,354.0,3155.0,396,0.1122,0.8939,0.123,0,0,0
temporal,4,3,GARE9,3151.0,364.0,3155.0,396,0.1154,0.9192,0.12648,0,0,0
temporal,4,3,GARE10,3140.0,183.0,3155.0,396,0.058,0.4621,0.06359,0,0,0
temporal,4,3,GARE11,2735.0,107.0,3155.0,396,0.0339,0.2702,0.03718,0,0,0
temporal,4,4,GARE4,2169.0,46.0,3155.0,396,0.0146,0.1162,0.01598,0,0,0
temporal,4,4,GARE5,2741.0,417.0,3155.0,396,0.1322,1.053,0.14489,0,1,0
temporal,4,4,GARE6,2924.0,572.0,3155.0,396,0.1813,1.4444,0.19875,0,1,0
temporal,4,4,GARE7,3152.0,216.0,3155.0,396,0.0685,0.5455,0.07505,0,0,0
temporal,4,4,GARE8,3032.0,352.0,3155.0,396,0.1116,0.8889,0.12231,0,0,0
temporal,4,4,GARE9,2769.0,125.0,3155.0,396,0.0396,0.3157,0.04343,0,0,0
temporal,4,4,GARE10,3016.0,140.0,3155.0,396,0.0444,0.3535,0.04864,0,0,0
temporal,4,4,GARE11,3141.0,1010.0,3155.0,396,0.3201,2.5505,0.35094,0,1,0
temporal,4,6,GARE4,2533.0,83.0,3155.0,396,0.0263,0.2096,0.02884,0,0,0
temporal,4,6,GARE5,3119.0,149.0,3155.0,396,0.0472,0.3763,0.05177,0,0,0
temporal,4,6,GARE6,3116.0,589.0,3155.0,396,0.1867,1.4874,0.20466,0,1,0
temporal,4,6,GARE7,3097.0,436.0,3155.0,396,0.1382,1.101,0.15149,0,1,0
temporal,4,6,GARE8,2535.0,140.0,3155.0,396,0.0444,0.3535,0.04864,0,0,0
temporal,4,6,GARE9,3100.0,349.0,3155.0,396,0.1106,0.8813,0.12126,0,0,0
temporal,4,6,GARE10,2366.0,329.0,3155.0,396,0.1043,0.8308,0.11432,0,0,0
temporal,4,6,GARE11,3078.0,803.0,3155.0,396,0.2545,2.0278,0.27901,0,1,0
t500,0,1,GARE4,183.0,1543.0,183.0,1648,8.4317,0.9363,0.1288,1,0,0
t500,0,1,GARE5,143.0,930.0,183.0,1648,5.082,0.5643,0.07763,1,0,0
t500,0,1,GARE6,181.0,1545.0,183.0,1648,8.4426,0.9375,0.12896,1,0,0
t500,0,1,GARE7,180.0,2939.0,183.0,1648,16.0601,1.7834,0.24533,1,1,0
t500,0,1,GARE8,141.0,951.0,183.0,1648,5.1967,0.5771,0.07938,1,0,0
t500,0,1,GARE9,181.0,1574.0,183.0,1648,8.6011,0.9551,0.13139,1,0,0
t500,0,1,GARE10,145.0,1059.0,183.0,1648,5.7869,0.6426,0.0884,1,0,0
t500,0,1,GARE11,175.0,1439.0,183.0,1648,7.8634,0.8732,0.12012,1,0,0
t500,0,2,GARE4,125.0,850.0,183.0,1648,4.6448,0.5158,0.07095,1,0,0
t500,0,2,GARE5,146.0,1016.0,183.0,1648,5.5519,0.6165,0.08481,1,0,0
t500,0,2,GARE6,180.0,1638.0,183.0,1648,8.9508,0.9939,0.13673,1,0,0
t500,0,2,GARE7,183.0,2837.0,183.0,1648,15.5027,1.7215,0.23681,1,1,0
t500,0,2,GARE8,168.0,1678.0,183.0,1648,9.1694,1.0182,0.14007,1,1,0
t500,0,2,GARE9,179.0,1326.0,183.0,1648,7.2459,0.8046,0.11068,1,0,0
t500,0,2,GARE10,175.0,1656.0,183.0,1648,9.0492,1.0049,0.13823,1,1,0
t500,0,2,GARE11,173.0,979.0,183.0,1648,5.3497,0.5941,0.08172,1,0,0
t500,0,3,GARE4,135.0,925.0,183.0,1648,5.0546,0.5613,0.07721,1,0,0
t500,0,3,GARE5,181.0,1589.0,183.0,1648,8.6831,0.9642,0.13264,1,0,0
t500,0,3,GARE6,146.0,987.0,183.0,1648,5.3934,0.5989,0.08239,1,0,0
t500,0,3,GARE7,176.0,1710.0,183.0,1648,9.3443,1.0376,0.14274,1,1,0
t500,0,3,GARE8,165.0,1352.0,183.0,1648,7.388,0.8204,0.11285,1,0,0
t500,0,3,GARE9,176.0,921.0,183.0,1648,5.0328,0.5589,0.07688,1,0,0
t500,0,3,GARE10,168.0,1691.0,183.0,1648,9.2404,1.0261,0.14115,1,1,0
t500,0,3,GARE11,182.0,2805.0,183.0,1648,15.3279,1.7021,0.23414,1,1,0
t500,0,4,GARE4,166.0,1507.0,183.0,1648,8.235,0.9144,0.12579,1,0,0
t500,0,4,GARE5,168.0,1289.0,183.0,1648,7.0437,0.7822,0.1076,1,0,0
t500,0,4,GARE6,183.0,2858.0,183.0,1648,15.6175,1.7342,0.23856,1,1,0
t500,0,4,GARE7,165.0,1808.0,183.0,1648,9.8798,1.0971,0.15092,1,1,0
t500,0,4,GARE8,159.0,807.0,183.0,1648,4.4098,0.4897,0.06736,1,0,0
t500,0,4,GARE9,167.0,1272.0,183.0,1648,6.9508,0.7718,0.10618,1,0,0
t500,0,4,GARE10,176.0,1153.0,183.0,1648,6.3005,0.6996,0.09624,1,0,0
t500,0,4,GARE11,145.0,1286.0,183.0,1648,7.0273,0.7803,0.10735,1,0,0
t500,0,6,GARE4,154.0,1556.0,183.0,1648,8.5027,0.9442,0.12988,1,0,0
t500,0,6,GARE5,179.0,2233.0,183.0,1648,12.2022,1.355,0.18639,1,1,0
t500,0,6,GARE6,175.0,1167.0,183.0,1648,6.377,0.7081,0.09741,1,0,0
t500,0,6,GARE7,183.0,1613.0,183.0,1648,8.8142,0.9788,0.13464,1,0,0
t500,0,6,GARE8,134.0,884.0,183.0,1648,4.8306,0.5364,0.07379,1,0,0
t500,0,6,GARE9,165.0,1005.0,183.0,1648,5.4918,0.6098,0.08389,1,0,0
t500,0,6,GARE10,181.0,2607.0,183.0,1648,14.2459,1.5819,0.21761,1,1,0
t500,0,6,GARE11,158.0,915.0,183.0,1648,5.0,0.5552,0.07638,1,0,0
t500,1,1,GARE4,183.0,2541.0,184.0,1339,13.8098,1.8977,0.26099,1,1,0
t500,1,1,GARE5,183.0,1130.0,184.0,1339,6.1413,0.8439,0.11606,1,0,0
t500,1,1,GARE6,173.0,1158.0,184.0,1339,6.2935,0.8648,0.11894,1,0,0
t500,1,1,GARE7,148.0,832.0,184.0,1339,4.5217,0.6214,0.08546,1,0,0
t500,1,1,GARE8,183.0,1217.0,184.0,1339,6.6141,0.9089,0.125,1,0,0
t500,1,1,GARE9,115.0,664.0,184.0,1339,3.6087,0.4959,0.0682,1,0,0
t500,1,1,GARE10,177.0,1170.0,184.0,1339,6.3587,0.8738,0.12017,1,0,0
t500,1,1,GARE11,176.0,1024.0,184.0,1339,5.5652,0.7647,0.10518,1,0,0
t500,1,2,GARE4,178.0,1093.0,184.0,1339,5.9402,0.8163,0.11226,1,0,0
t500,1,2,GARE5,184.0,1487.0,184.0,1339,8.0815,1.1105,0.15273,1,1,0
t500,1,2,GARE6,184.0,947.0,184.0,1339,5.1467,0.7072,0.09727,1,0,0
t500,1,2,GARE7,184.0,2082.0,184.0,1339,11.3152,1.5549,0.21385,1,1,0
t500,1,2,GARE8,173.0,1008.0,184.0,1339,5.4783,0.7528,0.10353,1,0,0
t500,1,2,GARE9,177.0,1181.0,184.0,1339,6.4185,0.882,0.1213,1,0,0
t500,1,2,GARE10,115.0,672.0,184.0,1339,3.6522,0.5019,0.06902,1,0,0
t500,1,2,GARE11,143.0,1266.0,184.0,1339,6.8804,0.9455,0.13003,1,0,0
t500,1,3,GARE4,183.0,971.0,184.0,1339,5.2772,0.7252,0.09973,1,0,0
t500,1,3,GARE5,180.0,1261.0,184.0,1339,6.8533,0.9417,0.12952,1,0,0
t500,1,3,GARE6,141.0,651.0,184.0,1339,3.538,0.4862,0.06687,1,0,0
t500,1,3,GARE7,178.0,1891.0,184.0,1339,10.2772,1.4122,0.19423,1,1,0
t500,1,3,GARE8,184.0,1787.0,184.0,1339,9.712,1.3346,0.18355,1,1,0
t500,1,3,GARE9,164.0,1066.0,184.0,1339,5.7935,0.7961,0.10949,1,0,0
t500,1,3,GARE10,140.0,950.0,184.0,1339,5.163,0.7095,0.09758,1,0,0
t500,1,3,GARE11,168.0,1159.0,184.0,1339,6.2989,0.8656,0.11904,1,0,0
t500,1,4,GARE4,162.0,788.0,184.0,1339,4.2826,0.5885,0.08094,1,0,0
t500,1,4,GARE5,133.0,762.0,184.0,1339,4.1413,0.5691,0.07827,1,0,0
t500,1,4,GARE6,163.0,1230.0,184.0,1339,6.6848,0.9186,0.12634,1,0,0
t500,1,4,GARE7,165.0,890.0,184.0,1339,4.837,0.6647,0.09141,1,0,0
t500,1,4,GARE8,182.0,1369.0,184.0,1339,7.4402,1.0224,0.14061,1,1,0
t500,1,4,GARE9,184.0,2204.0,184.0,1339,11.9783,1.646,0.22638,1,1,0
t500,1,4,GARE10,183.0,1256.0,184.0,1339,6.8261,0.938,0.12901,1,0,0
t500,1,4,GARE11,166.0,1237.0,184.0,1339,6.7228,0.9238,0.12705,1,0,0
t500,1,6,GARE4,169.0,2027.0,184.0,1339,11.0163,1.5138,0.2082,1,1,0
t500,1,6,GARE5,175.0,1090.0,184.0,1339,5.9239,0.814,0.11196,1,0,0
t500,1,6,GARE6,184.0,1114.0,184.0,1339,6.0543,0.832,0.11442,1,0,0
t500,1,6,GARE7,175.0,1541.0,184.0,1339,8.375,1.1509,0.15828,1,1,0
