variant,fold,k,n_train_orders,n_test_orders,total_tr_lines,total_te_lines,T_s_asrun,T_s_variant_own,Tn,asrun_ceiling_source,viol_asrun,stored_wl_broken,sanity_match,viol_norm,viol_train,cap_broken,max_ratio_asrun,max_ratio_norm,imbalance,B,X,V_test_recomputed,max_workload_te
t500,4,3,500,1000,1261,2878,174.0,174.0,396,variant_train_stations,7,7,True,2,0,0,5.7069,2.5076,2.7603,2.0675,0.2981,1930,993.0
t500,4,4,500,1000,1261,2878,174.0,174.0,396,variant_train_stations,6,6,True,3,0,0,5.9368,2.6086,2.8714,2.0675,0.2627,1779,1033.0
t500,4,6,500,1000,1261,2878,174.0,174.0,396,variant_train_stations,5,5,True,2,0,0,6.5,2.8561,3.1438,2.0675,0.304,1814,1131.0
t1000,0,1,1000,5000,2701,11980,372.0,372.0,1648,variant_train_stations,8,8,True,2,0,0,6.9301,1.5643,1.7215,4.0255,0.1105,8128,2578.0
t1000,0,2,1000,5000,2701,11980,372.0,372.0,1648,variant_train_stations,8,8,True,2,0,0,6.6828,1.5085,1.6601,4.0255,0.0957,8206,2486.0
t1000,0,3,1000,5000,2701,11980,372.0,372.0,1648,variant_train_stations,8,8,True,2,0,0,5.8575,1.3222,1.4551,4.0255,0.0876,8287,2179.0
t1000,0,4,1000,5000,2701,11980,372.0,372.0,1648,variant_train_stations,8,8,True,3,0,0,6.4919,1.4654,1.6127,4.0255,0.1282,8159,2415.0
t1000,0,6,1000,5000,2701,11980,372.0,372.0,1648,variant_train_stations,8,8,True,2,0,0,6.3522,1.4339,1.578,4.0255,0.0658,8177,2363.0
t1000,1,1,1000,4000,2693,9736,371.0,371.0,1339,variant_train_stations,8,8,True,1,0,0,6.6307,1.8372,2.0214,3.2803,0.1151,6319,2460.0
t1000,1,2,1000,4000,2693,9736,371.0,371.0,1339,variant_train_stations,8,8,True,2,0,0,5.9596,1.6512,1.8168,3.2803,0.1226,6408,2211.0
t1000,1,3,1000,4000,2693,9736,371.0,371.0,1339,variant_train_stations,8,8,True,2,0,0,5.7736,1.5997,1.7601,3.2803,0.1188,6477,2142.0
t1000,1,4,1000,4000,2693,9736,371.0,371.0,1339,variant_train_stations,8,8,True,3,0,0,6.5148,1.8051,1.986,3.2803,0.1249,6436,2417.0
t1000,1,6,1000,4000,2693,9736,371.0,371.0,1339,variant_train_stations,8,8,True,2,0,0,4.7574,1.3181,1.4503,3.2803,0.0805,6746,1765.0
t1000,2,1,1000,3000,2662,7430,367.0,367.0,1022,variant_train_stations,8,8,True,2,0,0,5.812,2.0871,2.2966,2.5307,0.1517,4780,2133.0
t1000,2,2,1000,3000,2662,7430,367.0,367.0,1022,variant_train_stations,8,8,True,2,0,0,4.2916,1.5411,1.6958,2.5307,0.131,4988,1575.0
t1000,2,3,1000,3000,2662,7430,367.0,367.0,1022,variant_train_stations,8,8,True,2,0,0,6.0463,2.1712,2.3892,2.5307,0.1655,4725,2219.0
t1000,2,4,1000,3000,2662,7430,367.0,367.0,1022,variant_train_stations,8,8,True,2,0,0,6.0926,2.1879,2.4075,2.5307,0.1744,4697,2236.0
t1000,2,6,1000,3000,2662,7430,367.0,367.0,1022,variant_train_stations,8,8,True,3,0,0,4.0599,1.4579,1.6043,2.5307,0.0803,5214,1490.0
t1000,3,1,1000,2000,2611,5099,360.0,360.0,702,variant_train_stations,6,6,True,3,0,0,3.3389,1.7123,1.8859,1.7705,0.1836,3371,1202.0
t1000,3,2,1000,2000,2611,5099,360.0,360.0,702,variant_train_stations,6,6,True,2,0,0,4.4722,2.2934,2.526,1.7705,0.1851,3334,1610.0
t1000,3,3,1000,2000,2611,5099,360.0,360.0,702,variant_train_stations,6,6,True,1,0,0,4.1944,2.151,2.3691,1.7705,0.1585,3233,1510.0
t1000,3,4,1000,2000,2611,5099,360.0,360.0,702,variant_train_stations,5,5,True,2,0,0,4.3417,2.2265,2.4522,1.7705,0.2279,3221,1563.0
t1000,3,6,1000,2000,2611,5099,360.0,360.0,702,variant_train_stations,5,5,True,2,0,0,4.3,2.2051,2.4287,1.7705,0.2473,3370,1548.0
t1000,4,1,1000,1000,2472,2878,340.0,340.0,396,variant_train_stations,2,2,True,2,0,0,4.0088,3.4419,3.7887,1.0581,0.3544,1531,1363.0
t1000,4,2,1000,1000,2472,2878,340.0,340.0,396,variant_train_stations,3,3,True,3,0,0,2.6941,2.3131,2.5462,1.0581,0.2599,1789,916.0
t1000,4,3,1000,1000,2472,2878,340.0,340.0,396,variant_train_stations,3,3,True,2,0,0,2.8794,2.4722,2.7213,1.0581,0.3287,1757,979.0
t1000,4,4,1000,1000,2472,2878,340.0,340.0,396,variant_train_stations,3,3,True,3,0,0,2.2,1.8889,2.0792,1.0581,0.2686,1824,748.0
t1000,4,6,1000,1000,2472,2878,340.0,340.0,396,variant_train_stations,3,3,True,2,0,0,3.3735,2.8965,3.1883,1.0581,0.2741,1731,1147.0
t2000,0,1,2000,5000,5540,11980,762.0,762.0,1648,variant_train_stations,7,7,True,2,0,0,3.3346,1.5419,1.6968,1.9652,0.0922,7852,2541.0
t2000,0,2,2000,5000,5540,11980,762.0,762.0,1648,variant_train_stations,8,8,True,2,0,0,2.8071,1.2979,1.4284,1.9652,0.0729,8061,2139.0
t2000,0,3,2000,5000,5540,11980,762.0,762.0,1648,variant_train_stations,8,8,True,2,0,0,2.8635,1.324,1.4571,1.9652,0.0856,8113,2182.0
t2000,0,4,2000,5000,5540,11980,762.0,762.0,1648,variant_train_stations,7,7,True,3,0,0,3.0013,1.3877,1.5272,1.9652,0.0899,8015,2287.0
t2000,0,6,2000,5000,5540,11980,762.0,762.0,1648,variant_train_stations,8,8,True,3,0,0,3.4475,1.5941,1.7543,1.9652,0.1058,8061,2627.0
t2000,1,1,2000,4000,5277,9736,726.0,726.0,1339,variant_train_stations,7,7,True,3,0,0,2.7397,1.4854,1.6343,1.6763,0.1323,6252,1989.0
t2000,1,2,2000,4000,5277,9736,726.0,726.0,1339,variant_train_stations,7,7,True,3,0,0,2.9201,1.5833,1.742,1.6763,0.1314,6277,2120.0
t2000,1,3,2000,4000,5277,9736,726.0,726.0,1339,variant_train_stations,7,7,True,2,0,0,2.8939,1.5691,1.7264,1.6763,0.1252,6317,2101.0
t2000,1,4,2000,4000,5277,9736,726.0,726.0,1339,variant_train_stations,7,7,True,3,0,0,2.9545,1.6019,1.7625,1.6763,0.0967,6466,2145.0
t2000,1,6,2000,4000,5277,9736,726.0,726.0,1339,variant_train_stations,7,7,True,3,0,0,2.8967,1.5706,1.728,1.6763,0.1239,6612,2103.0
t2000,2,1,2000,3000,5301,7430,729.0,729.0,1022,variant_train_stations,4,4,True,3,0,0,2.3539,1.6791,1.8476,1.274,0.1555,4720,1716.0
t2000,2,2,2000,3000,5301,7430,729.0,729.0,1022,variant_train_stations,4,4,True,2,0,0,2.6118,1.863,2.0501,1.274,0.1762,4691,1904.0
t2000,2,3,2000,3000,5301,7430,729.0,729.0,1022,variant_train_stations,3,3,True,2,0,0,2.406,1.7162,1.8886,1.274,0.1635,4832,1754.0
t2000,2,4,2000,3000,5301,7430,729.0,729.0,1022,variant_train_stations,5,5,True,2,0,0,2.4005,1.7123,1.8843,1.274,0.1703,4794,1750.0
t2000,2,6,2000,3000,5301,7430,729.0,729.0,1022,variant_train_stations,5,5,True,2,0,0,2.2743,1.6223,1.7852,1.274,0.1432,5065,1658.0
t2000,3,1,2000,2000,5141,5099,707.0,707.0,702,variant_train_stations,3,3,True,3,0,0,2.0622,2.0769,2.2875,0.9015,0.2251,3201,1458.0
t2000,3,2,2000,2000,5141,5099,707.0,707.0,702,variant_train_stations,3,3,True,3,0,0,1.8798,1.8932,2.0851,0.9015,0.2446,3162,1329.0
t2000,3,3,2000,2000,5141,5099,707.0,707.0,702,variant_train_stations,3,3,True,3,0,0,1.9901,2.0043,2.2075,0.9015,0.2387,3178,1407.0
t2000,3,4,2000,2000,5141,5099,707.0,707.0,702,variant_train_stations,2,2,True,2,0,0,1.884,1.8974,2.0898,0.9015,0.2467,3186,1332.0
t2000,3,6,2000,2000,5141,5099,707.0,707.0,702,variant_train_stations,2,2,True,2,0,0,2.0778,2.0926,2.3048,0.9015,0.2091,3239,1469.0
t2000,4,1,2000,1000,5021,2878,691.0,691.0,396,variant_train_stations,1,1,True,2,0,0,1.5398,2.6869,2.9576,0.5206,0.3096,1608,1064.0
t2000,4,2,2000,1000,5021,2878,691.0,691.0,396,variant_train_stations,2,2,True,2,0,0,1.6223,2.8308,3.1161,0.5206,0.3746,1700,1121.0
t2000,4,3,2000,1000,5021,2878,691.0,691.0,396,variant_train_stations,1,1,True,2,0,0,1.7496,3.053,3.3607,0.5206,0.3471,1641,1209.0
t2000,4,4,2000,1000,5021,2878,691.0,691.0,396,variant_train_stations,1,1,True,3,0,0,1.6903,2.9495,3.2467,0.5206,0.3704,1666,1168.0
t2000,4,6,2000,1000,5021,2878,691.0,691.0,396,variant_train_stations,1,1,True,2,0,0,1.7236,3.0076,3.3106,0.5206,0.2953,1699,1191.0
