config_id,size_n,K,k_paired,mean_visits,mean_pct_delta_visits_vs_base,pct_delta_ci95_lo,pct_delta_ci95_hi,ci_informative,base_tiebreak_noise_pct,frac_instances_wl_broken,mean_n_pairs_kept,n_rows,n_ok,n_partial_assign,n_degenerate,n_timeout,n_error
ratio_x2,1000,4,4,196254.0,-0.04053982339691026,,,False,0.06725844583299433,1.0,980.0,4,4,0,0,0,0
base,2000,15,15,483423.73333333334,0.0,0.0,0.0,True,0.05417641842088889,1.0,2422.0,15,15,0,0,0,0
corner_loose,2000,3,3,493882.0,2.2096655704802846,,,False,0.05417641842088889,1.0,2422.0,3,3,0,0,0,0
corner_tight,2000,3,3,475576.6666666667,-1.6065183373394127,,,False,0.05417641842088889,1.0,2208.0,3,3,0,0,0,0
minfreq_x0.5,2000,3,3,483326.0,0.0,,,False,0.05417641842088889,1.0,2422.0,3,3,0,0,0,0
minfreq_x0.75,2000,3,3,483326.0,0.0,,,False,0.05417641842088889,1.0,2422.0,3,3,0,0,0,0
minfreq_x1.5,2000,3,3,483326.0,0.0,,,False,0.05417641842088889,1.0,2422.0,3,3,0,0,0,0
minfreq_x2,2000,3,3,483326.0,0.0,,,False,0.05417641842088889,1.0,2422.0,3,3,0,0,0,0
mnoppc_x0.5,2000,3,3,493882.0,2.2096655704802846,,,False,0.05417641842088889,1.0,2422.0,3,3,0,0,0,0
mnoppc_x0.75,2000,3,3,486279.0,0.6211975371551519,,,False,0.05417641842088889,1.0,2422.0,3,3,0,0,0,0
mnoppc_x1.5,2000,3,3,477219.0,-1.2663181481627976,,,False,0.05417641842088889,1.0,2422.0,3,3,0,0,0,0
mnoppc_x2,2000,3,3,475637.0,-1.5776929752562696,,,False,0.05417641842088889,1.0,2422.0,3,3,0,0,0,0
preproc_x0.5,2000,2,2,519045.0,0.0,,,False,0.05417641842088889,1.0,2462.5,3,2,0,0,1,0
preproc_x0.75,2000,2,2,488518.0,0.0,,,False,0.05417641842088889,1.0,1953.0,3,2,0,0,1,0
preproc_x1.5,2000,2,2,488518.0,0.0,,,False,0.05417641842088889,1.0,1953.0,3,2,0,0,1,0
preproc_x2,2000,3,3,483326.0,0.0,,,False,0.05417641842088889,1.0,2422.0,3,3,0,0,0,0
ratio_x0.5,2000,3,3,483326.0,0.0,,,False,0.05417641842088889,1.0,2422.0,3,3,0,0,0,0
ratio_x0.75,2000,3,3,483326.0,0.0,,,False,0.05417641842088889,1.0,2422.0,3,3,0,0,0,0
ratio_x1.5,2000,3,3,483108.6666666667,-0.03704160094418559,,,False,0.05417641842088889,1.0,2393.0,3,3,0,0,0,0
ratio_x2,2000,3,3,483741.3333333333,0.09696081031329022,,,False,0.05417641842088889,1.0,2208.0,3,3,0,0,0,0
