instance,size_n,n_stations,zeta,instance_seed,split,beta_max,alpha_max,n_feasible_levels,n_levels,feasibility_nested,visits_at_beta_max,visits_at_nominal,nominal_feasible
1000_s50_seed2010,1000,50,20,2010,test,,,0,9,False,,231500.0,False
500_s10_seed2001,500,10,50,2001,tuning,,,0,13,False,,78785.0,False
500_s10_seed2002,500,10,50,2002,tuning,,,0,13,False,,125129.0,False
500_s10_seed2003,500,10,50,2003,tuning,,,0,13,False,,80856.0,False
500_s10_seed2004,500,10,50,2004,tuning,,,0,13,False,,93021.0,False
500_s10_seed2005,500,10,50,2005,tuning,,,0,13,False,,124014.0,False
500_s10_seed2006,500,10,50,2006,test,,,0,13,False,,105922.0,False
500_s10_seed2007,500,10,50,2007,test,,,0,13,False,,90018.0,False
500_s10_seed2008,500,10,50,2008,test,,,0,13,False,,92146.0,False
500_s10_seed2009,500,10,50,2009,test,,,0,13,False,,90624.0,False
500_s10_seed2010,500,10,50,2010,test,,,0,13,False,,110623.0,False
500_s20_seed2001,500,20,25,2001,tuning,,,0,10,False,,95186.0,False
500_s20_seed2002,500,20,25,2002,tuning,,,0,10,False,,151972.0,False
500_s20_seed2003,500,20,25,2003,tuning,,,0,10,False,,96909.0,False
500_s20_seed2004,500,20,25,2004,tuning,,,0,10,False,,113440.0,False
500_s20_seed2005,500,20,25,2005,tuning,,,0,10,False,,149579.0,False
500_s20_seed2006,500,20,25,2006,test,,,0,10,False,,127791.0,False
500_s20_seed2007,500,20,25,2007,test,,,0,10,False,,108800.0,False
500_s20_seed2008,500,20,25,2008,test,,,0,10,False,,110223.0,False
500_s20_seed2009,500,20,25,2009,test,,,0,10,False,,107463.0,False
500_s20_seed2010,500,20,25,2010,test,,,0,10,False,,132321.0,False
500_s25_seed2001,500,25,20,2001,tuning,,,0,9,False,,98804.0,False
500_s25_seed2002,500,25,20,2002,tuning,,,0,9,False,,157856.0,False
500_s25_seed2003,500,25,20,2003,tuning,,,0,9,False,,100952.0,False
500_s25_seed2004,500,25,20,2004,tuning,,,0,9,False,,117962.0,False
500_s25_seed2005,500,25,20,2005,tuning,,,0,9,False,,154304.0,False
500_s25_seed2006,500,25,20,2006,test,,,0,9,False,,132802.0,False
500_s25_seed2007,500,25,20,2007,test,,,0,9,False,,112728.0,False
500_s25_seed2008,500,25,20,2008,test,,,0,9,False,,114696.0,False
500_s25_seed2009,500,25,20,2009,test,,,0,9,False,,111860.0,False
500_s25_seed2010,500,25,20,2010,test,,,0,9,False,,137037.0,False
500_s5_seed2001,500,5,100,2001,tuning,2.0,0.02,1,15,True,63316.0,57573.0,False
500_s5_seed2002,500,5,100,2002,tuning,10.0,0.1,3,15,False,92015.0,90371.0,False
500_s5_seed2003,500,5,100,2003,tuning,8.0,0.08,3,15,False,59226.0,58392.0,False
500_s5_seed2004,500,5,100,2004,tuning,15.0,0.15,3,15,False,68423.0,68423.0,True
500_s5_seed2005,500,5,100,2005,tuning,3.0,0.03,2,15,True,98471.0,90881.0,False
500_s5_seed2006,500,5,100,2006,test,2.0,0.02,1,15,True,86203.0,77818.0,False
500_s5_seed2007,500,5,100,2007,test,30.0,0.3,5,15,False,64101.0,64789.0,False
500_s5_seed2008,500,5,100,2008,test,,,0,15,False,,67428.0,False
500_s5_seed2009,500,5,100,2009,test,20.0,0.2,2,15,False,66816.0,66815.0,False
500_s5_seed2010,500,5,100,2010,test,12.0,0.12,3,15,False,83390.0,82046.0,False
