instance,size_n,n_stations,zeta,instance_seed,split,beta_max,alpha_max,n_feasible_levels,n_levels,feasibility_nested,visits_at_beta_max,visits_at_nominal,nominal_feasible
500_s20_seed2006,500,20,25,2006,test,25.0,1.0,10,10,True,130262.0,128410.0,True
500_s20_seed2007,500,20,25,2007,test,25.0,1.0,10,10,True,109415.0,108190.0,True
500_s20_seed2008,500,20,25,2008,test,25.0,1.0,10,10,True,117030.0,112381.0,True
500_s20_seed2009,500,20,25,2009,test,25.0,1.0,10,10,True,113200.0,112369.0,True
500_s20_seed2010,500,20,25,2010,test,25.0,1.0,10,10,True,141504.0,135584.0,True
500_s25_seed2001,500,25,20,2001,tuning,20.0,1.0,9,9,True,104417.0,102005.0,True
500_s25_seed2002,500,25,20,2002,tuning,20.0,1.0,9,9,True,161769.0,157948.0,True
500_s25_seed2003,500,25,20,2003,tuning,20.0,1.0,9,9,True,105291.0,101802.0,True
500_s25_seed2004,500,25,20,2004,tuning,20.0,1.0,9,9,True,121124.0,119562.0,True
500_s25_seed2005,500,25,20,2005,tuning,20.0,1.0,9,9,True,160198.0,160133.0,True
500_s25_seed2006,500,25,20,2006,test,20.0,1.0,9,9,True,138400.0,136587.0,True
500_s25_seed2007,500,25,20,2007,test,20.0,1.0,9,9,True,115014.0,112546.0,True
500_s25_seed2008,500,25,20,2008,test,20.0,1.0,9,9,True,120708.0,119039.0,True
500_s25_seed2009,500,25,20,2009,test,20.0,1.0,9,9,True,119675.0,119060.0,True
500_s25_seed2010,500,25,20,2010,test,20.0,1.0,9,9,True,146205.0,149469.0,True
500_s5_seed2001,500,5,100,2001,tuning,100.0,1.0,15,15,True,58616.0,58069.0,True
500_s5_seed2002,500,5,100,2002,tuning,100.0,1.0,15,15,True,90392.0,90381.0,True
500_s5_seed2003,500,5,100,2003,tuning,100.0,1.0,15,15,True,59335.0,58097.0,True
500_s5_seed2004,500,5,100,2004,tuning,100.0,1.0,15,15,True,68487.0,68230.0,True
500_s5_seed2005,500,5,100,2005,tuning,100.0,1.0,15,15,True,93261.0,90619.0,True
500_s5_seed2006,500,5,100,2006,test,100.0,1.0,15,15,True,80057.0,78312.0,True
500_s5_seed2007,500,5,100,2007,test,100.0,1.0,15,15,True,66255.0,64700.0,True
500_s5_seed2008,500,5,100,2008,test,100.0,1.0,15,15,True,69084.0,67872.0,True
500_s5_seed2009,500,5,100,2009,test,100.0,1.0,15,15,True,66776.0,67035.0,True
500_s5_seed2010,500,5,100,2010,test,100.0,1.0,15,15,True,82906.0,82514.0,True
