campaign,dataset_id,origin,n,arm,delta,nu,tightening,rule,layout,joint_pass,cap_violation_count,floor_violation_count,worst_excess_pp,stations_above_worst_scenario,stations_below_lowest_scenario,maximum_novelty_excess,maximum_novelty_shortfall,stations_outside_modelled_set,station_count,activation_mass,effective_nu,stored_fields_reproduced
ts_b01_20260912,BERNER,199403,21874,TIGHT,0.01,0.01,0.5,two_sided,optimised,False,1,0,0.08226507070255337,7,17,0.014779728496862082,0.005775312874614465,24,24,0.003658524157469402,0.0,True
ts_b01_20260912,BERNER,199403,21874,TIGHT,0.01,0.01,0.5,two_sided,incumbent,False,1,0,0.336110534345922,7,17,0.01336110534345922,0.003969403127381708,24,24,0.003658524157469402,0.0,True
ts_b01_20260912,BERNER,199403,21874,HIST,0.01,0.01,0.5,two_sided,optimised,False,3,4,0.37622879459962777,3,8,0.0043086528755886914,0.004045795932964985,11,24,0.003658524157469402,0.0,True
ts_b01_20260912,BERNER,199403,21874,HIST,0.01,0.01,0.5,two_sided,incumbent,False,1,0,0.336110534345922,2,6,0.0007062366936648503,0.0014374867391592932,8,24,0.003658524157469402,0.0,True
ts_b01_20260912,BERNER,199403,21874,HIST+ACT,0.01,0.01,0.5,two_sided,optimised,False,0,2,0.27017867750775204,0,4,0.0,0.0032455475216778486,4,24,0.003658524157469402,0.01,True
ts_b01_20260912,BERNER,199403,21874,HIST+ACT,0.01,0.01,0.5,two_sided,incumbent,False,1,0,0.336110534345922,0,5,0.0,0.0011673209069975553,5,24,0.003658524157469402,0.01,True
ts_b01_20260912,BERNER,199403,43748,NOM,0.01,0.01,0.5,two_sided,optimised,False,2,4,0.4644042662592424,11,13,0.0122490296392234,0.008780609332776971,24,24,0.006762381877400791,0.0,True
ts_b01_20260912,BERNER,199403,43748,NOM,0.01,0.01,0.5,two_sided,incumbent,False,1,0,0.13752036040048474,8,16,0.011375203604004847,0.0036956129420484276,24,24,0.006762381877400791,0.0,True
ts_b01_20260912,BERNER,199403,43748,TIGHT,0.01,0.01,0.5,two_sided,optimised,False,1,0,0.23022819116710558,6,18,0.012131810739835075,0.00422267641215151,24,24,0.006762381877400791,0.0,True
ts_b01_20260912,BERNER,199403,43748,TIGHT,0.01,0.01,0.5,two_sided,incumbent,False,1,0,0.13752036040048474,8,16,0.011375203604004847,0.0036956129420484276,24,24,0.006762381877400791,0.0,True
ts_b01_20260912,BERNER,199403,43748,HIST,0.01,0.01,0.5,two_sided,optimised,False,4,7,0.39770546732447576,5,11,0.004192102111353272,0.004394168646391619,16,24,0.006762381877400791,0.0,True
ts_b01_20260912,BERNER,199403,43748,HIST,0.01,0.01,0.5,two_sided,incumbent,False,1,0,0.13752036040048474,4,7,0.003050647823879324,0.0013016253462656022,11,24,0.006762381877400791,0.0,True
ts_b01_20260912,BERNER,199403,43748,HIST+ACT,0.01,0.01,0.5,two_sided,optimised,False,1,0,0.01327240821986496,2,5,0.000560964911487063,0.003627518773503451,7,24,0.006762381877400791,0.01,True
ts_b01_20260912,BERNER,199403,43748,HIST+ACT,0.01,0.01,0.5,two_sided,incumbent,False,1,0,0.13752036040048474,1,4,0.0006960884089831936,0.0010215217855356982,5,24,0.006762381877400791,0.01,True
ts_b03_20260912,BERNER,199403,10937,NOM,0.03,0.01,0.5,two_sided,optimised,False,3,3,2.6121977634952724,11,13,0.02763244251938921,0.008711667720659321,24,24,0.0024865402495189083,0.0,True
ts_b03_20260912,BERNER,199403,10937,NOM,0.03,0.01,0.5,two_sided,incumbent,True,0,0,0.0,10,14,0.013504385094187572,0.005338087380746706,24,24,0.0024865402495189083,0.0,True
ts_b03_20260912,BERNER,199403,10937,TIGHT,0.03,0.01,0.5,two_sided,optimised,True,0,0,0.0,9,15,0.007544545952495698,0.008890275413956376,24,24,0.0024865402495189083,0.0,True
ts_b03_20260912,BERNER,199403,10937,TIGHT,0.03,0.01,0.5,two_sided,incumbent,True,0,0,0.0,10,14,0.013504385094187572,0.005338087380746706,24,24,0.0024865402495189083,0.0,True
ts_b03_20260912,BERNER,199403,10937,HIST,0.03,0.01,0.5,two_sided,optimised,False,3,1,0.28553857031167096,5,4,0.002857669808373741,0.004598383117781279,9,24,0.0024865402495189083,0.0,True
ts_b03_20260912,BERNER,199403,10937,HIST,0.03,0.01,0.5,two_sided,incumbent,True,0,0,0.0,1,3,0.00020521352701498974,0.0017081390958229709,4,24,0.0024865402495189083,0.0,True
ts_b03_20260912,BERNER,199403,10937,HIST+ACT,0.03,0.01,0.5,two_sided,optimised,False,1,0,0.06283105231128178,1,4,0.0006683444192128848,0.004093017575189429,5,24,0.0024865402495189083,0.01,True
ts_b03_20260912,BERNER,199403,10937,HIST+ACT,0.03,0.01,0.5,two_sided,incumbent,True,0,0,0.0,0,3,0.0,0.001429646647328362,3,24,0.0024865402495189083,0.01,True
ts_b03_20260912,BERNER,199403,21874,NOM,0.03,0.01,0.5,two_sided,optimised,False,1,2,2.485866652820904,9,15,0.026369131412645526,0.007379485741812596,24,24,0.003658524157469402,0.0,True
ts_b03_20260912,BERNER,199403,21874,NOM,0.03,0.01,0.5,two_sided,incumbent,True,0,0,0.0,7,17,0.01336110534345922,0.003969403127381708,24,24,0.003658524157469402,0.0,True
ts_b03_20260912,BERNER,199403,21874,TIGHT,0.03,0.01,0.5,two_sided,optimised,True,0,0,0.0,8,16,0.00924323409759869,0.007014691225798749,24,24,0.003658524157469402,0.0,True
ts_b03_20260912,BERNER,199403,21874,TIGHT,0.03,0.01,0.5,two_sided,incumbent,True,0,0,0.0,7,17,0.01336110534345922,0.003969403127381708,24,24,0.003658524157469402,0.0,True
ts_b03_20260912,BERNER,199403,21874,HIST,0.03,0.01,0.5,two_sided,optimised,False,1,1,0.024926698754159773,4,5,0.000817325667844787,0.004109251189076511,9,24,0.003658524157469402,0.0,True
ts_b03_20260912,BERNER,199403,21874,HIST,0.03,0.01,0.5,two_sided,incumbent,True,0,0,0.0,2,6,0.0007062366936648503,0.0014374867391592932,8,24,0.003658524157469402,0.0,True
ts_b03_20260912,BERNER,199403,21874,HIST+ACT,0.03,0.01,0.5,two_sided,optimised,False,0,1,0.04299312319520522,0,4,0.0,0.002048670895978936,4,24,0.003658524157469402,0.01,True
ts_b03_20260912,BERNER,199403,21874,HIST+ACT,0.03,0.01,0.5,two_sided,incumbent,True,0,0,0.0,0,5,0.0,0.0011673209069975553,5,24,0.003658524157469402,0.01,True
ts_b03_20260912,BERNER,199403,43748,NOM,0.03,0.01,0.5,two_sided,optimised,False,1,2,1.7666645055186372,11,13,0.019177109939622856,0.008109166508662122,24,24,0.006762381877400791,0.0,True
ts_b03_20260912,BERNER,199403,43748,NOM,0.03,0.01,0.5,two_sided,incumbent,True,0,0,0.0,8,16,0.011375203604004847,0.0036956129420484276,24,24,0.006762381877400791,0.0,True
ts_b03_20260912,BERNER,199403,43748,TIGHT,0.03,0.01,0.5,two_sided,optimised,True,0,0,0.0,11,13,0.009788912614060324,0.006316683618758948,24,24,0.006762381877400791,0.0,True
ts_b03_20260912,BERNER,199403,43748,TIGHT,0.03,0.01,0.5,two_sided,incumbent,True,0,0,0.0,8,16,0.011375203604004847,0.0036956129420484276,24,24,0.006762381877400791,0.0,True
ts_b03_20260912,BERNER,199403,43748,HIST,0.03,0.01,0.5,two_sided,optimised,False,1,0,0.05865732679478629,8,6,0.004286000654427445,0.002631974235893593,14,24,0.006762381877400791,0.0,True
ts_b03_20260912,BERNER,199403,43748,HIST,0.03,0.01,0.5,two_sided,incumbent,True,0,0,0.0,4,7,0.003050647823879324,0.0013016253462656022,11,24,0.006762381877400791,0.0,True
ts_b03_20260912,BERNER,199403,43748,HIST+ACT,0.03,0.01,0.5,two_sided,optimised,False,0,1,0.018888525658456366,0,3,0.0,0.0053542721152388,3,24,0.006762381877400791,0.01,True
ts_b03_20260912,BERNER,199403,43748,HIST+ACT,0.03,0.01,0.5,two_sided,incumbent,True,0,0,0.0,1,4,0.0006960884089831936,0.0010215217855356982,5,24,0.006762381877400791,0.01,True
ts_d02_20260912,BERNER,199403,10937,NOM,0.02,0.01,0.5,two_sided,optimised,False,5,6,0.3813479308824676,11,13,0.008672941021141113,0.006911624930006011,24,24,0.0024865402495189083,0.0,True
ts_d02_20260912,BERNER,199403,10937,NOM,0.02,0.01,0.5,two_sided,incumbent,True,0,0,0.0,10,14,0.013504385094187572,0.005338087380746706,24,24,0.0024865402495189083,0.0,True
ts_d02_20260912,BERNER,199403,10937,TIGHT,0.02,0.01,0.5,two_sided,optimised,True,0,0,0.0,10,14,0.014153114478892462,0.009294978448921062,24,24,0.0024865402495189083,0.0,True
ts_d02_20260912,BERNER,199403,10937,TIGHT,0.02,0.01,0.5,two_sided,incumbent,True,0,0,0.0,10,14,0.013504385094187572,0.005338087380746706,24,24,0.0024865402495189083,0.0,True
ts_d02_20260912,BERNER,199403,10937,HIST,0.02,0.01,0.5,two_sided,optimised,False,1,2,0.4087555486036132,3,3,0.004922821487399765,0.0009138690703992487,6,24,0.0024865402495189083,0.0,True
ts_d02_20260912,BERNER,199403,10937,HIST,0.02,0.01,0.5,two_sided,incumbent,True,0,0,0.0,1,3,0.00020521352701498974,0.0017081390958229709,4,24,0.0024865402495189083,0.0,True
ts_d02_20260912,BERNER,199403,10937,HIST+ACT,0.02,0.01,0.5,two_sided,optimised,False,0,1,0.019093714472607996,0,2,0.0,0.0004964220270807882,2,24,0.0024865402495189083,0.01,True
ts_d02_20260912,BERNER,199403,10937,HIST+ACT,0.02,0.01,0.5,two_sided,incumbent,True,0,0,0.0,0,3,0.0,0.001429646647328362,3,24,0.0024865402495189083,0.01,True
ts_d02_20260912,BERNER,199403,21874,NOM,0.02,0.01,0.5,two_sided,optimised,False,4,7,0.3891890147998161,9,15,0.010378401121619456,0.005464377612381922,24,24,0.003658524157469402,0.0,True
ts_d02_20260912,BERNER,199403,21874,NOM,0.02,0.01,0.5,two_sided,incumbent,True,0,0,0.0,7,17,0.01336110534345922,0.003969403127381708,24,24,0.003658524157469402,0.0,True
ts_d02_20260912,BERNER,199403,21874,TIGHT,0.02,0.01,0.5,two_sided,optimised,True,0,0,0.0,9,15,0.014657055444577611,0.009379729361371318,24,24,0.003658524157469402,0.0,True
ts_d02_20260912,BERNER,199403,21874,TIGHT,0.02,0.01,0.5,two_sided,incumbent,True,0,0,0.0,7,17,0.01336110534345922,0.003969403127381708,24,24,0.003658524157469402,0.0,True
ts_d02_20260912,BERNER,199403,21874,HIST,0.02,0.01,0.5,two_sided,optimised,False,0,3,0.07239513100804222,3,7,0.00018742116123497568,0.0015374919432847595,10,24,0.003658524157469402,0.0,True
ts_d02_20260912,BERNER,199403,21874,HIST,0.02,0.01,0.5,two_sided,incumbent,True,0,0,0.0,2,6,0.0007062366936648503,0.0014374867391592932,8,24,0.003658524157469402,0.0,True
ts_d02_20260912,BERNER,199403,21874,HIST+ACT,0.02,0.01,0.5,two_sided,optimised,False,0,2,0.2515195271875093,0,5,0.0,0.0025871451367636728,5,24,0.003658524157469402,0.01,True
ts_d02_20260912,BERNER,199403,21874,HIST+ACT,0.02,0.01,0.5,two_sided,incumbent,True,0,0,0.0,0,5,0.0,0.0011673209069975553,5,24,0.003658524157469402,0.01,True
ts_d02_20260912,BERNER,199403,43748,NOM,0.02,0.01,0.5,two_sided,optimised,False,4,5,0.45070693958663094,11,13,0.008943283085428055,0.006650588845461272,24,24,0.006762381877400791,0.0,True
ts_d02_20260912,BERNER,199403,43748,NOM,0.02,0.01,0.5,two_sided,incumbent,True,0,0,0.0,8,16,0.011375203604004847,0.0036956129420484276,24,24,0.006762381877400791,0.0,True
ts_d02_20260912,BERNER,199403,43748,TIGHT,0.02,0.01,0.5,two_sided,optimised,True,0,0,0.0,9,15,0.012325044693989243,0.009045537811143547,24,24,0.006762381877400791,0.0,True
ts_d02_20260912,BERNER,199403,43748,TIGHT,0.02,0.01,0.5,two_sided,incumbent,True,0,0,0.0,8,16,0.011375203604004847,0.0036956129420484276,24,24,0.006762381877400791,0.0,True
ts_d02_20260912,BERNER,199403,43748,HIST,0.02,0.01,0.5,two_sided,optimised,False,0,3,0.16661556275805514,2,8,0.002159264734165615,0.004553602640713849,10,24,0.006762381877400791,0.0,True
ts_d02_20260912,BERNER,199403,43748,HIST,0.02,0.01,0.5,two_sided,incumbent,True,0,0,0.0,4,7,0.003050647823879324,0.0013016253462656022,11,24,0.006762381877400791,0.0,True
ts_d02_20260912,BERNER,199403,43748,HIST+ACT,0.02,0.01,0.5,two_sided,optimised,True,0,0,0.0,1,7,2.0696596304183236e-05,0.003534097502717212,8,24,0.006762381877400791,0.01,True
ts_d02_20260912,BERNER,199403,43748,HIST+ACT,0.02,0.01,0.5,two_sided,incumbent,True,0,0,0.0,1,4,0.0006960884089831936,0.0010215217855356982,5,24,0.006762381877400791,0.01,True
