dataset_id,kind,catalogue_size,stations,origin,n,horizon_multiple,blocks,mean_block_lines,max_upward_pp,max_downward_pp,max_abs_pp,q95_abs_pp,q90_abs_pp,median_station_max_abs_pp,noise_sigma_median_station_pp,max_abs_over_noise_sigma,fraction_block_station_pairs_beyond_1pp,incumbent_history_within_upper_0.0025,incumbent_history_within_twosided_0.0025,incumbent_history_within_upper_0.005,incumbent_history_within_twosided_0.005,incumbent_history_within_upper_0.01,incumbent_history_within_twosided_0.01,incumbent_history_within_upper_0.02,incumbent_history_within_twosided_0.02,incumbent_history_within_upper_0.03,incumbent_history_within_twosided_0.03,incumbent_history_within_upper_0.05,incumbent_history_within_twosided_0.05,smallest_grid_delta_upper_only,smallest_grid_delta_two_sided
syn_1000sku_seed1004,synthetic,1000,10,23436,1000,1,23,10008.2,0.8006,0.7866,0.8006,0.5469,0.447,0.6523,0.2999,2.67,0.0,False,False,False,False,True,True,True,True,True,True,True,True,0.01,0.01
syn_1000sku_seed1004,synthetic,1000,10,23436,2000,2,11,20009.0,0.4829,0.5229,0.5229,0.4357,0.3358,0.4395,0.2121,2.47,0.0,False,False,True,False,True,True,True,True,True,True,True,True,0.005,0.01
syn_2000sku_seed1001,synthetic,2000,20,47345,1000,1/2,47,10008.5,0.6658,0.7455,0.7455,0.4313,0.3548,0.5605,0.2179,3.42,0.0,False,False,False,False,True,True,True,True,True,True,True,True,0.01,0.01
syn_2000sku_seed1001,synthetic,2000,20,47345,2000,1,23,20019.3,0.4286,0.5007,0.5007,0.2989,0.2405,0.3184,0.1541,3.25,0.0,False,False,True,False,True,True,True,True,True,True,True,True,0.005,0.01
syn_2000sku_seed1001,synthetic,2000,20,47345,4000,2,11,40046.0,0.3115,0.2133,0.3115,0.1801,0.154,0.1757,0.1089,2.86,0.0,False,False,True,True,True,True,True,True,True,True,True,True,0.005,0.005
syn_2000sku_seed1002,synthetic,2000,20,66293,1000,1/2,66,10015.2,0.6578,0.7049,0.7049,0.4284,0.3554,0.5398,0.2178,3.24,0.0,False,False,False,False,True,True,True,True,True,True,True,True,0.01,0.01
syn_2000sku_seed1002,synthetic,2000,20,66293,2000,1,33,20030.5,0.4217,0.5128,0.5128,0.297,0.2444,0.3514,0.154,3.33,0.0,False,False,True,False,True,True,True,True,True,True,True,True,0.005,0.01
syn_2000sku_seed1002,synthetic,2000,20,66293,4000,2,16,40059.2,0.3718,0.3267,0.3718,0.198,0.162,0.2075,0.1089,3.41,0.0,False,False,True,True,True,True,True,True,True,True,True,True,0.005,0.005
syn_2000sku_seed1003,synthetic,2000,20,51627,1000,1/2,51,10001.1,0.7752,0.6304,0.7752,0.4257,0.3595,0.5011,0.2179,3.56,0.0,False,False,False,False,True,True,True,True,True,True,True,True,0.01,0.01
syn_2000sku_seed1003,synthetic,2000,20,51627,2000,1,25,20010.8,0.5142,0.5827,0.5827,0.3044,0.2598,0.3487,0.1541,3.78,0.0,False,False,False,False,True,True,True,True,True,True,True,True,0.01,0.01
syn_2000sku_seed1003,synthetic,2000,20,51627,4000,2,12,40026.8,0.2977,0.2655,0.2977,0.2175,0.1801,0.2026,0.1089,2.73,0.0,False,False,True,True,True,True,True,True,True,True,True,True,0.005,0.005
syn_500sku_seed1001,synthetic,500,5,16830,250,1/2,67,2506.4,2.0413,1.912,2.0413,1.4788,1.2439,1.8821,0.7991,2.55,0.203,False,False,False,False,False,False,False,False,True,True,True,True,0.03,0.03
syn_500sku_seed1001,synthetic,500,5,16830,500,1,33,5014.9,1.1064,1.4861,1.4861,0.9906,0.8635,1.1147,0.5649,2.63,0.0485,False,False,False,False,False,False,True,True,True,True,True,True,0.02,0.02
syn_500sku_seed1001,synthetic,500,5,16830,1000,2,16,10030.8,0.6785,1.0283,1.0283,0.5425,0.5167,0.562,0.3994,2.57,0.0125,False,False,False,False,True,False,True,True,True,True,True,True,0.01,0.02
syn_500sku_seed1002,synthetic,500,5,14639,250,1/2,58,2500.9,2.2487,2.073,2.2487,1.468,1.2501,1.9883,0.7997,2.81,0.1793,False,False,False,False,False,False,False,False,True,True,True,True,0.03,0.03
syn_500sku_seed1002,synthetic,500,5,14639,500,1,29,5001.7,1.4573,1.599,1.599,1.0241,0.8162,1.0293,0.5655,2.83,0.0621,False,False,False,False,False,False,True,True,True,True,True,True,0.02,0.02
syn_500sku_seed1002,synthetic,500,5,14639,1000,2,14,9994.7,0.8322,0.9738,0.9738,0.6768,0.5897,0.6308,0.4,2.43,0.0,False,False,False,False,True,True,True,True,True,True,True,True,0.01,0.01
syn_500sku_seed1003,synthetic,500,5,12901,250,1/2,51,2495.9,1.9906,1.8157,1.9906,1.5318,1.2637,1.7766,0.8007,2.49,0.1647,False,False,False,False,False,False,True,True,True,True,True,True,0.02,0.02
syn_500sku_seed1003,synthetic,500,5,12901,500,1,25,4990.1,1.4616,1.2093,1.4616,1.0803,0.8825,1.2093,0.5662,2.58,0.072,False,False,False,False,False,False,True,True,True,True,True,True,0.02,0.02
syn_500sku_seed1003,synthetic,500,5,12901,1000,2,12,9971.8,0.9741,0.9372,0.9741,0.7646,0.652,0.6929,0.4006,2.43,0.0,False,False,False,False,True,True,True,True,True,True,True,True,0.01,0.01
syn_500sku_seed1004,synthetic,500,5,16654,250,1/2,66,2495.3,2.8282,1.9206,2.8282,1.526,1.2342,1.8718,0.8007,3.53,0.2152,False,False,False,False,False,False,False,False,True,True,True,True,0.03,0.03
syn_500sku_seed1004,synthetic,500,5,16654,500,1,33,4990.7,1.36,1.3501,1.36,1.1014,0.9668,1.2394,0.5662,2.4,0.0788,False,False,False,False,False,False,True,True,True,True,True,True,0.02,0.02
syn_500sku_seed1004,synthetic,500,5,16654,1000,2,16,9983.3,1.1684,0.934,1.1684,0.795,0.7345,0.7949,0.4003,2.92,0.0125,False,False,False,False,False,False,True,True,True,True,True,True,0.02,0.02
syn_500sku_seed1005,synthetic,500,5,14917,250,1/2,59,2498.9,2.0499,2.2118,2.2118,1.49,1.3304,1.9648,0.8002,2.76,0.2169,False,False,False,False,False,False,False,False,True,True,True,True,0.03,0.03
syn_500sku_seed1005,synthetic,500,5,14917,500,1,29,4998.1,1.6129,1.3551,1.6129,1.0839,0.9139,1.2559,0.5658,2.85,0.0621,False,False,False,False,False,False,True,True,True,True,True,True,0.02,0.02
syn_500sku_seed1005,synthetic,500,5,14917,1000,2,14,10001.0,0.6552,1.0737,1.0737,0.6393,0.5937,0.7196,0.4,2.68,0.0143,False,False,False,False,True,False,True,True,True,True,True,True,0.01,0.02
syn_500sku_seed1006,synthetic,500,5,11566,250,1/2,46,2502.0,2.3458,2.115,2.3458,1.4111,1.1678,2.032,0.7997,2.93,0.1696,False,False,False,False,False,False,False,False,True,True,True,True,0.03,0.03
syn_500sku_seed1006,synthetic,500,5,11566,500,1,23,5004.0,1.6099,1.2104,1.6099,1.0096,0.8609,1.2104,0.5655,2.85,0.0522,False,False,False,False,False,False,True,True,True,True,True,True,0.02,0.02
syn_500sku_seed1006,synthetic,500,5,11566,1000,2,11,10009.2,0.8836,0.7702,0.8836,0.6968,0.6132,0.6663,0.3998,2.21,0.0,False,False,False,False,True,True,True,True,True,True,True,True,0.01,0.01
syn_500sku_seed1007,synthetic,500,5,15632,250,1/2,62,2504.0,2.2618,2.3586,2.3586,1.6265,1.3538,2.1054,0.7994,2.95,0.2097,False,False,False,False,False,False,False,False,True,True,True,True,0.03,0.03
syn_500sku_seed1007,synthetic,500,5,15632,500,1,31,5008.0,1.2904,1.5364,1.5364,0.9535,0.8485,1.2409,0.5652,2.72,0.0452,False,False,False,False,False,False,True,True,True,True,True,True,0.02,0.02
syn_500sku_seed1007,synthetic,500,5,15632,1000,2,15,10016.2,0.7815,0.719,0.7815,0.6587,0.6131,0.6593,0.3997,1.96,0.0,False,False,False,False,True,True,True,True,True,True,True,True,0.01,0.01
syn_500sku_seed1008,synthetic,500,5,17405,250,1/2,69,2507.6,2.1865,2.7904,2.7904,1.5399,1.3035,1.9957,0.7988,3.49,0.2029,False,False,False,False,False,False,False,False,True,True,True,True,0.03,0.03
syn_500sku_seed1008,synthetic,500,5,17405,500,1,34,5016.2,1.5259,1.474,1.5259,1.157,1.0621,1.3848,0.5648,2.7,0.1176,False,False,False,False,False,False,True,True,True,True,True,True,0.02,0.02
syn_500sku_seed1008,synthetic,500,5,17405,1000,2,17,10032.4,1.0591,0.9616,1.0591,0.8446,0.6999,0.9423,0.3994,2.65,0.0118,False,False,False,False,False,False,True,True,True,True,True,True,0.02,0.02
syn_500sku_seed1009,synthetic,500,5,14343,250,1/2,57,2492.0,2.8882,2.0107,2.8882,1.5742,1.409,2.0107,0.8013,3.6,0.2351,False,False,False,False,False,False,False,False,True,True,True,True,0.03,0.03
syn_500sku_seed1009,synthetic,500,5,14343,500,1,28,4982.2,1.7889,1.3092,1.7889,1.0253,0.8748,1.1234,0.5667,3.16,0.0571,False,False,False,False,False,False,True,True,True,True,True,True,0.02,0.02
syn_500sku_seed1009,synthetic,500,5,14343,1000,2,14,9964.5,1.2508,0.8443,1.2508,0.6541,0.5897,0.6609,0.4007,3.12,0.0143,False,False,False,False,False,False,True,True,True,True,True,True,0.02,0.02
syn_500sku_seed1010,synthetic,500,5,10934,250,1/2,43,2499.9,2.3789,2.0323,2.3789,1.4139,1.165,2.0323,0.8,2.97,0.1674,False,False,False,False,False,False,False,False,True,True,True,True,0.03,0.03
syn_500sku_seed1010,synthetic,500,5,10934,500,1,21,5001.5,1.2296,1.1551,1.2296,1.0185,0.8947,1.0452,0.5656,2.17,0.0571,False,False,False,False,False,False,True,True,True,True,True,True,0.02,0.02
syn_500sku_seed1010,synthetic,500,5,10934,1000,2,10,9996.4,0.7269,0.7913,0.7913,0.6505,0.5477,0.6652,0.4001,1.98,0.0,False,False,False,False,True,True,True,True,True,True,True,True,0.01,0.01
syn_50sku_seed1001,synthetic,50,5,1737,25,1/2,69,247.3,7.7894,7.8429,7.8429,4.9082,3.9122,6.4767,2.5258,3.11,0.6435,False,False,False,False,False,False,False,False,False,False,False,False,,
syn_50sku_seed1001,synthetic,50,5,1737,50,1,34,494.3,5.5819,5.7463,5.7463,3.1785,2.7041,3.8025,1.7865,3.22,0.6,False,False,False,False,False,False,False,False,False,False,False,False,,
syn_50sku_seed1001,synthetic,50,5,1737,100,2,17,988.6,3.423,3.5041,3.5041,2.7874,2.071,2.7947,1.2632,2.77,0.3647,False,False,False,False,False,False,False,False,False,False,True,True,0.05,0.05
syn_50sku_seed1002,synthetic,50,5,1187,25,1/2,47,249.4,6.023,6.8801,6.8801,4.5834,3.7595,5.6956,2.5181,2.73,0.6809,False,False,False,False,False,False,False,False,False,False,False,False,,
syn_50sku_seed1002,synthetic,50,5,1187,50,1,23,498.3,3.9166,5.1537,5.1537,3.0775,2.5552,3.5315,1.7813,2.89,0.5652,False,False,False,False,False,False,False,False,False,False,True,False,0.05,
syn_50sku_seed1002,synthetic,50,5,1187,100,2,11,998.1,2.684,3.1262,3.1262,2.0381,1.8418,2.1295,1.2586,2.48,0.4545,False,False,False,False,False,False,False,False,True,False,True,True,0.03,0.05
syn_50sku_seed1003,synthetic,50,5,1237,25,1/2,49,250.2,7.4404,5.8661,7.4404,4.3766,3.8365,6.3585,2.5285,2.94,0.7143,False,False,False,False,False,False,False,False,False,False,False,False,,
syn_50sku_seed1003,synthetic,50,5,1237,50,1,24,500.5,3.4615,3.8894,3.8894,2.9901,2.6493,3.4374,1.7878,2.18,0.5583,False,False,False,False,False,False,False,False,False,False,True,True,0.05,0.05
syn_50sku_seed1003,synthetic,50,5,1237,100,2,12,1001.0,2.1992,2.9231,2.9231,2.0337,1.6739,1.655,1.2642,2.31,0.3333,False,False,False,False,False,False,False,False,True,True,True,True,0.03,0.03
syn_50sku_seed1004,synthetic,50,5,1351,25,1/2,54,252.0,11.11,8.5965,11.11,4.8492,4.0394,7.8348,2.5528,4.35,0.7185,False,False,False,False,False,False,False,False,False,False,False,False,,
syn_50sku_seed1004,synthetic,50,5,1351,50,1,27,503.9,5.0079,4.7237,5.0079,3.5257,3.0769,3.8467,1.8051,2.77,0.637,False,False,False,False,False,False,False,False,False,False,False,False,,
syn_50sku_seed1004,synthetic,50,5,1351,100,2,13,1005.7,2.6338,2.4074,2.6338,2.3008,1.9025,2.333,1.2778,2.06,0.4615,False,False,False,False,False,False,False,False,True,True,True,True,0.03,0.03
syn_50sku_seed1005,synthetic,50,5,1316,25,1/2,52,251.2,6.6899,5.46,6.6899,4.547,3.9916,5.4665,2.526,2.65,0.6769,False,False,False,False,False,False,False,False,False,False,False,False,,
syn_50sku_seed1005,synthetic,50,5,1316,50,1,26,502.3,4.7869,3.583,4.7869,3.1796,2.922,3.3524,1.7861,2.68,0.5154,False,False,False,False,False,False,False,False,False,False,True,True,0.05,0.05
syn_50sku_seed1005,synthetic,50,5,1316,100,2,13,1004.7,1.8156,2.0168,2.0168,1.814,1.6926,1.8156,1.263,1.6,0.3385,False,False,False,False,False,False,True,False,True,True,True,True,0.02,0.03
syn_50sku_seed1006,synthetic,50,5,1269,25,1/2,50,249.4,7.9787,6.8662,7.9787,4.972,4.3411,6.5698,2.5306,3.15,0.732,False,False,False,False,False,False,False,False,False,False,False,False,,
syn_50sku_seed1006,synthetic,50,5,1269,50,1,25,498.8,6.3059,4.2887,6.3059,3.3408,2.832,3.6965,1.7894,3.52,0.608,False,False,False,False,False,False,False,False,False,False,False,False,,
syn_50sku_seed1006,synthetic,50,5,1269,100,2,12,997.7,2.9828,2.6299,2.9828,1.968,1.7457,1.998,1.2652,2.36,0.4,False,False,False,False,False,False,False,False,True,True,True,True,0.03,0.03
syn_50sku_seed1007,synthetic,50,5,1694,25,1/2,67,249.5,7.3352,7.7295,7.7295,5.2156,4.4425,7.3189,2.5382,3.05,0.7493,False,False,False,False,False,False,False,False,False,False,False,False,,
syn_50sku_seed1007,synthetic,50,5,1694,50,1,33,498.7,5.1399,4.8207,5.1399,4.2234,3.5879,4.6609,1.7954,2.86,0.6424,False,False,False,False,False,False,False,False,False,False,False,False,,
syn_50sku_seed1007,synthetic,50,5,1694,100,2,16,999.4,3.923,3.1947,3.923,2.8636,2.5673,3.0336,1.2683,3.09,0.4625,False,False,False,False,False,False,False,False,False,False,True,True,0.05,0.05
syn_50sku_seed1008,synthetic,50,5,1476,25,1/2,59,246.3,10.1568,7.5775,10.1568,4.8539,4.195,6.5945,2.5483,3.99,0.6881,False,False,False,False,False,False,False,False,False,False,False,False,,
syn_50sku_seed1008,synthetic,50,5,1476,50,1,29,493.0,5.1481,5.2072,5.2072,3.7485,3.0392,4.9473,1.8012,2.89,0.6,False,False,False,False,False,False,False,False,False,False,False,False,,
syn_50sku_seed1008,synthetic,50,5,1476,100,2,14,988.9,3.0622,4.1187,4.1187,2.7971,2.152,3.0622,1.2717,3.24,0.4286,False,False,False,False,False,False,False,False,False,False,True,True,0.05,0.05
syn_50sku_seed1009,synthetic,50,5,1423,25,1/2,56,248.6,6.9881,6.1275,6.9881,4.6888,3.979,5.6114,2.5337,2.76,0.6393,False,False,False,False,False,False,False,False,False,False,False,False,,
syn_50sku_seed1009,synthetic,50,5,1423,50,1,28,497.2,5.4467,3.8827,5.4467,3.4253,2.6734,3.5103,1.7916,3.04,0.5286,False,False,False,False,False,False,False,False,False,False,False,False,,
syn_50sku_seed1009,synthetic,50,5,1423,100,2,14,994.5,2.5048,2.0745,2.5048,2.1114,1.8085,2.1416,1.2669,1.98,0.4,False,False,False,False,False,False,False,False,True,True,True,True,0.03,0.03
syn_50sku_seed1010,synthetic,50,5,1510,25,1/2,60,246.9,6.0607,7.37,7.37,4.9078,4.3019,6.6681,2.5363,2.91,0.6933,False,False,False,False,False,False,False,False,False,False,False,False,,
syn_50sku_seed1010,synthetic,50,5,1510,50,1,30,493.7,5.3544,4.9274,5.3544,3.4819,2.979,4.0333,1.7934,2.99,0.5933,False,False,False,False,False,False,False,False,False,False,False,False,,
syn_50sku_seed1010,synthetic,50,5,1510,100,2,15,987.5,2.6726,2.6922,2.6922,2.207,2.0169,2.3582,1.2682,2.12,0.5467,False,False,False,False,False,False,False,False,True,True,True,True,0.03,0.03
syn_50sku_seed1011,synthetic,50,5,1162,25,1/2,46,247.6,7.0372,7.714,7.714,4.8144,4.5178,5.8686,2.5403,3.04,0.6652,False,False,False,False,False,False,False,False,False,False,False,False,,
syn_50sku_seed1011,synthetic,50,5,1162,50,1,23,495.3,4.5056,4.1157,4.5056,3.527,2.905,3.6731,1.7963,2.51,0.6261,False,False,False,False,False,False,False,False,False,False,True,True,0.05,0.05
syn_50sku_seed1011,synthetic,50,5,1162,100,2,11,993.6,2.9623,2.6996,2.9623,2.4091,1.9713,2.6996,1.2682,2.34,0.3636,False,False,False,False,False,False,False,False,True,True,True,True,0.03,0.03
syn_50sku_seed1012,synthetic,50,5,1734,25,1/2,69,251.6,5.19,5.5337,5.5337,4.4454,3.7869,5.0249,2.5488,2.17,0.6551,False,False,False,False,False,False,False,False,False,False,False,False,,
syn_50sku_seed1012,synthetic,50,5,1734,50,1,34,503.0,3.9696,4.6685,4.6685,3.3528,2.6468,3.8026,1.8024,2.59,0.4647,False,False,False,False,False,False,False,False,False,False,True,True,0.05,0.05
syn_50sku_seed1012,synthetic,50,5,1734,100,2,17,1006.1,2.546,3.5367,3.5367,2.3104,1.8021,2.4755,1.2745,2.77,0.3059,False,False,False,False,False,False,False,False,True,False,True,True,0.03,0.05
BERNER,industrial,21874,24,199403,10937,1/2,18,58654.3,1.6982,0.7131,1.6982,0.5279,0.406,0.4803,0.0767,22.15,0.0093,False,False,False,False,False,False,True,True,True,True,True,True,0.02,0.02
BERNER,industrial,21874,24,199403,21874,1,9,117308.6,1.6291,0.5397,1.6291,0.4355,0.3449,0.3112,0.0542,30.06,0.0093,False,False,False,False,False,False,True,True,True,True,True,True,0.02,0.02
BERNER,industrial,21874,24,199403,43748,2,4,230402.8,1.4747,0.5354,1.4747,0.3853,0.2653,0.2155,0.0387,38.13,0.0104,False,False,False,False,False,False,True,True,True,True,True,True,0.02,0.02
