dataset_id,kind,catalogue_size,stations,orders,origin,n,horizon_multiple,arm,delta,nu,eligibility,scenarios,inactive_products,mean_lines_per_order,expected_block_lines,reference_eta,reference_eta_exact,reference_feasible_at_delta,smallest_grid_delta_admitting_reference,noise_scale_pp
syn_1000sku_seed1002,synthetic,1000,10,38741,27118,2000,2,HIST+ACT,0.01,0.01,,14,0,9.9938,19987.6,0.004725092028829055,25694369/5437855780,True,0.005,0.2122
syn_1000sku_seed1003,synthetic,1000,10,37635,26344,500,1/2,NOM,0.01,0.01,,53,0,10.0046,5002.3,0.0,0,True,0,0.4242
syn_1000sku_seed1003,synthetic,1000,10,37635,26344,500,1/2,TIGHT,0.01,0.01,,53,0,10.0046,5002.3,0.0,0,True,0,0.4242
syn_1000sku_seed1003,synthetic,1000,10,37635,26344,500,1/2,HIST,0.01,0.01,,53,0,10.0046,5002.3,0.012001790721794397,15730673/1310693826,False,0.02,0.4242
syn_1000sku_seed1003,synthetic,1000,10,37635,26344,500,1/2,HIST+ACT,0.01,0.01,,53,0,10.0046,5002.3,0.012001790721794397,15730673/1310693826,False,0.02,0.4242
syn_1000sku_seed1003,synthetic,1000,10,37635,26344,1000,1,NOM,0.01,0.01,,27,0,10.0046,10004.6,0.0,0,True,0,0.2999
syn_1000sku_seed1003,synthetic,1000,10,37635,26344,1000,1,TIGHT,0.01,0.01,,27,0,10.0046,10004.6,0.0,0,True,0,0.2999
syn_1000sku_seed1003,synthetic,1000,10,37635,26344,1000,1,HIST,0.01,0.01,,27,0,10.0046,10004.6,0.0076905627628513626,10439755/1357476081,True,0.01,0.2999
syn_1000sku_seed1003,synthetic,1000,10,37635,26344,1000,1,HIST+ACT,0.01,0.01,,27,0,10.0046,10004.6,0.0076905627628513626,10439755/1357476081,True,0.01,0.2999
syn_1000sku_seed1003,synthetic,1000,10,37635,26344,2000,2,NOM,0.01,0.01,,14,0,10.0046,20009.3,0.0,0,True,0,0.2121
syn_1000sku_seed1003,synthetic,1000,10,37635,26344,2000,2,TIGHT,0.01,0.01,,14,0,10.0046,20009.3,0.0,0,True,0,0.2121
syn_1000sku_seed1003,synthetic,1000,10,37635,26344,2000,2,HIST,0.01,0.01,,14,0,10.0046,20009.3,0.004792790887614073,6295145/1313461227,True,0.005,0.2121
syn_1000sku_seed1003,synthetic,1000,10,37635,26344,2000,2,HIST+ACT,0.01,0.01,,14,0,10.0046,20009.3,0.004792790887614073,6295145/1313461227,True,0.005,0.2121
syn_1000sku_seed1004,synthetic,1000,10,33481,23436,500,1/2,NOM,0.01,0.01,,47,0,10.0093,5004.7,0.0,0,True,0,0.4241
syn_1000sku_seed1004,synthetic,1000,10,33481,23436,500,1/2,TIGHT,0.01,0.01,,47,0,10.0093,5004.7,0.0,0,True,0,0.4241
syn_1000sku_seed1004,synthetic,1000,10,33481,23436,500,1/2,HIST,0.01,0.01,,47,0,10.0093,5004.7,0.012873332168956713,7644625/593834207,False,0.02,0.4241
syn_1000sku_seed1004,synthetic,1000,10,33481,23436,500,1/2,HIST+ACT,0.01,0.01,,47,0,10.0093,5004.7,0.012873332168956713,7644625/593834207,False,0.02,0.4241
syn_1000sku_seed1004,synthetic,1000,10,33481,23436,1000,1,NOM,0.01,0.01,,24,0,10.0093,10009.3,0.0,0,True,0,0.2999
syn_1000sku_seed1004,synthetic,1000,10,33481,23436,1000,1,TIGHT,0.01,0.01,,24,0,10.0093,10009.3,0.0,0,True,0,0.2999
syn_1000sku_seed1004,synthetic,1000,10,33481,23436,1000,1,HIST,0.01,0.01,,24,0,10.0093,10009.3,0.008005992926278783,4662209/582339885,True,0.01,0.2999
syn_1000sku_seed1004,synthetic,1000,10,33481,23436,1000,1,HIST+ACT,0.01,0.01,,24,0,10.0093,10009.3,0.008005992926278783,4662209/582339885,True,0.01,0.2999
syn_1000sku_seed1004,synthetic,1000,10,33481,23436,2000,2,NOM,0.01,0.01,,12,0,10.0093,20018.6,0.0,0,True,0,0.212
syn_1000sku_seed1004,synthetic,1000,10,33481,23436,2000,2,TIGHT,0.01,0.01,,12,0,10.0093,20018.6,0.0,0,True,0,0.212
syn_1000sku_seed1004,synthetic,1000,10,33481,23436,2000,2,HIST,0.01,0.01,,12,0,10.0093,20018.6,0.004829368511633,11291818/2338156215,True,0.005,0.212
syn_1000sku_seed1004,synthetic,1000,10,33481,23436,2000,2,HIST+ACT,0.01,0.01,,12,0,10.0093,20018.6,0.004829368511633,11291818/2338156215,True,0.005,0.212
syn_2000sku_seed1001,synthetic,2000,20,67637,47345,1000,1/2,NOM,0.01,0.01,,48,0,10.0087,10008.7,0.0,0,True,0,0.2178
syn_2000sku_seed1001,synthetic,2000,20,67637,47345,1000,1/2,TIGHT,0.01,0.01,,48,0,10.0087,10008.7,0.0,0,True,0,0.2178
syn_2000sku_seed1001,synthetic,2000,20,67637,47345,1000,1/2,HIST,0.01,0.01,,48,0,10.0087,10008.7,0.006658000210807672,31477235/4727731151,True,0.01,0.2178
syn_2000sku_seed1001,synthetic,2000,20,67637,47345,1000,1/2,HIST+ACT,0.01,0.01,,48,0,10.0087,10008.7,0.006658000210807672,31477235/4727731151,True,0.01,0.2178
syn_2000sku_seed1001,synthetic,2000,20,67637,47345,2000,1,NOM,0.01,0.01,,24,0,10.0087,20017.4,0.0,0,True,0,0.154
syn_2000sku_seed1001,synthetic,2000,20,67637,47345,2000,1,TIGHT,0.01,0.01,,24,0,10.0087,20017.4,0.0,0,True,0,0.154
syn_2000sku_seed1001,synthetic,2000,20,67637,47345,2000,1,HIST,0.01,0.01,,24,0,10.0087,20017.4,0.004286410456073585,40393904/9423713481,True,0.005,0.154
syn_2000sku_seed1001,synthetic,2000,20,67637,47345,2000,1,HIST+ACT,0.01,0.01,,24,0,10.0087,20017.4,0.004286410456073585,40393904/9423713481,True,0.005,0.154
syn_2000sku_seed1001,synthetic,2000,20,67637,47345,4000,2,NOM,0.01,0.01,,12,0,10.0087,40034.9,0.0,0,True,0,0.1089
syn_2000sku_seed1001,synthetic,2000,20,67637,47345,4000,2,TIGHT,0.01,0.01,,12,0,10.0087,40034.9,0.0,0,True,0,0.1089
syn_2000sku_seed1001,synthetic,2000,20,67637,47345,4000,2,HIST,0.01,0.01,,12,0,10.0087,40034.9,0.0031148583930683993,59158727/18992429040,True,0.005,0.1089
syn_2000sku_seed1001,synthetic,2000,20,67637,47345,4000,2,HIST+ACT,0.01,0.01,,12,0,10.0087,40034.9,0.0031148583930683993,59158727/18992429040,True,0.005,0.1089
syn_2000sku_seed1002,synthetic,2000,20,94705,66293,1000,1/2,NOM,0.01,0.01,,67,0,10.015,10015.0,0.0,0,True,0,0.2178
syn_2000sku_seed1002,synthetic,2000,20,94705,66293,1000,1/2,TIGHT,0.01,0.01,,67,0,10.015,10015.0,0.0,0,True,0,0.2178
syn_2000sku_seed1002,synthetic,2000,20,94705,66293,1000,1/2,HIST,0.01,0.01,,67,0,10.015,10015.0,0.006578216999833061,43975847/6685070894,True,0.01,0.2178
syn_2000sku_seed1002,synthetic,2000,20,94705,66293,1000,1/2,HIST+ACT,0.01,0.01,,67,0,10.015,10015.0,0.006578216999833061,43975847/6685070894,True,0.01,0.2178
syn_2000sku_seed1002,synthetic,2000,20,94705,66293,2000,1,NOM,0.01,0.01,,34,0,10.015,20030.0,0.0,0,True,0,0.154
syn_2000sku_seed1002,synthetic,2000,20,94705,66293,2000,1,TIGHT,0.01,0.01,,34,0,10.015,20030.0,0.0,0,True,0,0.154
syn_2000sku_seed1002,synthetic,2000,20,94705,66293,2000,1,HIST,0.01,0.01,,34,0,10.015,20030.0,0.004217315634573732,5599971/1327852000,True,0.005,0.154
syn_2000sku_seed1002,synthetic,2000,20,94705,66293,2000,1,HIST+ACT,0.01,0.01,,34,0,10.015,20030.0,0.004217315634573732,5599971/1327852000,True,0.005,0.154
syn_2000sku_seed1002,synthetic,2000,20,94705,66293,4000,2,NOM,0.01,0.01,,17,0,10.015,40060.1,0.0,0,True,0,0.1089
syn_2000sku_seed1002,synthetic,2000,20,94705,66293,4000,2,TIGHT,0.01,0.01,,17,0,10.015,40060.1,0.0,0,True,0,0.1089
syn_2000sku_seed1002,synthetic,2000,20,94705,66293,4000,2,HIST,0.01,0.01,,17,0,10.015,40060.1,0.003717596624657905,49409843/13290802631,True,0.005,0.1089
syn_2000sku_seed1002,synthetic,2000,20,94705,66293,4000,2,HIST+ACT,0.01,0.01,,17,0,10.015,40060.1,0.003717596624657905,49409843/13290802631,True,0.005,0.1089
syn_2000sku_seed1003,synthetic,2000,20,73753,51627,1000,1/2,NOM,0.01,0.01,,52,0,9.9991,9999.1,0.0,0,True,0,0.218
syn_2000sku_seed1003,synthetic,2000,20,73753,51627,1000,1/2,TIGHT,0.01,0.01,,52,0,9.9991,9999.1,0.0,0,True,0,0.218
syn_2000sku_seed1003,synthetic,2000,20,73753,51627,1000,1/2,HIST,0.01,0.01,,52,0,9.9991,9999.1,0.007752277822644735,39842803/5139496276,True,0.01,0.218
syn_2000sku_seed1003,synthetic,2000,20,73753,51627,1000,1/2,HIST+ACT,0.01,0.01,,52,0,9.9991,9999.1,0.007752277822644735,39842803/5139496276,True,0.01,0.218
syn_2000sku_seed1003,synthetic,2000,20,73753,51627,2000,1,NOM,0.01,0.01,,26,0,9.9991,19998.1,0.0,0,True,0,0.1541
syn_2000sku_seed1003,synthetic,2000,20,73753,51627,2000,1,TIGHT,0.01,0.01,,26,0,9.9991,19998.1,0.0,0,True,0,0.1541
syn_2000sku_seed1003,synthetic,2000,20,73753,51627,2000,1,HIST,0.01,0.01,,26,0,9.9991,19998.1,0.005141532472117856,13236331/2574394127,True,0.01,0.1541
syn_2000sku_seed1003,synthetic,2000,20,73753,51627,2000,1,HIST+ACT,0.01,0.01,,26,0,9.9991,19998.1,0.005141532472117856,13236331/2574394127,True,0.01,0.1541
syn_2000sku_seed1003,synthetic,2000,20,73753,51627,4000,2,NOM,0.01,0.01,,13,0,9.9991,39996.2,0.0,0,True,0,0.109
syn_2000sku_seed1003,synthetic,2000,20,73753,51627,4000,2,TIGHT,0.01,0.01,,13,0,9.9991,39996.2,0.0,0,True,0,0.109
syn_2000sku_seed1003,synthetic,2000,20,73753,51627,4000,2,HIST,0.01,0.01,,13,0,9.9991,39996.2,0.0029769381260047532,15461322/5193699481,True,0.005,0.109
syn_2000sku_seed1003,synthetic,2000,20,73753,51627,4000,2,HIST+ACT,0.01,0.01,,13,0,9.9991,39996.2,0.0029769381260047532,15461322/5193699481,True,0.005,0.109
syn_500sku_seed1001,synthetic,500,5,24044,16830,250,1/2,NOM,0.01,0.01,,68,0,10.0247,2506.2,0.0,0,True,0,0.799
syn_500sku_seed1001,synthetic,500,5,24044,16830,250,1/2,TIGHT,0.01,0.01,,68,0,10.0247,2506.2,0.0,0,True,0,0.799
syn_500sku_seed1001,synthetic,500,5,24044,16830,250,1/2,HIST,0.01,0.01,,68,0,10.0247,2506.2,0.020413164364526712,1470591/72041305,False,0.05,0.799
syn_500sku_seed1001,synthetic,500,5,24044,16830,250,1/2,HIST+ACT,0.01,0.01,,68,0,10.0247,2506.2,0.020413164364526712,1470591/72041305,False,0.05,0.799
syn_500sku_seed1001,synthetic,500,5,24044,16830,500,1,NOM,0.01,0.01,,34,0,10.0247,5012.3,0.0,0,True,0,0.565
syn_500sku_seed1001,synthetic,500,5,24044,16830,500,1,TIGHT,0.01,0.01,,34,0,10.0247,5012.3,0.0,0,True,0,0.565
syn_500sku_seed1001,synthetic,500,5,24044,16830,500,1,HIST,0.01,0.01,,34,0,10.0247,5012.3,0.011064456124417543,9301964/840706845,False,0.02,0.565
syn_500sku_seed1001,synthetic,500,5,24044,16830,500,1,HIST+ACT,0.01,0.01,,34,0,10.0247,5012.3,0.011064456124417543,9301964/840706845,False,0.02,0.565
syn_500sku_seed1001,synthetic,500,5,24044,16830,1000,2,NOM,0.01,0.01,,17,0,10.0247,10024.7,0.0,0,True,0,0.3995
syn_500sku_seed1001,synthetic,500,5,24044,16830,1000,2,TIGHT,0.01,0.01,,17,0,10.0247,10024.7,0.0,0,True,0,0.3995
syn_500sku_seed1001,synthetic,500,5,24044,16830,1000,2,HIST,0.01,0.01,,17,0,10.0247,10024.7,0.006785204564888078,2302124/339285865,True,0.01,0.3995
syn_500sku_seed1001,synthetic,500,5,24044,16830,1000,2,HIST+ACT,0.01,0.01,,17,0,10.0247,10024.7,0.006785204564888078,2302124/339285865,True,0.01,0.3995
syn_500sku_seed1002,synthetic,500,5,20913,14639,250,1/2,NOM,0.01,0.01,,59,0,10.0077,2501.9,0.0,0,True,0,0.7997
syn_500sku_seed1002,synthetic,500,5,20913,14639,250,1/2,TIGHT,0.01,0.01,,59,0,10.0077,2501.9,0.0,0,True,0,0.7997
syn_500sku_seed1002,synthetic,500,5,20913,14639,250,1/2,HIST,0.01,0.01,,59,0,10.0077,2501.9,0.022486515724203213,10310/458497,False,0.05,0.7997
syn_500sku_seed1002,synthetic,500,5,20913,14639,250,1/2,HIST+ACT,0.01,0.01,,59,0,10.0077,2501.9,0.022486515724203213,10310/458497,False,0.05,0.7997
syn_500sku_seed1002,synthetic,500,5,20913,14639,500,1,NOM,0.01,0.01,,30,0,10.0077,5003.8,0.0,0,True,0,0.5655
syn_500sku_seed1002,synthetic,500,5,20913,14639,500,1,TIGHT,0.01,0.01,,30,0,10.0077,5003.8,0.0,0,True,0,0.5655
syn_500sku_seed1002,synthetic,500,5,20913,14639,500,1,HIST,0.01,0.01,,30,0,10.0077,5003.8,0.014573087757029863,597559/41004282,False,0.02,0.5655
syn_500sku_seed1002,synthetic,500,5,20913,14639,500,1,HIST+ACT,0.01,0.01,,30,0,10.0077,5003.8,0.014573087757029863,597559/41004282,False,0.02,0.5655
syn_500sku_seed1002,synthetic,500,5,20913,14639,1000,2,NOM,0.01,0.01,,15,0,10.0077,10007.7,0.0,0,True,0,0.3998
syn_500sku_seed1002,synthetic,500,5,20913,14639,1000,2,TIGHT,0.01,0.01,,15,0,10.0077,10007.7,0.0,0,True,0,0.3998
syn_500sku_seed1002,synthetic,500,5,20913,14639,1000,2,HIST,0.01,0.01,,15,0,10.0077,10007.7,0.008321514951103018,340405/40906614,True,0.01,0.3998
syn_500sku_seed1002,synthetic,500,5,20913,14639,1000,2,HIST+ACT,0.01,0.01,,15,0,10.0077,10007.7,0.008321514951103018,340405/40906614,True,0.01,0.3998
syn_500sku_seed1003,synthetic,500,5,18431,12901,250,1/2,NOM,0.01,0.01,,52,0,9.9809,2495.2,0.0,0,True,0,0.8008
syn_500sku_seed1003,synthetic,500,5,18431,12901,250,1/2,TIGHT,0.01,0.01,,52,0,9.9809,2495.2,0.0,0,True,0,0.8008
syn_500sku_seed1003,synthetic,500,5,18431,12901,250,1/2,HIST,0.01,0.01,,52,0,9.9809,2495.2,0.01990625448811494,702029/35266755,False,0.02,0.8008
syn_500sku_seed1003,synthetic,500,5,18431,12901,250,1/2,HIST+ACT,0.01,0.01,,52,0,9.9809,2495.2,0.01990625448811494,702029/35266755,False,0.02,0.8008
syn_500sku_seed1003,synthetic,500,5,18431,12901,500,1,NOM,0.01,0.01,,26,0,9.9809,4990.4,0.0,0,True,0,0.5662
syn_500sku_seed1003,synthetic,500,5,18431,12901,500,1,TIGHT,0.01,0.01,,26,0,9.9809,4990.4,0.0,0,True,0,0.5662
syn_500sku_seed1003,synthetic,500,5,18431,12901,500,1,HIST,0.01,0.01,,26,0,9.9809,4990.4,0.014615507446749871,128599/8798805,False,0.02,0.5662
syn_500sku_seed1003,synthetic,500,5,18431,12901,500,1,HIST+ACT,0.01,0.01,,26,0,9.9809,4990.4,0.014615507446749871,128599/8798805,False,0.02,0.5662
syn_500sku_seed1003,synthetic,500,5,18431,12901,1000,2,NOM,0.01,0.01,,13,0,9.9809,9980.9,0.0,0,True,0,0.4004
syn_500sku_seed1003,synthetic,500,5,18431,12901,1000,2,TIGHT,0.01,0.01,,13,0,9.9809,9980.9,0.0,0,True,0,0.4004
syn_500sku_seed1003,synthetic,500,5,18431,12901,1000,2,HIST,0.01,0.01,,13,0,9.9809,9980.9,0.00974086614470368,4189657/430111341,True,0.01,0.4004
syn_500sku_seed1003,synthetic,500,5,18431,12901,1000,2,HIST+ACT,0.01,0.01,,13,0,9.9809,9980.9,0.00974086614470368,4189657/430111341,True,0.01,0.4004
syn_500sku_seed1004,synthetic,500,5,23792,16654,250,1/2,NOM,0.01,0.01,,67,0,9.9836,2495.9,0.0,0,True,0,0.8007
syn_500sku_seed1004,synthetic,500,5,23792,16654,250,1/2,TIGHT,0.01,0.01,,67,0,9.9836,2495.9,0.0,0,True,0,0.8007
syn_500sku_seed1004,synthetic,500,5,23792,16654,250,1/2,HIST,0.01,0.01,,67,0,9.9836,2495.9,0.028282342023915285,5831001/206171080,False,0.05,0.8007
syn_500sku_seed1004,synthetic,500,5,23792,16654,250,1/2,HIST+ACT,0.01,0.01,,67,0,9.9836,2495.9,0.028282342023915285,5831001/206171080,False,0.05,0.8007
syn_500sku_seed1004,synthetic,500,5,23792,16654,500,1,NOM,0.01,0.01,,34,0,9.9836,4991.8,0.0,0,True,0,0.5661
syn_500sku_seed1004,synthetic,500,5,23792,16654,500,1,TIGHT,0.01,0.01,,34,0,9.9836,4991.8,0.0,0,True,0,0.5661
syn_500sku_seed1004,synthetic,500,5,23792,16654,500,1,HIST,0.01,0.01,,34,0,9.9836,4991.8,0.013600283075298786,11319959/832332602,False,0.02,0.5661
syn_500sku_seed1004,synthetic,500,5,23792,16654,500,1,HIST+ACT,0.01,0.01,,34,0,9.9836,4991.8,0.013600283075298786,11319959/832332602,False,0.02,0.5661
syn_500sku_seed1004,synthetic,500,5,23792,16654,1000,2,NOM,0.01,0.01,,17,0,9.9836,9983.6,0.0,0,True,0,0.4003
syn_500sku_seed1004,synthetic,500,5,23792,16654,1000,2,TIGHT,0.01,0.01,,17,0,9.9836,9983.6,0.0,0,True,0,0.4003
syn_500sku_seed1004,synthetic,500,5,23792,16654,1000,2,HIST,0.01,0.01,,17,0,9.9836,9983.6,0.011683511758013809,19414169/1661672398,False,0.02,0.4003
syn_500sku_seed1004,synthetic,500,5,23792,16654,1000,2,HIST+ACT,0.01,0.01,,17,0,9.9836,9983.6,0.011683511758013809,19414169/1661672398,False,0.02,0.4003
syn_500sku_seed1005,synthetic,500,5,21311,14917,250,1/2,NOM,0.01,0.01,,60,0,9.9937,2498.4,0.0,0,True,0,0.8003
syn_500sku_seed1005,synthetic,500,5,21311,14917,250,1/2,TIGHT,0.01,0.01,,60,0,9.9937,2498.4,0.0,0,True,0,0.8003
syn_500sku_seed1005,synthetic,500,5,21311,14917,250,1/2,HIST,0.01,0.01,,60,0,9.9937,2498.4,0.02049889493020677,1307413/63779682,False,0.05,0.8003
syn_500sku_seed1005,synthetic,500,5,21311,14917,250,1/2,HIST+ACT,0.01,0.01,,60,0,9.9937,2498.4,0.02049889493020677,1307413/63779682,False,0.05,0.8003
syn_500sku_seed1005,synthetic,500,5,21311,14917,500,1,NOM,0.01,0.01,,30,0,9.9937,4996.8,0.0,0,True,0,0.5659
syn_500sku_seed1005,synthetic,500,5,21311,14917,500,1,TIGHT,0.01,0.01,,30,0,9.9937,4996.8,0.0,0,True,0,0.5659
syn_500sku_seed1005,synthetic,500,5,21311,14917,500,1,HIST,0.01,0.01,,30,0,9.9937,4996.8,0.016128556864339463,668685/41459692,False,0.02,0.5659
syn_500sku_seed1005,synthetic,500,5,21311,14917,500,1,HIST+ACT,0.01,0.01,,30,0,9.9937,4996.8,0.016128556864339463,668685/41459692,False,0.02,0.5659
syn_500sku_seed1005,synthetic,500,5,21311,14917,1000,2,NOM,0.01,0.01,,15,0,9.9937,9993.7,0.0,0,True,0,0.4001
syn_500sku_seed1005,synthetic,500,5,21311,14917,1000,2,TIGHT,0.01,0.01,,15,0,9.9937,9993.7,0.0,0,True,0,0.4001
syn_500sku_seed1005,synthetic,500,5,21311,14917,1000,2,HIST,0.01,0.01,,15,0,9.9937,9993.7,0.006551824179761853,1091213/166551020,True,0.01,0.4001
syn_500sku_seed1005,synthetic,500,5,21311,14917,1000,2,HIST+ACT,0.01,0.01,,15,0,9.9937,9993.7,0.006551824179761853,1091213/166551020,True,0.01,0.4001
syn_500sku_seed1006,synthetic,500,5,16524,11566,250,1/2,NOM,0.01,0.01,,47,0,10.0062,2501.6,0.0,0,True,0,0.7998
syn_500sku_seed1006,synthetic,500,5,16524,11566,250,1/2,TIGHT,0.01,0.01,,47,0,10.0062,2501.6,0.0,0,True,0,0.7998
syn_500sku_seed1006,synthetic,500,5,16524,11566,250,1/2,HIST,0.01,0.01,,47,0,10.0062,2501.6,0.023458202342355135,3450593/147095372,False,0.05,0.7998
syn_500sku_seed1006,synthetic,500,5,16524,11566,250,1/2,HIST+ACT,0.01,0.01,,47,0,10.0062,2501.6,0.023458202342355135,3450593/147095372,False,0.05,0.7998
syn_500sku_seed1006,synthetic,500,5,16524,11566,500,1,NOM,0.01,0.01,,24,0,10.0062,5003.1,0.0,0,True,0,0.5655
syn_500sku_seed1006,synthetic,500,5,16524,11566,500,1,TIGHT,0.01,0.01,,24,0,10.0062,5003.1,0.0,0,True,0,0.5655
syn_500sku_seed1006,synthetic,500,5,16524,11566,500,1,HIST,0.01,0.01,,24,0,10.0062,5003.1,0.016098531487388445,1551975/96404756,False,0.02,0.5655
syn_500sku_seed1006,synthetic,500,5,16524,11566,500,1,HIST+ACT,0.01,0.01,,24,0,10.0062,5003.1,0.016098531487388445,1551975/96404756,False,0.02,0.5655
syn_500sku_seed1006,synthetic,500,5,16524,11566,1000,2,NOM,0.01,0.01,,12,0,10.0062,10006.2,0.0,0,True,0,0.3999
syn_500sku_seed1006,synthetic,500,5,16524,11566,1000,2,TIGHT,0.01,0.01,,12,0,10.0062,10006.2,0.0,0,True,0,0.3999
syn_500sku_seed1006,synthetic,500,5,16524,11566,1000,2,HIST,0.01,0.01,,12,0,10.0062,10006.2,0.008836213503696663,5122367/579701588,True,0.01,0.3999
syn_500sku_seed1006,synthetic,500,5,16524,11566,1000,2,HIST+ACT,0.01,0.01,,12,0,10.0062,10006.2,0.008836213503696663,5122367/579701588,True,0.01,0.3999
syn_500sku_seed1007,synthetic,500,5,22332,15632,250,1/2,NOM,0.01,0.01,,63,0,10.0132,2503.3,0.0,0,True,0,0.7995
syn_500sku_seed1007,synthetic,500,5,22332,15632,250,1/2,TIGHT,0.01,0.01,,63,0,10.0132,2503.3,0.0,0,True,0,0.7995
syn_500sku_seed1007,synthetic,500,5,22332,15632,250,1/2,HIST,0.01,0.01,,63,0,10.0132,2503.3,0.02261776447814857,4358098/192684737,False,0.05,0.7995
syn_500sku_seed1007,synthetic,500,5,22332,15632,250,1/2,HIST+ACT,0.01,0.01,,63,0,10.0132,2503.3,0.02261776447814857,4358098/192684737,False,0.05,0.7995
syn_500sku_seed1007,synthetic,500,5,22332,15632,500,1,NOM,0.01,0.01,,32,0,10.0132,5006.6,0.0,0,True,0,0.5653
syn_500sku_seed1007,synthetic,500,5,22332,15632,500,1,TIGHT,0.01,0.01,,32,0,10.0132,5006.6,0.0,0,True,0,0.5653
syn_500sku_seed1007,synthetic,500,5,22332,15632,500,1,HIST,0.01,0.01,,32,0,10.0132,5006.6,0.012903782531269076,712986/55254031,False,0.02,0.5653
syn_500sku_seed1007,synthetic,500,5,22332,15632,500,1,HIST+ACT,0.01,0.01,,32,0,10.0132,5006.6,0.012903782531269076,712986/55254031,False,0.02,0.5653
syn_500sku_seed1007,synthetic,500,5,22332,15632,1000,2,NOM,0.01,0.01,,16,0,10.0132,10013.2,0.0,0,True,0,0.3997
