campaign,catalogue_size,n,baseline,arm,delta,nu,tightening,solve_mode,paired_instances,joint_pass_mean_diff,joint_pass_median_diff,joint_pass_instances_better,joint_pass_instances_worse,joint_pass_instances_equal,joint_pass_paired_n,violation_count_mean_diff,violation_count_median_diff,violation_count_instances_better,violation_count_instances_worse,violation_count_instances_equal,violation_count_paired_n,worst_excess_pp_mean_diff,worst_excess_pp_median_diff,worst_excess_pp_instances_better,worst_excess_pp_instances_worse,worst_excess_pp_instances_equal,worst_excess_pp_paired_n,mean_visits_mean_diff,mean_visits_median_diff,mean_visits_instances_better,mean_visits_instances_worse,mean_visits_instances_equal,mean_visits_paired_n,positive_excess_sum_mean_diff,positive_excess_sum_median_diff,positive_excess_sum_instances_better,positive_excess_sum_instances_worse,positive_excess_sum_instances_equal,positive_excess_sum_paired_n,activation_mass_mean_diff,activation_mass_median_diff,activation_mass_instances_better,activation_mass_instances_worse,activation_mass_instances_equal,activation_mass_paired_n,station_novelty_count_mean_diff,station_novelty_count_median_diff,station_novelty_count_instances_better,station_novelty_count_instances_worse,station_novelty_count_instances_equal,station_novelty_count_paired_n
screen_20260910,50,100,NOM,HIST+ACT,0.01,0.01,0.5,visits,12,0.16666666666666666,0.0,2,0,10,12,-0.4166666666666667,0.0,5,1,6,12,-0.7503841190749166,-0.7032479717844646,8,4,0,12,0.34750000000000014,0.365,0,12,0,12,-0.008937660921697645,-0.009050757850498036,9,3,0,12,0.0,0.0,,,12,12,-1.5,-1.5,11,0,1,12
screen_20260910,50,100,NOM,TIGHT,0.01,0.01,0.5,visits,12,0.08333333333333333,0.0,1,0,11,12,-0.3333333333333333,-0.5,6,2,4,12,-0.17320527997918245,-0.1543398814797886,6,4,2,12,0.036666666666666736,0.030000000000000027,2,8,2,12,-0.0020301174294089664,-0.001236967323745973,6,5,1,12,0.0,0.0,,,12,12,-0.3333333333333333,0.0,4,1,7,12
screen_20260910,50,100,TIGHT,HIST,0.01,0.01,0.5,visits,12,0.08333333333333333,0.0,2,1,9,12,-0.08333333333333333,0.0,5,4,3,12,-0.5771788390957342,-0.624462899193444,8,4,0,12,0.31083333333333335,0.31000000000000005,0,12,0,12,-0.00690754349228868,-0.006244628991934441,8,4,0,12,0.0,0.0,,,12,12,-1.1666666666666667,-1.0,10,0,2,12
screen_20260910,50,100,TIGHT,HIST+ACT,0.01,0.01,0.5,visits,12,0.08333333333333333,0.0,2,1,9,12,-0.08333333333333333,0.0,5,4,3,12,-0.5771788390957342,-0.624462899193444,8,4,0,12,0.31083333333333335,0.31000000000000005,0,12,0,12,-0.00690754349228868,-0.006244628991934441,8,4,0,12,0.0,0.0,,,12,12,-1.1666666666666667,-1.0,10,0,2,12
screen_20260910,50,100,TIGHT,NOM,0.01,0.01,0.5,visits,12,-0.08333333333333333,0.0,0,1,11,12,0.3333333333333333,0.5,2,6,4,12,0.17320527997918245,0.1543398814797886,4,6,2,12,-0.036666666666666736,-0.030000000000000027,8,2,2,12,0.0020301174294089664,0.001236967323745973,5,6,1,12,0.0,0.0,,,12,12,0.3333333333333333,0.0,1,4,7,12
screen_20260910,500,250,NOM,HIST,0.01,0.01,0.5,visits,10,0.4,0.0,4,0,6,10,-0.8,-1.0,6,0,4,10,-0.4374622560463308,-0.3647870575838596,8,2,0,10,0.19839999999999985,0.20999999999999996,0,10,0,10,-0.0067569180586309644,-0.0035004851076872387,8,2,0,10,0.0,0.0,,,10,10,-1.5,-1.5,10,0,0,10
screen_20260910,500,250,NOM,HIST+ACT,0.01,0.01,0.5,visits,10,0.4,0.0,4,0,6,10,-0.8,-1.0,6,0,4,10,-0.4374622560463308,-0.3647870575838596,8,2,0,10,0.19839999999999985,0.20999999999999996,0,10,0,10,-0.0067569180586309644,-0.0035004851076872387,8,2,0,10,0.0,0.0,,,10,10,-1.5,-1.5,10,0,0,10
screen_20260910,500,250,NOM,TIGHT,0.01,0.01,0.5,visits,10,0.1,0.0,1,0,9,10,-0.4,-0.5,5,2,3,10,-0.1843075605412515,-0.16226083299951577,7,3,0,10,0.03519999999999999,0.04800000000000004,2,7,1,10,-0.004246136340294925,-0.003705594947763779,7,3,0,10,0.0,0.0,,,10,10,0.1,0.0,1,2,7,10
screen_20260910,500,250,TIGHT,HIST,0.01,0.01,0.5,visits,10,0.3,0.0,4,1,5,10,-0.4,-1.0,6,2,2,10,-0.2531546955050793,-0.22210117420020534,7,3,0,10,0.16319999999999987,0.15600000000000014,0,10,0,10,-0.002510781718336039,-0.003471084846747545,6,4,0,10,0.0,0.0,,,10,10,-1.6,-1.5,10,0,0,10
screen_20260910,500,250,TIGHT,HIST+ACT,0.01,0.01,0.5,visits,10,0.3,0.0,4,1,5,10,-0.4,-1.0,6,2,2,10,-0.2531546955050793,-0.22210117420020534,7,3,0,10,0.16319999999999987,0.15600000000000014,0,10,0,10,-0.002510781718336039,-0.003471084846747545,6,4,0,10,0.0,0.0,,,10,10,-1.6,-1.5,10,0,0,10
screen_20260910,500,250,TIGHT,NOM,0.01,0.01,0.5,visits,10,-0.1,0.0,0,1,9,10,0.4,0.5,2,5,3,10,0.1843075605412515,0.16226083299951577,3,7,0,10,-0.03519999999999999,-0.04800000000000004,7,2,1,10,0.004246136340294925,0.003705594947763779,3,7,0,10,0.0,0.0,,,10,10,-0.1,0.0,2,1,7,10
screen_20260910,500,500,NOM,HIST,0.01,0.01,0.5,visits,10,0.4,0.0,4,0,6,10,-0.8,-0.5,5,0,5,10,-0.6077728348506617,-0.517934103159608,8,1,1,10,0.04959999999999996,0.040000000000000036,2,8,0,10,-0.006855469020632575,-0.006226539698149878,8,1,1,10,0.0,0.0,,,10,10,-2.3,-2.0,10,0,0,10
screen_20260910,500,500,NOM,HIST+ACT,0.01,0.01,0.5,visits,10,0.4,0.0,4,0,6,10,-0.8,-0.5,5,0,5,10,-0.6077728348506617,-0.517934103159608,8,1,1,10,0.04959999999999996,0.040000000000000036,2,8,0,10,-0.006855469020632575,-0.006226539698149878,8,1,1,10,0.0,0.0,,,10,10,-2.3,-2.0,10,0,0,10
screen_20260910,500,500,NOM,TIGHT,0.01,0.01,0.5,visits,10,0.5,0.5,5,0,5,10,-0.8,-0.5,5,1,4,10,-0.572544995821052,-0.48306474277687106,7,2,1,10,0.014999999999999947,0.0,5,5,0,10,-0.006203442346389426,-0.005645684418431617,7,2,1,10,0.0,0.0,,,10,10,-0.4,0.0,4,0,6,10
screen_20260910,500,500,TIGHT,HIST,0.01,0.01,0.5,visits,10,-0.1,0.0,2,3,5,10,0.0,0.0,3,3,4,10,-0.0352278390296097,0.0,3,4,3,10,0.034600000000000006,0.03299999999999992,3,7,0,10,-0.0006520266742431498,0.0,4,3,3,10,0.0,0.0,,,10,10,-1.9,-2.0,10,0,0,10
screen_20260910,500,500,TIGHT,HIST+ACT,0.01,0.01,0.5,visits,10,-0.1,0.0,2,3,5,10,0.0,0.0,3,3,4,10,-0.0352278390296097,0.0,3,4,3,10,0.034600000000000006,0.03299999999999992,3,7,0,10,-0.0006520266742431498,0.0,4,3,3,10,0.0,0.0,,,10,10,-1.9,-2.0,10,0,0,10
screen_20260910,500,500,TIGHT,NOM,0.01,0.01,0.5,visits,10,-0.5,-0.5,0,5,5,10,0.8,0.5,1,5,4,10,0.572544995821052,0.48306474277687106,2,7,1,10,-0.014999999999999947,0.0,5,5,0,10,0.006203442346389426,0.005645684418431617,2,7,1,10,0.0,0.0,,,10,10,0.4,0.0,0,4,6,10
screen_20260910,500,1000,NOM,HIST,0.01,0.01,0.5,visits,10,0.3,0.5,5,2,3,10,-0.7,-1.0,6,2,2,10,-0.22623800440797304,-0.07992548266109381,6,3,1,10,0.02980000000000005,0.02200000000000002,0,10,0,10,-0.0026206381632057386,-0.0012183316323323514,7,2,1,10,0.0,0.0,,,10,10,-1.9,-2.0,10,0,0,10
screen_20260910,500,1000,NOM,HIST+ACT,0.01,0.01,0.5,visits,10,0.3,0.5,5,2,3,10,-0.7,-1.0,6,2,2,10,-0.22623800440797304,-0.07992548266109381,6,3,1,10,0.02980000000000005,0.02200000000000002,0,10,0,10,-0.0026206381632057386,-0.0012183316323323514,7,2,1,10,0.0,0.0,,,10,10,-1.9,-2.0,10,0,0,10
screen_20260910,500,1000,NOM,TIGHT,0.01,0.01,0.5,visits,10,0.3,0.5,5,2,3,10,-0.7,-1.0,6,2,2,10,-0.2180929078383757,-0.22937552425432697,6,3,1,10,0.021000000000000085,0.025000000000000133,3,7,0,10,-0.0025391871975097655,-0.002694748940961297,6,3,1,10,0.0,0.0,,,10,10,0.2,0.0,2,3,5,10
screen_20260910,500,1000,TIGHT,HIST,0.01,0.01,0.5,visits,10,0.0,0.0,2,2,6,10,0.0,0.0,2,2,6,10,-0.008145096569597322,0.0,3,3,4,10,0.008799999999999964,0.004000000000000226,5,5,0,10,-8.14509656959733e-05,0.0,3,3,4,10,0.0,0.0,,,10,10,-2.1,-2.0,10,0,0,10
screen_20260910,500,1000,TIGHT,HIST+ACT,0.01,0.01,0.5,visits,10,0.0,0.0,2,2,6,10,0.0,0.0,2,2,6,10,-0.008145096569597322,0.0,3,3,4,10,0.008799999999999964,0.004000000000000226,5,5,0,10,-8.14509656959733e-05,0.0,3,3,4,10,0.0,0.0,,,10,10,-2.1,-2.0,10,0,0,10
screen_20260910,500,1000,TIGHT,NOM,0.01,0.01,0.5,visits,10,-0.3,-0.5,2,5,3,10,0.7,1.0,2,6,2,10,0.2180929078383757,0.22937552425432697,3,6,1,10,-0.021000000000000085,-0.025000000000000133,7,3,0,10,0.0025391871975097655,0.002694748940961297,3,6,1,10,0.0,0.0,,,10,10,-0.2,0.0,3,2,5,10
screen_20260910,1000,500,NOM,HIST,0.01,0.01,0.5,visits,4,0.75,1.0,3,0,1,4,-1.75,-1.5,4,0,0,4,-0.7687391750711435,-0.6982115719960542,4,0,0,4,0.02949999999999986,0.020000000000000018,2,2,0,4,-0.00933536665207481,-0.008026525268482536,4,0,0,4,0.0,0.0,,,4,4,-5.5,-5.5,4,0,0,4
screen_20260910,1000,500,NOM,HIST+ACT,0.01,0.01,0.5,visits,4,0.75,1.0,3,0,1,4,-1.75,-1.5,4,0,0,4,-0.7687391750711435,-0.6982115719960542,4,0,0,4,0.02949999999999986,0.020000000000000018,2,2,0,4,-0.00933536665207481,-0.008026525268482536,4,0,0,4,0.0,0.0,,,4,4,-5.5,-5.5,4,0,0,4
screen_20260910,1000,500,NOM,TIGHT,0.01,0.01,0.5,visits,4,0.25,0.0,1,0,3,4,-1.0,-1.5,3,1,0,4,-0.29842476118631833,-0.2782960518173444,2,2,0,4,-0.03600000000000003,-0.03299999999999992,4,0,0,4,-0.0038162575558611605,-0.0019878187710989296,3,1,0,4,0.0,0.0,,,4,4,-0.75,-1.0,3,0,1,4
screen_20260910,1000,500,TIGHT,HIST,0.01,0.01,0.5,visits,4,0.5,0.5,2,0,2,4,-0.75,-0.5,2,0,2,4,-0.4703144138848252,-0.41202366222076536,3,0,1,4,0.06549999999999989,0.06899999999999995,0,4,0,4,-0.00551910909621365,-0.00575216653693845,3,0,1,4,0.0,0.0,,,4,4,-4.75,-4.5,4,0,0,4
screen_20260910,1000,500,TIGHT,HIST+ACT,0.01,0.01,0.5,visits,4,0.5,0.5,2,0,2,4,-0.75,-0.5,2,0,2,4,-0.4703144138848252,-0.41202366222076536,3,0,1,4,0.06549999999999989,0.06899999999999995,0,4,0,4,-0.00551910909621365,-0.00575216653693845,3,0,1,4,0.0,0.0,,,4,4,-4.75,-4.5,4,0,0,4
screen_20260910,1000,500,TIGHT,NOM,0.01,0.01,0.5,visits,4,-0.25,0.0,0,1,3,4,1.0,1.5,1,3,0,4,0.29842476118631833,0.2782960518173444,2,2,0,4,0.03600000000000003,0.03299999999999992,0,4,0,4,0.0038162575558611605,0.0019878187710989296,1,3,0,4,0.0,0.0,,,4,4,0.75,1.0,0,3,1,4
screen_20260910,1000,1000,NOM,HIST,0.01,0.01,0.5,visits,4,0.75,1.0,3,0,1,4,-1.5,-1.5,4,0,0,4,-0.45331329536284126,-0.3297031715015104,4,0,0,4,-0.043749999999999956,-0.03049999999999997,4,0,0,4,-0.0051457481916912335,-0.003960673859558118,4,0,0,4,0.0,0.0,,,4,4,-4.75,-4.5,4,0,0,4
screen_20260910,1000,1000,NOM,HIST+ACT,0.01,0.01,0.5,visits,4,0.75,1.0,3,0,1,4,-1.5,-1.5,4,0,0,4,-0.45331329536284126,-0.3297031715015104,4,0,0,4,-0.043749999999999956,-0.03049999999999997,4,0,0,4,-0.0051457481916912335,-0.003960673859558118,4,0,0,4,0.0,0.0,,,4,4,-4.75,-4.5,4,0,0,4
screen_20260910,1000,1000,NOM,TIGHT,0.01,0.01,0.5,visits,4,0.5,0.5,2,0,2,4,-1.25,-1.5,3,0,1,4,-0.3564409227518044,-0.2626852369224428,3,1,0,4,-0.03049999999999975,-0.04149999999999965,3,1,0,4,-0.004177024465580865,-0.0032904945137674424,3,1,0,4,0.0,0.0,,,4,4,0.25,0.5,1,2,1,4
screen_20260910,1000,1000,TIGHT,HIST,0.01,0.01,0.5,visits,4,0.25,0.5,2,1,1,4,-0.25,-0.5,2,1,1,4,-0.09687237261103684,-0.06701793457906761,2,1,1,4,-0.013250000000000206,-0.010000000000000231,2,2,0,4,-0.0009687237261103686,-0.0006701793457906761,2,1,1,4,0.0,0.0,,,4,4,-5.0,-4.5,4,0,0,4
screen_20260910,1000,1000,TIGHT,HIST+ACT,0.01,0.01,0.5,visits,4,0.25,0.5,2,1,1,4,-0.25,-0.5,2,1,1,4,-0.09687237261103684,-0.06701793457906761,2,1,1,4,-0.013250000000000206,-0.010000000000000231,2,2,0,4,-0.0009687237261103686,-0.0006701793457906761,2,1,1,4,0.0,0.0,,,4,4,-5.0,-4.5,4,0,0,4
screen_20260910,1000,1000,TIGHT,NOM,0.01,0.01,0.5,visits,4,-0.5,-0.5,0,2,2,4,1.25,1.5,0,3,1,4,0.3564409227518044,0.2626852369224428,1,3,0,4,0.03049999999999975,0.04149999999999965,1,3,0,4,0.004177024465580865,0.0032904945137674424,1,3,0,4,0.0,0.0,,,4,4,-0.25,-0.5,2,1,1,4
screen_20260910,1000,2000,NOM,HIST,0.01,0.01,0.5,visits,4,1.0,1.0,4,0,0,4,-2.5,-2.5,4,0,0,4,-0.27750093010403504,-0.2615029262388714,4,0,0,4,0.001875000000000071,0.004750000000000032,2,2,0,4,-0.004263548682512518,-0.0036203077442632106,4,0,0,4,0.0,0.0,,,4,4,-5.0,-5.0,4,0,0,4
screen_20260910,1000,2000,NOM,HIST+ACT,0.01,0.01,0.5,visits,4,1.0,1.0,4,0,0,4,-2.5,-2.5,4,0,0,4,-0.27750093010403504,-0.2615029262388714,4,0,0,4,0.001875000000000071,0.004750000000000032,2,2,0,4,-0.004263548682512518,-0.0036203077442632106,4,0,0,4,0.0,0.0,,,4,4,-5.0,-5.0,4,0,0,4
screen_20260910,1000,2000,NOM,TIGHT,0.01,0.01,0.5,visits,4,1.0,1.0,4,0,0,4,-2.5,-2.5,4,0,0,4,-0.27750093010403504,-0.2615029262388714,4,0,0,4,0.0058749999999998526,-0.005750000000000366,2,2,0,4,-0.004263548682512518,-0.0036203077442632106,4,0,0,4,0.0,0.0,,,4,4,0.25,0.0,1,1,2,4
screen_20260910,1000,2000,TIGHT,HIST,0.01,0.01,0.5,visits,4,0.0,0.0,0,0,4,4,0.0,0.0,0,0,4,4,0.0,0.0,0,0,4,4,-0.0039999999999997815,-0.002749999999999808,2,2,0,4,0.0,0.0,0,0,4,4,0.0,0.0,,,4,4,-5.25,-5.0,4,0,0,4
screen_20260910,1000,2000,TIGHT,HIST+ACT,0.01,0.01,0.5,visits,4,0.0,0.0,0,0,4,4,0.0,0.0,0,0,4,4,0.0,0.0,0,0,4,4,-0.0039999999999997815,-0.002749999999999808,2,2,0,4,0.0,0.0,0,0,4,4,0.0,0.0,,,4,4,-5.25,-5.0,4,0,0,4
screen_20260910,1000,2000,TIGHT,NOM,0.01,0.01,0.5,visits,4,-1.0,-1.0,0,4,0,4,2.5,2.5,0,4,0,4,0.27750093010403504,0.2615029262388714,0,4,0,4,-0.0058749999999998526,0.005750000000000366,2,2,0,4,0.004263548682512518,0.0036203077442632106,0,4,0,4,0.0,0.0,,,4,4,-0.25,0.0,1,1,2,4
screen_20260910,2000,1000,NOM,HIST,0.01,0.01,0.5,visits,3,0.3333333333333333,0.0,1,0,2,3,-0.6666666666666666,-1.0,2,0,1,3,-0.1403485954256776,-0.07239935477580227,2,0,1,3,0.04300000000000015,0.03900000000000059,1,2,0,3,-0.0023502274390022507,-0.0007239935477580227,2,0,1,3,0.0,0.0,,,3,3,-9.0,-10.0,3,0,0,3
screen_20260910,2000,1000,NOM,HIST+ACT,0.01,0.01,0.5,visits,3,0.3333333333333333,0.0,1,0,2,3,-0.6666666666666666,-1.0,2,0,1,3,-0.1403485954256776,-0.07239935477580227,2,0,1,3,0.04300000000000015,0.03900000000000059,1,2,0,3,-0.0023502274390022507,-0.0007239935477580227,2,0,1,3,0.0,0.0,,,3,3,-9.0,-10.0,3,0,0,3
screen_20260910,2000,1000,NOM,TIGHT,0.01,0.01,0.5,visits,3,0.6666666666666666,1.0,2,0,1,3,-1.0,-1.0,2,0,1,3,-0.15975415014910058,-0.07239935477580227,2,0,1,3,-0.013666666666666494,-0.01100000000000012,3,0,0,3,-0.00254428298623648,-0.0007239935477580227,2,0,1,3,0.0,0.0,,,3,3,0.6666666666666666,0.0,1,1,1,3
screen_20260910,2000,1000,TIGHT,HIST,0.01,0.01,0.5,visits,3,-0.3333333333333333,0.0,0,1,2,3,0.3333333333333333,0.0,0,1,2,3,0.019405554723422987,0.0,0,1,2,3,0.05666666666666664,0.05000000000000071,0,3,0,3,0.00019405554723422988,0.0,0,1,2,3,0.0,0.0,,,3,3,-9.666666666666666,-10.0,3,0,0,3
screen_20260910,2000,1000,TIGHT,HIST+ACT,0.01,0.01,0.5,visits,3,-0.3333333333333333,0.0,0,1,2,3,0.3333333333333333,0.0,0,1,2,3,0.019405554723422987,0.0,0,1,2,3,0.05666666666666664,0.05000000000000071,0,3,0,3,0.00019405554723422988,0.0,0,1,2,3,0.0,0.0,,,3,3,-9.666666666666666,-10.0,3,0,0,3
screen_20260910,2000,1000,TIGHT,NOM,0.01,0.01,0.5,visits,3,-0.6666666666666666,-1.0,0,2,1,3,1.0,1.0,0,2,1,3,0.15975415014910058,0.07239935477580227,0,2,1,3,0.013666666666666494,0.01100000000000012,0,3,0,3,0.00254428298623648,0.0007239935477580227,0,2,1,3,0.0,0.0,,,3,3,-0.6666666666666666,0.0,1,1,1,3
screen_20260910,2000,2000,NOM,HIST,0.01,0.01,0.5,visits,3,0.3333333333333333,0.0,1,0,2,3,-0.3333333333333333,0.0,1,0,2,3,-0.027338183962320007,0.0,1,0,2,3,-0.018666666666666682,-0.014499999999999957,2,1,0,3,-0.00027338183962320007,0.0,1,0,2,3,0.0,0.0,,,3,3,-10.333333333333334,-10.0,3,0,0,3
screen_20260910,2000,2000,NOM,HIST+ACT,0.01,0.01,0.5,visits,3,0.3333333333333333,0.0,1,0,2,3,-0.3333333333333333,0.0,1,0,2,3,-0.027338183962320007,0.0,1,0,2,3,-0.018666666666666682,-0.014499999999999957,2,1,0,3,-0.00027338183962320007,0.0,1,0,2,3,0.0,0.0,,,3,3,-10.333333333333334,-10.0,3,0,0,3
screen_20260910,2000,2000,NOM,TIGHT,0.01,0.01,0.5,visits,3,0.3333333333333333,0.0,1,0,2,3,-0.3333333333333333,0.0,1,0,2,3,-0.027338183962320007,0.0,1,0,2,3,-0.014166666666666808,-0.009500000000000064,3,0,0,3,-0.00027338183962320007,0.0,1,0,2,3,0.0,0.0,,,3,3,-0.6666666666666666,-1.0,2,1,0,3
screen_20260910,2000,2000,TIGHT,HIST,0.01,0.01,0.5,visits,3,0.0,0.0,0,0,3,3,0.0,0.0,0,0,3,3,0.0,0.0,0,0,3,3,-0.004499999999999875,-0.004999999999999893,2,1,0,3,0.0,0.0,0,0,3,3,0.0,0.0,,,3,3,-9.666666666666666,-10.0,3,0,0,3
screen_20260910,2000,2000,TIGHT,HIST+ACT,0.01,0.01,0.5,visits,3,0.0,0.0,0,0,3,3,0.0,0.0,0,0,3,3,0.0,0.0,0,0,3,3,-0.004499999999999875,-0.004999999999999893,2,1,0,3,0.0,0.0,0,0,3,3,0.0,0.0,,,3,3,-9.666666666666666,-10.0,3,0,0,3
screen_20260910,2000,2000,TIGHT,NOM,0.01,0.01,0.5,visits,3,-0.3333333333333333,0.0,0,1,2,3,0.3333333333333333,0.0,0,1,2,3,0.027338183962320007,0.0,0,1,2,3,0.014166666666666808,0.009500000000000064,0,3,0,3,0.00027338183962320007,0.0,0,1,2,3,0.0,0.0,,,3,3,0.6666666666666666,1.0,1,2,0,3
screen_20260910,2000,4000,NOM,HIST,0.01,0.01,0.5,visits,3,0.6666666666666666,1.0,2,0,1,3,-1.3333333333333333,-2.0,2,0,1,3,-0.11074261189917495,-0.1287064008307551,3,0,0,3,-0.0004166666666662877,0.0027500000000006963,1,2,0,3,-0.001277373932684389,-0.0012870640083075507,3,0,0,3,0.0,0.0,,,3,3,-8.333333333333334,-8.0,3,0,0,3
screen_20260910,2000,4000,NOM,HIST+ACT,0.01,0.01,0.5,visits,3,0.6666666666666666,1.0,2,0,1,3,-1.3333333333333333,-2.0,2,0,1,3,-0.11074261189917495,-0.1287064008307551,3,0,0,3,-0.0004166666666662877,0.0027500000000006963,1,2,0,3,-0.001277373932684389,-0.0012870640083075507,3,0,0,3,0.0,0.0,,,3,3,-8.333333333333334,-8.0,3,0,0,3
