campaign,rule,dataset_id,n,arm,axis,value,catalogue_size,cells,scored_cells,no_allocation,ineligible,rejected_candidates,proven_infeasible,no_incumbent,joint_pass,worst_excess_pp_mean,worst_excess_pp_n,mean_visits_mean,mean_visits_n,activation_mass_mean,activation_mass_n,minimum_required_slack_mean,minimum_required_slack_n
screen_20260910,upper_only,BERNER,10937,TIGHT,delta,0.01,21874,1,1,0,0,0,0,0,0,1.2389682408336538,1,2.7172899332540914,1,0.0024865402495189083,1,0.0049967845719361935,1
screen_20260910,upper_only,BERNER,21874,HIST,delta,0.01,21874,1,1,0,0,0,0,0,0,0.3057260709962542,1,2.874051385206181,1,0.003658524157469402,1,0.009997963929022096,1
screen_20260910,upper_only,BERNER,21874,HIST+ACT,delta,0.01,21874,1,1,0,0,0,0,0,0,0.08900890593003777,1,2.8981439151504067,1,0.003658524157469402,1,0.00999768009733806,1
screen_20260910,upper_only,BERNER,21874,NOM,delta,0.01,21874,1,1,0,0,0,0,0,0,2.748206037076687,1,2.8218890006400295,1,0.003658524157469402,1,0.00999918561210611,1
screen_20260910,upper_only,BERNER,21874,TIGHT,delta,0.01,21874,1,1,0,0,0,0,0,0,1.128875985205133,1,2.839352656121423,1,0.003658524157469402,1,0.0049967845719361935,1
screen_20260910,upper_only,BERNER,43748,HIST,delta,0.01,21874,1,1,0,0,0,0,0,0,0.3541693473149136,1,2.938191460181037,1,0.006762381877400791,1,0.00999955468252235,1
screen_20260910,upper_only,BERNER,43748,HIST+ACT,delta,0.01,21874,1,1,0,0,0,0,0,1,0.0,1,2.982444911767395,1,0.006762381877400791,1,0.009995802288427873,1
screen_20260910,upper_only,BERNER,43748,NOM,delta,0.01,21874,1,1,0,0,0,0,0,0,2.2341061946956495,1,2.938008594678614,1,0.006762381877400791,1,0.00999918561210611,1
screen_20260910,upper_only,BERNER,43748,TIGHT,delta,0.01,21874,1,1,0,0,0,0,0,0,0.8670242428064183,1,2.947014720672945,1,0.006762381877400791,1,0.0049967845719361935,1
screen_20260910,upper_only,syn_1000sku_seed1001,500,HIST,delta,0.01,1000,1,1,0,0,0,0,0,1,0.0,1,5.16,1,0.0,1,0.009994894506294866,1
screen_20260910,upper_only,syn_1000sku_seed1001,500,HIST+ACT,delta,0.01,1000,1,1,0,0,0,0,0,1,0.0,1,5.16,1,0.0,1,0.009994894506294866,1
screen_20260910,upper_only,syn_1000sku_seed1001,500,NOM,delta,0.01,1000,1,1,0,0,0,0,0,0,0.312304140640144,1,5.168,1,0.0,1,0.009983513464004397,1
screen_20260910,upper_only,syn_1000sku_seed1001,500,TIGHT,delta,0.01,1000,1,1,0,0,0,0,0,0,0.4579592280166909,1,5.142,1,0.0,1,0.0048480522515807496,1
screen_20260910,upper_only,syn_1000sku_seed1001,1000,HIST,delta,0.01,1000,1,1,0,0,0,0,0,1,0.0,1,5.037,1,0.0,1,0.009942639739285847,1
screen_20260910,upper_only,syn_1000sku_seed1001,1000,HIST+ACT,delta,0.01,1000,1,1,0,0,0,0,0,1,0.0,1,5.037,1,0.0,1,0.009942639739285847,1
screen_20260910,upper_only,syn_1000sku_seed1001,1000,NOM,delta,0.01,1000,1,1,0,0,0,0,0,0,0.3190631623029875,1,5.077,1,0.0,1,0.009983513464004397,1
screen_20260910,upper_only,syn_1000sku_seed1001,1000,TIGHT,delta,0.01,1000,1,1,0,0,0,0,0,1,0.0,1,5.098,1,0.0,1,0.0048480522515807496,1
screen_20260910,upper_only,syn_1000sku_seed1001,2000,HIST,delta,0.01,1000,1,1,0,0,0,0,0,1,0.0,1,5.16,1,0.0,1,0.009992097638363224,1
screen_20260910,upper_only,syn_1000sku_seed1001,2000,HIST+ACT,delta,0.01,1000,1,1,0,0,0,0,0,1,0.0,1,5.16,1,0.0,1,0.009992097638363224,1
screen_20260910,upper_only,syn_1000sku_seed1001,2000,NOM,delta,0.01,1000,1,1,0,0,0,0,0,0,0.19969052401041165,1,5.112,1,0.0,1,0.009983513464004397,1
screen_20260910,upper_only,syn_1000sku_seed1001,2000,TIGHT,delta,0.01,1000,1,1,0,0,0,0,0,1,0.0,1,5.174,1,0.0,1,0.0048480522515807496,1
screen_20260910,upper_only,syn_1000sku_seed1002,500,HIST,delta,0.01,1000,1,1,0,0,0,0,0,0,0.09174208389452508,1,5.178,1,0.0,1,0.009989495295178959,1
screen_20260910,upper_only,syn_1000sku_seed1002,500,HIST+ACT,delta,0.01,1000,1,1,0,0,0,0,0,0,0.09174208389452508,1,5.178,1,0.0,1,0.009989495295178959,1
screen_20260910,upper_only,syn_1000sku_seed1002,500,NOM,delta,0.01,1000,1,1,0,0,0,0,0,0,0.41982994045055794,1,5.192,1,0.0,1,0.009774474930999366,1
screen_20260910,upper_only,syn_1000sku_seed1002,500,TIGHT,delta,0.01,1000,1,1,0,0,0,0,0,0,1.1489524149922952,1,5.128,1,0.0,1,0.004977639366522515,1
screen_20260910,upper_only,syn_1000sku_seed1002,1000,HIST,delta,0.01,1000,1,1,0,0,0,0,0,1,0.0,1,5.079,1,0.0,1,0.009973483222117318,1
screen_20260910,upper_only,syn_1000sku_seed1002,1000,HIST+ACT,delta,0.01,1000,1,1,0,0,0,0,0,1,0.0,1,5.079,1,0.0,1,0.009973483222117318,1
screen_20260910,upper_only,syn_1000sku_seed1002,1000,NOM,delta,0.01,1000,1,1,0,0,0,0,0,0,0.2591136613775148,1,5.175,1,0.0,1,0.009774474930999366,1
screen_20260910,upper_only,syn_1000sku_seed1002,1000,TIGHT,delta,0.01,1000,1,1,0,0,0,0,0,0,0.28436292289306375,1,5.115,1,0.0,1,0.004977639366522515,1
screen_20260910,upper_only,syn_1000sku_seed1002,2000,HIST,delta,0.01,1000,1,1,0,0,0,0,0,1,0.0,1,5.1135,1,0.0,1,0.009835618599936634,1
screen_20260910,upper_only,syn_1000sku_seed1002,2000,HIST+ACT,delta,0.01,1000,1,1,0,0,0,0,0,1,0.0,1,5.1135,1,0.0,1,0.009835618599936634,1
screen_20260910,upper_only,syn_1000sku_seed1002,2000,NOM,delta,0.01,1000,1,1,0,0,0,0,0,0,0.32157803545607505,1,5.1635,1,0.0,1,0.009774474930999366,1
screen_20260910,upper_only,syn_1000sku_seed1002,2000,TIGHT,delta,0.01,1000,1,1,0,0,0,0,0,1,0.0,1,5.1365,1,0.0,1,0.004977639366522515,1
screen_20260910,upper_only,syn_1000sku_seed1003,500,HIST,delta,0.01,1000,1,1,0,0,0,0,0,1,0.0,1,5.248,1,0.0,1,0.00996808848855718,1
screen_20260910,upper_only,syn_1000sku_seed1003,500,HIST+ACT,delta,0.01,1000,1,1,0,0,0,0,0,1,0.0,1,5.248,1,0.0,1,0.00996808848855718,1
screen_20260910,upper_only,syn_1000sku_seed1003,500,NOM,delta,0.01,1000,1,1,0,0,0,0,0,0,1.3662294156523218,1,5.2,1,0.0,1,0.009944529180989672,1
screen_20260910,upper_only,syn_1000sku_seed1003,500,TIGHT,delta,0.01,1000,1,1,0,0,0,0,0,1,0.0,1,5.16,1,0.0,1,0.004985544198329046,1
screen_20260910,upper_only,syn_1000sku_seed1003,1000,HIST,delta,0.01,1000,1,1,0,0,0,0,0,0,0.03090930160705158,1,5.245,1,0.0,1,0.009986286086170824,1
screen_20260910,upper_only,syn_1000sku_seed1003,1000,HIST+ACT,delta,0.01,1000,1,1,0,0,0,0,0,0,0.03090930160705158,1,5.245,1,0.0,1,0.009986286086170824,1
screen_20260910,upper_only,syn_1000sku_seed1003,1000,NOM,delta,0.01,1000,1,1,0,0,0,0,0,0,0.9256424786778811,1,5.263,1,0.0,1,0.009944529180989672,1
screen_20260910,upper_only,syn_1000sku_seed1003,1000,TIGHT,delta,0.01,1000,1,1,0,0,0,0,0,1,0.0,1,5.229,1,0.0,1,0.004985544198329046,1
screen_20260910,upper_only,syn_1000sku_seed1003,2000,HIST,delta,0.01,1000,1,1,0,0,0,0,0,1,0.0,1,5.2925,1,0.0,1,0.009950955438976405,1
screen_20260910,upper_only,syn_1000sku_seed1003,2000,HIST+ACT,delta,0.01,1000,1,1,0,0,0,0,0,1,0.0,1,5.2925,1,0.0,1,0.009950955438976405,1
screen_20260910,upper_only,syn_1000sku_seed1003,2000,NOM,delta,0.01,1000,1,1,0,0,0,0,0,0,0.38730734392798566,1,5.296,1,0.0,1,0.009944529180989672,1
screen_20260910,upper_only,syn_1000sku_seed1003,2000,TIGHT,delta,0.01,1000,1,1,0,0,0,0,0,1,0.0,1,5.284,1,0.0,1,0.004985544198329046,1
screen_20260910,upper_only,syn_1000sku_seed1004,500,HIST,delta,0.01,1000,1,1,0,0,0,0,0,1,0.0,1,5.024,1,0.0,1,0.009954725460939976,1
screen_20260910,upper_only,syn_1000sku_seed1004,500,HIST+ACT,delta,0.01,1000,1,1,0,0,0,0,0,1,0.0,1,5.024,1,0.0,1,0.009954725460939976,1
screen_20260910,upper_only,syn_1000sku_seed1004,500,NOM,delta,0.01,1000,1,1,0,0,0,0,0,0,1.0683352874360756,1,4.932,1,0.0,1,0.00977926318751119,1
screen_20260910,upper_only,syn_1000sku_seed1004,500,TIGHT,delta,0.01,1000,1,1,0,0,0,0,0,0,0.3660880964248398,1,4.918,1,0.0,1,0.0048427388757684015,1
screen_20260910,upper_only,syn_1000sku_seed1004,1000,HIST,delta,0.01,1000,1,1,0,0,0,0,0,1,0.0,1,5.021,1,0.0,1,0.009958100699818883,1
screen_20260910,upper_only,syn_1000sku_seed1004,1000,HIST+ACT,delta,0.01,1000,1,1,0,0,0,0,0,1,0.0,1,5.021,1,0.0,1,0.009958100699818883,1
screen_20260910,upper_only,syn_1000sku_seed1004,1000,NOM,delta,0.01,1000,1,1,0,0,0,0,0,0,0.3403431807000333,1,5.042,1,0.0,1,0.00977926318751119,1
screen_20260910,upper_only,syn_1000sku_seed1004,1000,TIGHT,delta,0.01,1000,1,1,0,0,0,0,0,0,0.13403586915813523,1,4.993,1,0.0,1,0.0048427388757684015,1
screen_20260910,upper_only,syn_1000sku_seed1004,2000,HIST,delta,0.01,1000,1,1,0,0,0,0,0,1,0.0,1,5.0225,1,0.0,1,0.009917550967498967,1
screen_20260910,upper_only,syn_1000sku_seed1004,2000,HIST+ACT,delta,0.01,1000,1,1,0,0,0,0,0,1,0.0,1,5.0225,1,0.0,1,0.009917550967498967,1
screen_20260910,upper_only,syn_1000sku_seed1004,2000,NOM,delta,0.01,1000,1,1,0,0,0,0,0,0,0.2014278170216678,1,5.0095,1,0.0,1,0.00977926318751119,1
screen_20260910,upper_only,syn_1000sku_seed1004,2000,TIGHT,delta,0.01,1000,1,1,0,0,0,0,0,1,0.0,1,5.01,1,0.0,1,0.0048427388757684015,1
screen_20260910,upper_only,syn_2000sku_seed1001,1000,HIST,delta,0.01,2000,1,1,0,0,0,0,0,0,0.05821666417026896,1,6.062,1,0.0,1,0.009987710596747386,1
screen_20260910,upper_only,syn_2000sku_seed1001,1000,HIST+ACT,delta,0.01,2000,1,1,0,0,0,0,0,0,0.05821666417026896,1,6.062,1,0.0,1,0.009987710596747386,1
screen_20260910,upper_only,syn_2000sku_seed1001,1000,NOM,delta,0.01,2000,1,1,0,0,0,0,0,0,0.4068630956714995,1,6.023,1,0.0,1,0.009513298147354826,1
screen_20260910,upper_only,syn_2000sku_seed1001,1000,TIGHT,delta,0.01,2000,1,1,0,0,0,0,0,1,0.0,1,6.012,1,0.0,1,0.0049550186446293545,1
screen_20260910,upper_only,syn_2000sku_seed1001,2000,HIST,delta,0.01,2000,1,1,0,0,0,0,0,1,0.0,1,6.148,1,0.0,1,0.009981305236166155,1
screen_20260910,upper_only,syn_2000sku_seed1001,2000,HIST+ACT,delta,0.01,2000,1,1,0,0,0,0,0,1,0.0,1,6.148,1,0.0,1,0.009981305236166155,1
screen_20260910,upper_only,syn_2000sku_seed1001,2000,NOM,delta,0.01,2000,1,1,0,0,0,0,0,0,0.08201455188696002,1,6.1395,1,0.0,1,0.009513298147354826,1
screen_20260910,upper_only,syn_2000sku_seed1001,2000,TIGHT,delta,0.01,2000,1,1,0,0,0,0,0,1,0.0,1,6.1365,1,0.0,1,0.0049550186446293545,1
screen_20260910,upper_only,syn_2000sku_seed1001,4000,HIST,delta,0.01,2000,1,1,0,0,0,0,0,1,0.0,1,6.2175,1,0.0,1,0.00954603941960929,1
screen_20260910,upper_only,syn_2000sku_seed1001,4000,HIST+ACT,delta,0.01,2000,1,1,0,0,0,0,0,1,0.0,1,6.2175,1,0.0,1,0.00954603941960929,1
screen_20260910,upper_only,syn_2000sku_seed1001,4000,NOM,delta,0.01,2000,1,1,0,0,0,0,0,0,0.15839414390057668,1,6.2515,1,0.0,1,0.009513298147354826,1
screen_20260910,upper_only,syn_2000sku_seed1001,4000,TIGHT,delta,0.01,2000,1,1,0,0,0,0,0,1,0.0,1,6.2425,1,0.0,1,0.0049550186446293545,1
screen_20260910,upper_only,syn_2000sku_seed1002,1000,HIST,delta,0.01,2000,1,1,0,0,0,0,0,1,0.0,1,6.202,1,0.0,1,0.009909743771496204,1
screen_20260910,upper_only,syn_2000sku_seed1002,1000,HIST+ACT,delta,0.01,2000,1,1,0,0,0,0,0,1,0.0,1,6.202,1,0.0,1,0.009909743771496204,1
screen_20260910,upper_only,syn_2000sku_seed1002,1000,NOM,delta,0.01,2000,1,1,0,0,0,0,0,0,0.07239935477580227,1,6.211,1,0.0,1,0.009960447399258351,1
screen_20260910,upper_only,syn_2000sku_seed1002,1000,TIGHT,delta,0.01,2000,1,1,0,0,0,0,0,1,0.0,1,6.182,1,0.0,1,0.004937297228908041,1
screen_20260910,upper_only,syn_2000sku_seed1002,2000,HIST,delta,0.01,2000,1,1,0,0,0,0,0,1,0.0,1,6.1675,1,0.0,1,0.009775153671393644,1
screen_20260910,upper_only,syn_2000sku_seed1002,2000,HIST+ACT,delta,0.01,2000,1,1,0,0,0,0,0,1,0.0,1,6.1675,1,0.0,1,0.009775153671393644,1
screen_20260910,upper_only,syn_2000sku_seed1002,2000,NOM,delta,0.01,2000,1,1,0,0,0,0,0,1,0.0,1,6.2175,1,0.0,1,0.009960447399258351,1
screen_20260910,upper_only,syn_2000sku_seed1002,2000,TIGHT,delta,0.01,2000,1,1,0,0,0,0,0,1,0.0,1,6.1875,1,0.0,1,0.004937297228908041,1
screen_20260910,upper_only,syn_2000sku_seed1002,4000,HIST,delta,0.01,2000,1,1,0,0,0,0,0,1,0.0,1,6.18775,1,0.0,1,0.009992788065097147,1
screen_20260910,upper_only,syn_2000sku_seed1002,4000,HIST+ACT,delta,0.01,2000,1,1,0,0,0,0,0,1,0.0,1,6.18775,1,0.0,1,0.009992788065097147,1
screen_20260910,upper_only,syn_2000sku_seed1002,4000,NOM,delta,0.01,2000,1,1,0,0,0,0,0,0,0.04512729096619304,1,6.185,1,0.0,1,0.009960447399258351,1
screen_20260910,upper_only,syn_2000sku_seed1002,4000,TIGHT,delta,0.01,2000,1,1,0,0,0,0,0,1,0.0,1,6.17225,1,0.0,1,0.004937297228908041,1
screen_20260910,upper_only,syn_2000sku_seed1003,1000,HIST,delta,0.01,2000,1,1,0,0,0,0,0,1,0.0,1,6.603,1,0.0,1,0.009931901295127554,1
screen_20260910,upper_only,syn_2000sku_seed1003,1000,HIST+ACT,delta,0.01,2000,1,1,0,0,0,0,0,1,0.0,1,6.603,1,0.0,1,0.009931901295127554,1
screen_20260910,upper_only,syn_2000sku_seed1003,1000,NOM,delta,0.01,2000,1,1,0,0,0,0,0,1,0.0,1,6.504,1,0.0,1,0.009600539303902787,1
screen_20260910,upper_only,syn_2000sku_seed1003,1000,TIGHT,delta,0.01,2000,1,1,0,0,0,0,0,1,0.0,1,6.503,1,0.0,1,0.00488550446417329,1
screen_20260910,upper_only,syn_2000sku_seed1003,2000,HIST,delta,0.01,2000,1,1,0,0,0,0,0,1,0.0,1,6.527,1,0.0,1,0.009416741513957026,1
screen_20260910,upper_only,syn_2000sku_seed1003,2000,HIST+ACT,delta,0.01,2000,1,1,0,0,0,0,0,1,0.0,1,6.527,1,0.0,1,0.009416741513957026,1
screen_20260910,upper_only,syn_2000sku_seed1003,2000,NOM,delta,0.01,2000,1,1,0,0,0,0,0,1,0.0,1,6.5415,1,0.0,1,0.009600539303902787,1
screen_20260910,upper_only,syn_2000sku_seed1003,2000,TIGHT,delta,0.01,2000,1,1,0,0,0,0,0,1,0.0,1,6.532,1,0.0,1,0.00488550446417329,1
screen_20260910,upper_only,syn_2000sku_seed1003,4000,HIST,delta,0.01,2000,1,1,0,0,0,0,0,0,0.12347632584592225,1,6.5555,1,0.0,1,0.009856844213415343,1
screen_20260910,upper_only,syn_2000sku_seed1003,4000,HIST+ACT,delta,0.01,2000,1,1,0,0,0,0,0,0,0.12347632584592225,1,6.5555,1,0.0,1,0.009856844213415343,1
screen_20260910,upper_only,syn_2000sku_seed1003,4000,NOM,delta,0.01,2000,1,1,0,0,0,0,0,0,0.25218272667667735,1,6.5255,1,0.0,1,0.009600539303902787,1
screen_20260910,upper_only,syn_2000sku_seed1003,4000,TIGHT,delta,0.01,2000,1,1,0,0,0,0,0,1,0.0,1,6.53025,1,0.0,1,0.00488550446417329,1
screen_20260910,upper_only,syn_500sku_seed1001,250,HIST,delta,0.01,500,1,1,0,0,0,0,0,0,0.7302611510595389,1,3.972,1,0.0,1,0.009993276773119668,1
screen_20260910,upper_only,syn_500sku_seed1001,250,HIST+ACT,delta,0.01,500,1,1,0,0,0,0,0,0,0.7302611510595389,1,3.972,1,0.0,1,0.009993276773119668,1
screen_20260910,upper_only,syn_500sku_seed1001,250,NOM,delta,0.01,500,1,1,0,0,0,0,0,0,1.1360797016784925,1,3.648,1,0.0,1,0.009981329460925229,1
screen_20260910,upper_only,syn_500sku_seed1001,250,TIGHT,delta,0.01,500,1,1,0,0,0,0,0,0,0.9316886375535577,1,3.648,1,0.0,1,0.004421657825326735,1
screen_20260910,upper_only,syn_500sku_seed1001,500,HIST,delta,0.01,500,1,1,0,0,0,0,0,0,0.09009908937718317,1,3.704,1,0.0,1,0.009928999029205625,1
screen_20260910,upper_only,syn_500sku_seed1001,500,HIST+ACT,delta,0.01,500,1,1,0,0,0,0,0,0,0.09009908937718317,1,3.704,1,0.0,1,0.009928999029205625,1
screen_20260910,upper_only,syn_500sku_seed1001,500,NOM,delta,0.01,500,1,1,0,0,0,0,0,0,1.7092364185477842,1,3.66,1,0.0,1,0.009981329460925229,1
screen_20260910,upper_only,syn_500sku_seed1001,500,TIGHT,delta,0.01,500,1,1,0,0,0,0,0,0,0.6090611652254866,1,3.618,1,0.0,1,0.004421657825326735,1
screen_20260910,upper_only,syn_500sku_seed1001,1000,HIST,delta,0.01,500,1,1,0,0,0,0,0,1,0.0,1,3.71,1,0.0,1,0.009799360793058957,1
screen_20260910,upper_only,syn_500sku_seed1001,1000,HIST+ACT,delta,0.01,500,1,1,0,0,0,0,0,1,0.0,1,3.71,1,0.0,1,0.009799360793058957,1
screen_20260910,upper_only,syn_500sku_seed1001,1000,NOM,delta,0.01,500,1,1,0,0,0,0,0,0,0.8491676473245777,1,3.691,1,0.0,1,0.009981329460925229,1
screen_20260910,upper_only,syn_500sku_seed1001,1000,TIGHT,delta,0.01,500,1,1,0,0,0,0,0,0,0.04415870278074945,1,3.665,1,0.0,1,0.004421657825326735,1
screen_20260910,upper_only,syn_500sku_seed1002,250,HIST,delta,0.01,500,1,1,0,0,0,0,0,0,0.9034427924143483,1,3.94,1,0.0,1,0.00998848707412413,1
screen_20260910,upper_only,syn_500sku_seed1002,250,HIST+ACT,delta,0.01,500,1,1,0,0,0,0,0,0,0.9034427924143483,1,3.94,1,0.0,1,0.00998848707412413,1
screen_20260910,upper_only,syn_500sku_seed1002,250,NOM,delta,0.01,500,1,1,0,0,0,0,0,0,0.4240517966977048,1,3.7,1,0.0,1,0.009774610585521017,1
screen_20260910,upper_only,syn_500sku_seed1002,250,TIGHT,delta,0.01,500,1,1,0,0,0,0,0,0,0.304886632306639,1,3.772,1,0.0,1,0.003358315927427612,1
screen_20260910,upper_only,syn_500sku_seed1002,500,HIST,delta,0.01,500,1,1,0,0,0,0,0,1,0.0,1,3.818,1,0.0,1,0.009827121390583912,1
screen_20260910,upper_only,syn_500sku_seed1002,500,HIST+ACT,delta,0.01,500,1,1,0,0,0,0,0,1,0.0,1,3.818,1,0.0,1,0.009827121390583912,1
screen_20260910,upper_only,syn_500sku_seed1002,500,NOM,delta,0.01,500,1,1,0,0,0,0,0,0,0.4036091756218027,1,3.716,1,0.0,1,0.009774610585521017,1
screen_20260910,upper_only,syn_500sku_seed1002,500,TIGHT,delta,0.01,500,1,1,0,0,0,0,0,1,0.0,1,3.77,1,0.0,1,0.003358315927427612,1
screen_20260910,upper_only,syn_500sku_seed1002,1000,HIST,delta,0.01,500,1,1,0,0,0,0,0,0,0.46981991237146276,1,3.697,1,0.0,1,0.009975425852056656,1
screen_20260910,upper_only,syn_500sku_seed1002,1000,HIST+ACT,delta,0.01,500,1,1,0,0,0,0,0,0,0.46981991237146276,1,3.697,1,0.0,1,0.009975425852056656,1
screen_20260910,upper_only,syn_500sku_seed1002,1000,NOM,delta,0.01,500,1,1,0,0,0,0,0,1,0.0,1,3.685,1,0.0,1,0.009774610585521017,1
screen_20260910,upper_only,syn_500sku_seed1002,1000,TIGHT,delta,0.01,500,1,1,0,0,0,0,0,0,0.00899041928390517,1,3.709,1,0.0,1,0.003358315927427612,1
screen_20260910,upper_only,syn_500sku_seed1003,250,HIST,delta,0.01,500,1,1,0,0,0,0,0,1,0.0,1,3.956,1,0.0,1,0.009980524566799867,1
screen_20260910,upper_only,syn_500sku_seed1003,250,HIST+ACT,delta,0.01,500,1,1,0,0,0,0,0,1,0.0,1,3.956,1,0.0,1,0.009980524566799867,1
screen_20260910,upper_only,syn_500sku_seed1003,250,NOM,delta,0.01,500,1,1,0,0,0,0,0,0,1.9423799934006873,1,3.824,1,0.0,1,0.009940743847223193,1
screen_20260910,upper_only,syn_500sku_seed1003,250,TIGHT,delta,0.01,500,1,1,0,0,0,0,0,0,1.5058042577930724,1,3.916,1,0.0,1,0.004939307099089024,1
screen_20260910,upper_only,syn_500sku_seed1003,500,HIST,delta,0.01,500,1,1,0,0,0,0,0,0,0.25146837814169587,1,3.896,1,0.0,1,0.009912927104113116,1
screen_20260910,upper_only,syn_500sku_seed1003,500,HIST+ACT,delta,0.01,500,1,1,0,0,0,0,0,0,0.25146837814169587,1,3.896,1,0.0,1,0.009912927104113116,1
screen_20260910,upper_only,syn_500sku_seed1003,500,NOM,delta,0.01,500,1,1,0,0,0,0,0,0,0.8529118424560503,1,3.786,1,0.0,1,0.009940743847223193,1
screen_20260910,upper_only,syn_500sku_seed1003,500,TIGHT,delta,0.01,500,1,1,0,0,0,0,0,1,0.0,1,3.866,1,0.0,1,0.004939307099089024,1
screen_20260910,upper_only,syn_500sku_seed1003,1000,HIST,delta,0.01,500,1,1,0,0,0,0,0,0,0.2989000831864663,1,3.805,1,0.0,1,0.008493822944709729,1
screen_20260910,upper_only,syn_500sku_seed1003,1000,HIST+ACT,delta,0.01,500,1,1,0,0,0,0,0,0,0.2989000831864663,1,3.805,1,0.0,1,0.008493822944709729,1
screen_20260910,upper_only,syn_500sku_seed1003,1000,NOM,delta,0.01,500,1,1,0,0,0,0,0,0,0.35149130409280843,1,3.724,1,0.0,1,0.009940743847223193,1
screen_20260910,upper_only,syn_500sku_seed1003,1000,TIGHT,delta,0.01,500,1,1,0,0,0,0,0,1,0.0,1,3.834,1,0.0,1,0.004939307099089024,1
screen_20260910,upper_only,syn_500sku_seed1004,250,HIST,delta,0.01,500,1,1,0,0,0,0,0,1,0.0,1,4.036,1,0.0,1,0.0099299363518614,1
screen_20260910,upper_only,syn_500sku_seed1004,250,HIST+ACT,delta,0.01,500,1,1,0,0,0,0,0,1,0.0,1,4.036,1,0.0,1,0.0099299363518614,1
screen_20260910,upper_only,syn_500sku_seed1004,250,NOM,delta,0.01,500,1,1,0,0,0,0,0,0,1.5311118057027433,1,3.668,1,0.0,1,0.009983941491697089,1
screen_20260910,upper_only,syn_500sku_seed1004,250,TIGHT,delta,0.01,500,1,1,0,0,0,0,0,0,0.6217497297827727,1,3.704,1,0.0,1,0.00450480251643441,1
screen_20260910,upper_only,syn_500sku_seed1004,500,HIST,delta,0.01,500,1,1,0,0,0,0,0,1,0.0,1,3.822,1,0.0,1,0.00994797103671734,1
screen_20260910,upper_only,syn_500sku_seed1004,500,HIST+ACT,delta,0.01,500,1,1,0,0,0,0,0,1,0.0,1,3.822,1,0.0,1,0.00994797103671734,1
screen_20260910,upper_only,syn_500sku_seed1004,500,NOM,delta,0.01,500,1,1,0,0,0,0,0,0,1.6433696810742269,1,3.656,1,0.0,1,0.009983941491697089,1
