ORDER,PRODUCT_LIST
8076723106,"['129907', '142454', '147092-10', '329068-5', '48007-100', '48008-100', '906964']"
8076723107,"['33246-50', '33249-50', '421225-10', '560855-1000', '560863-1000']"
8076723108,"['153070-12', '169896-100', '209101', '23262-200', '245359-15', '409930', '424218-12', '43246-24', '6471-100', '6473-100', '6474-100']"
8076723109,['213304']
8076723110,"['1000531-6', '154148-10', '171082-10', '188125', '632937-100', '632953-100', '98185-10', '98188-10']"
8076723111,"['102250-7100', '188154', '188159', '213488', '213496', '213991-250', '370463-100', '40874-6', '40875-6', '40876-6', '97356-100']"
8076723112,"['104401', '123632-100', '129648-6', '248624', '32386', '352139-5', '352167-10', '352173-10', '420477']"
8076723113,"['101026', '109424-100', '334790', '368275', '409458', '409460']"
8076723114,['404469-100']
8076723115,['40876-6']
8076723116,"['114700-5000', '161101-25', '368038-12', '424398-6', '52118']"
8076723117,"['18497', '200437', '240308', '333685']"
8076723118,['305367']
8076723119,"['155950', '213465-5', '213479-5', '213487-10', '219188', '271705-100', '343856-10', '343857-10', '356700-100', '39911-200', '410009-100', '854588-100']"
8076723120,['337832']
8076723121,"['103480-12', '131274-10', '131289-10', '28873-250', '409522-2', '42088-25']"
8076723123,['371741']
8076723124,"['102545', '102546', '102574', '104057', '128892-100', '217679-200', '24506-200', '30680-500', '339281', '341203-25', '48007-200']"
8076723125,"['218429', '406478']"
8076723126,"['1000673-3', '1000677-3', '1000681-3', '1000685', '158089-12', '240006', '369954-100', '369974-100', '59289', '975799-25']"
8076723127,['38278']
8076723128,"['107399-100', '540838-100', '86594-500']"
8076723129,"['52683-15', '92297-6']"
8076723130,"['157958-100', '43241-12', '43246-24']"
8076723131,['370498']
8076723132,"['112477-10', '138605', '146762-6', '206958', '210480', '372722', '372737']"
8076723133,"['103866', '147459', '372411-25', '409965-1000', '409967-500', '410013-100', '410015-100']"
8076723136,"['114254-20', '114255-20']"
8076723138,"['159371', '213465-10', '215682-200', '240066-50', '38291']"
8076723139,['408141-24']
8076723140,"['1004640', '175740', '243193', '343968-12', '399269-12', '840769']"
8076723141,['6424-100']
8076723142,"['219321', '242607', '407547-12']"
8076723143,['215650-12']
8076723144,['199810']
8076723145,"['201071', '367176']"
8076723146,"['242700', '243193']"
8076723147,"['147435', '217896', '217897', '337798']"
8076723148,"['175741', '59621-10', '59622-10', '59625-12']"
8076723149,['371256']
8076723150,"['242589', '409643']"
8076723151,"['200782', '210480', '244618', '916004']"
8076723152,"['114054', '131289-10', '200619', '40875-6', '40877-6']"
8076723154,"['80589-50', '99492-50']"
8076723155,['411328']
8076723156,"['340645', '42654']"
8076723157,"['129284', '344101', '46639-25', '6505-50']"
8076723159,"['118256-50', '38304-10', '40875-6']"
8076723160,"['129903', '857386-10']"
8076723161,['106634']
8076723162,"['113819-50', '213458-10', '213506', '370494', '406853', '409967-500', '409969-500', '409971-400', '409973-200', '43117']"
8076723164,['148605-15']
8076723166,['200559']
8076723168,['243911-25']
8076723170,"['30673', '370213', '370492', '405732', '413504', '413507', '857386-10']"
8076723171,['5302']
8076723172,['100518']
8076723174,"['105244-100', '21036-100', '59289']"
8076723176,['45712']
8076723177,"['111734-100', '13153-100', '165750', '206956', '275794-100', '333617-15', '413120-15']"
8076723178,['210478']
8076723179,"['114700-5000', '335506', '412920-400']"
8076723181,['57607']
8076723182,"['188889-100', '23545-200', '372049-500', '87065-100']"
8076723183,['372571-15']
8076723184,['406788']
8076723185,"['367373-2', '405361-100', '98027-100']"
8076723186,"['371994-25', '936811-500']"
8076723187,['46680']
8076723188,"['112475-10', '154130-10', '181650-10', '198181', '198707', '38501', '411547', '411548', '52060', '98188-10']"
8076723190,"['129778-100', '335506', '54269-5', '58635-200']"
8076723192,"['410013-100', '410015-100', '87046-400', '87052-500', '87065-100']"
8076723193,['412917']
8076723194,"['366076-12', '82767-100']"
8076723195,"['175658', '188124']"
8076723196,"['118260-100', '133369', '133397', '138321', '219137', '219141', '23259-500', '335506', '371099-25', '38278', '48006-100', '50861-25']"
8076723197,['407546-12']
8076723198,['369783']
8076723199,"['1000295', '100391-10', '144425', '217818-1000', '218955-100', '369986-100', '399490-10', '410478-15', '811220-50']"
8076723200,"['1000382', '147092-10', '155686', '370494', '371751', '372003', '372017', '408795', '422610', '52860-6']"
8076723201,"['188082', '188086', '188102', '200453', '370499', '371224', '411535']"
8076723202,"['156353', '208895', '217897', '218898-10']"
8076723204,['1001898-30']
8076723205,['12998']
8076723206,"['1001698', '341628-15', '415333-30', '6437-20']"
8076723207,"['129778-100', '129781-100', '129782-100', '15-208005', '413329-100', '48007-200', '48008-500', '54262-10', '54266-10', '59288', '91181-100', '91182-100']"
8076723208,"['218909-10', '50908-10']"
8076723209,"['103480-12', '131279-10', '50897-10']"
8076723212,"['147734-15', '366833', '414186-24', '414705']"
