,p1,p2,cnt_left,cnt,freq_ratio
13427036,1002395,1002396,495,173,0.34949494949494947
13427038,1002395,1002396,495,173,0.34949494949494947
13427040,1002395,1002396,495,173,0.34949494949494947
13427042,1002395,1002396,495,173,0.34949494949494947
10792320,1002395,1002396,495,173,0.34949494949494947
12053056,1002395,1002396,495,173,0.34949494949494947
10714650,1002395,1002396,495,173,0.34949494949494947
10698742,1002395,1002396,495,173,0.34949494949494947
10768674,1002395,1002396,495,173,0.34949494949494947
10699682,1002395,1002396,495,173,0.34949494949494947
10739126,1002395,1002396,495,173,0.34949494949494947
10699848,1002395,1002396,495,173,0.34949494949494947
10751182,1002395,1002396,495,173,0.34949494949494947
10700454,1002395,1002396,495,173,0.34949494949494947
10738390,1002395,1002396,495,173,0.34949494949494947
10768654,1002395,1002396,495,173,0.34949494949494947
10740108,1002395,1002396,495,173,0.34949494949494947
10700494,1002395,1002396,495,173,0.34949494949494947
10783632,1002395,1002396,495,173,0.34949494949494947
10738366,1002395,1002396,495,173,0.34949494949494947
10700578,1002395,1002396,495,173,0.34949494949494947
10768610,1002395,1002396,495,173,0.34949494949494947
10737536,1002395,1002396,495,173,0.34949494949494947
10700666,1002395,1002396,495,173,0.34949494949494947
10720708,1002395,1002396,495,173,0.34949494949494947
10720676,1002395,1002396,495,173,0.34949494949494947
10700790,1002395,1002396,495,173,0.34949494949494947
10783412,1002395,1002396,495,173,0.34949494949494947
10739216,1002395,1002396,495,173,0.34949494949494947
10718232,1002395,1002396,495,173,0.34949494949494947
10750854,1002395,1002396,495,173,0.34949494949494947
10607660,1002395,1002396,495,173,0.34949494949494947
10608390,1002395,1002396,495,173,0.34949494949494947
10582716,1002395,1002396,495,173,0.34949494949494947
10739820,1002395,1002396,495,173,0.34949494949494947
10740570,1002395,1002396,495,173,0.34949494949494947
10769852,1002395,1002396,495,173,0.34949494949494947
10582636,1002395,1002396,495,173,0.34949494949494947
10769450,1002395,1002396,495,173,0.34949494949494947
10770264,1002395,1002396,495,173,0.34949494949494947
10740686,1002395,1002396,495,173,0.34949494949494947
10608584,1002395,1002396,495,173,0.34949494949494947
10768920,1002395,1002396,495,173,0.34949494949494947
10770860,1002395,1002396,495,173,0.34949494949494947
10750542,1002395,1002396,495,173,0.34949494949494947
10739476,1002395,1002396,495,173,0.34949494949494947
10750658,1002395,1002396,495,173,0.34949494949494947
10698624,1002395,1002396,495,173,0.34949494949494947
10783194,1002395,1002396,495,173,0.34949494949494947
10768786,1002395,1002396,495,173,0.34949494949494947
10768598,1002395,1002396,495,173,0.34949494949494947
10769566,1002395,1002396,495,173,0.34949494949494947
10791438,1002395,1002396,495,173,0.34949494949494947
10717162,1002395,1002396,495,173,0.34949494949494947
10713388,1002395,1002396,495,173,0.34949494949494947
10768142,1002395,1002396,495,173,0.34949494949494947
10717246,1002395,1002396,495,173,0.34949494949494947
10712644,1002395,1002396,495,173,0.34949494949494947
10715190,1002395,1002396,495,173,0.34949494949494947
10717758,1002395,1002396,495,173,0.34949494949494947
10713908,1002395,1002396,495,173,0.34949494949494947
10716660,1002395,1002396,495,173,0.34949494949494947
10754994,1002395,1002396,495,173,0.34949494949494947
10716808,1002395,1002396,495,173,0.34949494949494947
10714732,1002395,1002396,495,173,0.34949494949494947
10768550,1002395,1002396,495,173,0.34949494949494947
10714130,1002395,1002396,495,173,0.34949494949494947
10701190,1002395,1002396,495,173,0.34949494949494947
10767626,1002395,1002396,495,173,0.34949494949494947
10717874,1002395,1002396,495,173,0.34949494949494947
10717172,1002395,1002396,495,173,0.34949494949494947
10784456,1002395,1002396,495,173,0.34949494949494947
10714920,1002395,1002396,495,173,0.34949494949494947
12060509,1002396,1002395,496,173,0.3487903225806452
10768923,1002396,1002395,496,173,0.3487903225806452
13427535,1002396,1002395,496,173,0.3487903225806452
12335583,1002396,1002395,496,173,0.3487903225806452
12146100,1002396,1002395,496,173,0.3487903225806452
10750545,1002396,1002395,496,173,0.3487903225806452
13427533,1002396,1002395,496,173,0.3487903225806452
12148513,1002396,1002395,496,173,0.3487903225806452
10740689,1002396,1002395,496,173,0.3487903225806452
10750661,1002396,1002395,496,173,0.3487903225806452
10768145,1002396,1002395,496,173,0.3487903225806452
12353227,1002396,1002395,496,173,0.3487903225806452
10768789,1002396,1002395,496,173,0.3487903225806452
12060507,1002396,1002395,496,173,0.3487903225806452
10714132,1002396,1002395,496,173,0.3487903225806452
13457731,1002396,1002395,496,173,0.3487903225806452
13427537,1002396,1002395,496,173,0.3487903225806452
12053040,1002396,1002395,496,173,0.3487903225806452
10740111,1002396,1002395,496,173,0.3487903225806452
10582718,1002396,1002395,496,173,0.3487903225806452
12053046,1002396,1002395,496,173,0.3487903225806452
12053052,1002396,1002395,496,173,0.3487903225806452
13427543,1002396,1002395,496,173,0.3487903225806452
10767629,1002396,1002395,496,173,0.3487903225806452
13427541,1002396,1002395,496,173,0.3487903225806452
10582638,1002396,1002395,496,173,0.3487903225806452
10740573,1002396,1002395,496,173,0.3487903225806452
12053058,1002396,1002395,496,173,0.3487903225806452
13457729,1002396,1002395,496,173,0.3487903225806452
12053076,1002396,1002395,496,173,0.3487903225806452
10769453,1002396,1002395,496,173,0.3487903225806452
12053322,1002396,1002395,496,173,0.3487903225806452
12053400,1002396,1002395,496,173,0.3487903225806452
12355358,1002396,1002395,496,173,0.3487903225806452
12055002,1002396,1002395,496,173,0.3487903225806452
12059607,1002396,1002395,496,173,0.3487903225806452
13427539,1002396,1002395,496,173,0.3487903225806452
10750857,1002396,1002395,496,173,0.3487903225806452
12356564,1002396,1002395,496,173,0.3487903225806452
13427531,1002396,1002395,496,173,0.3487903225806452
13457751,1002396,1002395,496,173,0.3487903225806452
13427049,1002396,1002395,496,173,0.3487903225806452
13410367,1002396,1002395,496,173,0.3487903225806452
10768553,1002396,1002395,496,173,0.3487903225806452
13457747,1002396,1002395,496,173,0.3487903225806452
13410369,1002396,1002395,496,173,0.3487903225806452
10768613,1002396,1002395,496,173,0.3487903225806452
13427047,1002396,1002395,496,173,0.3487903225806452
13410371,1002396,1002395,496,173,0.3487903225806452
13410373,1002396,1002395,496,173,0.3487903225806452
13410375,1002396,1002395,496,173,0.3487903225806452
13427045,1002396,1002395,496,173,0.3487903225806452
13457745,1002396,1002395,496,173,0.3487903225806452
13410377,1002396,1002395,496,173,0.3487903225806452
13457743,1002396,1002395,496,173,0.3487903225806452
13427037,1002396,1002395,496,173,0.3487903225806452
10768601,1002396,1002395,496,173,0.3487903225806452
13427039,1002396,1002395,496,173,0.3487903225806452
13427043,1002396,1002395,496,173,0.3487903225806452
13410365,1002396,1002395,496,173,0.3487903225806452
13410363,1002396,1002395,496,173,0.3487903225806452
12958963,1002396,1002395,496,173,0.3487903225806452
12473699,1002396,1002395,496,173,0.3487903225806452
12357646,1002396,1002395,496,173,0.3487903225806452
13457733,1002396,1002395,496,173,0.3487903225806452
13427041,1002396,1002395,496,173,0.3487903225806452
12358630,1002396,1002395,496,173,0.3487903225806452
13427529,1002396,1002395,496,173,0.3487903225806452
15810325,1002396,1002395,496,173,0.3487903225806452
12376982,1002396,1002395,496,173,0.3487903225806452
10768677,1002396,1002395,496,173,0.3487903225806452
10754997,1002396,1002395,496,173,0.3487903225806452
13427051,1002396,1002395,496,173,0.3487903225806452
15560251,1002396,1002395,496,173,0.3487903225806452
12892701,1002396,1002395,496,173,0.3487903225806452
10791781,1002396,1002395,496,173,0.3487903225806452
12897281,1002396,1002395,496,173,0.3487903225806452
13427527,1002396,1002395,496,173,0.3487903225806452
13457741,1002396,1002395,496,173,0.3487903225806452
13726368,1002396,1002395,496,173,0.3487903225806452
10768657,1002396,1002395,496,173,0.3487903225806452
10751185,1002396,1002395,496,173,0.3487903225806452
12010774,1002396,1002395,496,173,0.3487903225806452
10794863,1002396,1002395,496,173,0.3487903225806452
10783635,1002396,1002395,496,173,0.3487903225806452
10793939,1002396,1002395,496,173,0.3487903225806452
10700792,1002396,1002395,496,173,0.3487903225806452
10718233,1002396,1002395,496,173,0.3487903225806452
10794171,1002396,1002395,496,173,0.3487903225806452
10720677,1002396,1002395,496,173,0.3487903225806452
10700668,1002396,1002395,496,173,0.3487903225806452
10794195,1002396,1002395,496,173,0.3487903225806452
10720709,1002396,1002395,496,173,0.3487903225806452
10737539,1002396,1002395,496,173,0.3487903225806452
10794291,1002396,1002395,496,173,0.3487903225806452
10700580,1002396,1002395,496,173,0.3487903225806452
10794381,1002396,1002395,496,173,0.3487903225806452
10739129,1002396,1002395,496,173,0.3487903225806452
10700496,1002396,1002395,496,173,0.3487903225806452
10794727,1002396,1002395,496,173,0.3487903225806452
10738369,1002396,1002395,496,173,0.3487903225806452
10794739,1002396,1002395,496,173,0.3487903225806452
10700456,1002396,1002395,496,173,0.3487903225806452
10699850,1002396,1002395,496,173,0.3487903225806452
10794843,1002396,1002395,496,173,0.3487903225806452
10738393,1002396,1002395,496,173,0.3487903225806452
10699684,1002396,1002395,496,173,0.3487903225806452
12052904,1002396,1002395,496,173,0.3487903225806452
10783415,1002396,1002395,496,173,0.3487903225806452
10717876,1002396,1002395,496,173,0.3487903225806452
10793923,1002396,1002395,496,173,0.3487903225806452
10784459,1002396,1002395,496,173,0.3487903225806452
10717760,1002396,1002395,496,173,0.3487903225806452
10714652,1002396,1002395,496,173,0.3487903225806452
10714734,1002396,1002395,496,173,0.3487903225806452
10792323,1002396,1002395,496,173,0.3487903225806452
10713910,1002396,1002395,496,173,0.3487903225806452
16724557,1002396,1002395,496,173,0.3487903225806452
16724555,1002396,1002395,496,173,0.3487903225806452
10792349,1002396,1002395,496,173,0.3487903225806452
10714922,1002396,1002395,496,173,0.3487903225806452
10715192,1002396,1002395,496,173,0.3487903225806452
10791441,1002396,1002395,496,173,0.3487903225806452
10792367,1002396,1002395,496,173,0.3487903225806452
10716662,1002396,1002395,496,173,0.3487903225806452
10793575,1002396,1002395,496,173,0.3487903225806452
10713390,1002396,1002395,496,173,0.3487903225806452
10716810,1002396,1002395,496,173,0.3487903225806452
10793695,1002396,1002395,496,173,0.3487903225806452
10717164,1002396,1002395,496,173,0.3487903225806452
10712646,1002396,1002395,496,173,0.3487903225806452
10793771,1002396,1002395,496,173,0.3487903225806452
10717174,1002396,1002395,496,173,0.3487903225806452
10717248,1002396,1002395,496,173,0.3487903225806452
10793803,1002396,1002395,496,173,0.3487903225806452
10701192,1002396,1002395,496,173,0.3487903225806452
10794877,1002396,1002395,496,173,0.3487903225806452
13457727,1002396,1002395,496,173,0.3487903225806452
10698744,1002396,1002395,496,173,0.3487903225806452
12010352,1002396,1002395,496,173,0.3487903225806452
10770863,1002396,1002395,496,173,0.3487903225806452
11958200,1002396,1002395,496,173,0.3487903225806452
10608586,1002396,1002395,496,173,0.3487903225806452
11975848,1002396,1002395,496,173,0.3487903225806452
10739479,1002396,1002395,496,173,0.3487903225806452
11976188,1002396,1002395,496,173,0.3487903225806452
11996366,1002396,1002395,496,173,0.3487903225806452
10770267,1002396,1002395,496,173,0.3487903225806452
11997328,1002396,1002395,496,173,0.3487903225806452
12000340,1002396,1002395,496,173,0.3487903225806452
12010430,1002396,1002395,496,173,0.3487903225806452
11956228,1002396,1002395,496,173,0.3487903225806452
10608392,1002396,1002395,496,173,0.3487903225806452
12010594,1002396,1002395,496,173,0.3487903225806452
10769855,1002396,1002395,496,173,0.3487903225806452
12031171,1002396,1002395,496,173,0.3487903225806452
12033165,1002396,1002395,496,173,0.3487903225806452
10739823,1002396,1002395,496,173,0.3487903225806452
12034289,1002396,1002395,496,173,0.3487903225806452
12051720,1002396,1002395,496,173,0.3487903225806452
10607662,1002396,1002395,496,173,0.3487903225806452
10769569,1002396,1002395,496,173,0.3487903225806452
11957457,1002396,1002395,496,173,0.3487903225806452
11957862,1002396,1002395,496,173,0.3487903225806452
11908909,1002396,1002395,496,173,0.3487903225806452
11938996,1002396,1002395,496,173,0.3487903225806452
10783197,1002396,1002395,496,173,0.3487903225806452
10698626,1002396,1002395,496,173,0.3487903225806452
11909161,1002396,1002395,496,173,0.3487903225806452
10739219,1002396,1002395,496,173,0.3487903225806452
11908879,1002396,1002395,496,173,0.3487903225806452
11939644,1002396,1002395,496,173,0.3487903225806452
11060752,1002396,1002395,496,173,0.3487903225806452
10750861,1003668,1002396,188,64,0.3404255319148936
10740114,1003668,1002395,188,64,0.3404255319148936
10755000,1003668,1002395,188,64,0.3404255319148936
10739483,1003668,1002396,188,64,0.3404255319148936
10740115,1003668,1002396,188,64,0.3404255319148936
10738397,1003668,1002396,188,64,0.3404255319148936
10739826,1003668,1002395,188,64,0.3404255319148936
10738396,1003668,1002395,188,64,0.3404255319148936
10755001,1003668,1002396,188,64,0.3404255319148936
10750860,1003668,1002395,188,64,0.3404255319148936
13726371,1003668,1002396,188,64,0.3404255319148936
13726370,1003668,1002395,188,64,0.3404255319148936
10739133,1003668,1002396,188,64,0.3404255319148936
10750549,1003668,1002396,188,64,0.3404255319148936
10739222,1003668,1002395,188,64,0.3404255319148936
10739482,1003668,1002395,188,64,0.3404255319148936
10739223,1003668,1002396,188,64,0.3404255319148936
10750548,1003668,1002395,188,64,0.3404255319148936
10737542,1003668,1002395,188,64,0.3404255319148936
10751189,1003668,1002396,188,64,0.3404255319148936
10739132,1003668,1002395,188,64,0.3404255319148936
10737543,1003668,1002396,188,64,0.3404255319148936
10750664,1003668,1002395,188,64,0.3404255319148936
10750665,1003668,1002396,188,64,0.3404255319148936
10740693,1003668,1002396,188,64,0.3404255319148936
10740692,1003668,1002395,188,64,0.3404255319148936
10738372,1003668,1002395,188,64,0.3404255319148936
10738373,1003668,1002396,188,64,0.3404255319148936
10740577,1003668,1002396,188,64,0.3404255319148936
10740576,1003668,1002395,188,64,0.3404255319148936
10751188,1003668,1002395,188,64,0.3404255319148936
10739827,1003668,1002396,188,64,0.3404255319148936
10791445,1003668,1002396,188,64,0.3404255319148936
10768557,1003668,1002396,188,64,0.3404255319148936
10794295,1003668,1002396,188,64,0.3404255319148936
12051723,1003668,1002396,188,64,0.3404255319148936
12052906,1003668,1002395,188,64,0.3404255319148936
10794294,1003668,1002395,188,64,0.3404255319148936
12052907,1003668,1002396,188,64,0.3404255319148936
12053042,1003668,1002395,188,64,0.3404255319148936
12053043,1003668,1002396,188,64,0.3404255319148936
10769457,1003668,1002396,188,64,0.3404255319148936
12053048,1003668,1002395,188,64,0.3404255319148936
12053049,1003668,1002396,188,64,0.3404255319148936
10769456,1003668,1002395,188,64,0.3404255319148936
10794199,1003668,1002396,188,64,0.3404255319148936
12053054,1003668,1002395,188,64,0.3404255319148936
12053055,1003668,1002396,188,64,0.3404255319148936
10794198,1003668,1002395,188,64,0.3404255319148936
10783638,1003668,1002395,188,64,0.3404255319148936
10794175,1003668,1002396,188,64,0.3404255319148936
10768927,1003668,1002396,188,64,0.3404255319148936
10794174,1003668,1002395,188,64,0.3404255319148936
10768926,1003668,1002395,188,64,0.3404255319148936
10794866,1003668,1002395,188,64,0.3404255319148936
10783639,1003668,1002396,188,64,0.3404255319148936
10793943,1003668,1002396,188,64,0.3404255319148936
12059610,1003668,1002395,188,64,0.3404255319148936
12051722,1003668,1002395,188,64,0.3404255319148936
10794384,1003668,1002395,188,64,0.3404255319148936
10793927,1003668,1002396,188,64,0.3404255319148936
10769572,1003668,1002395,188,64,0.3404255319148936
10794847,1003668,1002396,188,64,0.3404255319148936
10794880,1003668,1002395,188,64,0.3404255319148936
10794881,1003668,1002396,188,64,0.3404255319148936
11060754,1003668,1002395,188,64,0.3404255319148936
11060755,1003668,1002396,188,64,0.3404255319148936
10783201,1003668,1002396,188,64,0.3404255319148936
10794846,1003668,1002395,188,64,0.3404255319148936
10783200,1003668,1002395,188,64,0.3404255319148936
10783418,1003668,1002395,188,64,0.3404255319148936
10767632,1003668,1002395,188,64,0.3404255319148936
10794743,1003668,1002396,188,64,0.3404255319148936
10770867,1003668,1002396,188,64,0.3404255319148936
10770866,1003668,1002395,188,64,0.3404255319148936
10794742,1003668,1002395,188,64,0.3404255319148936
10770271,1003668,1002396,188,64,0.3404255319148936
10770270,1003668,1002395,188,64,0.3404255319148936
10783419,1003668,1002396,188,64,0.3404255319148936
10794731,1003668,1002396,188,64,0.3404255319148936
10794730,1003668,1002395,188,64,0.3404255319148936
10769859,1003668,1002396,188,64,0.3404255319148936
10769858,1003668,1002395,188,64,0.3404255319148936
10769573,1003668,1002396,188,64,0.3404255319148936
10794385,1003668,1002396,188,64,0.3404255319148936
10793942,1003668,1002395,188,64,0.3404255319148936
10794867,1003668,1002396,188,64,0.3404255319148936
12059611,1003668,1002396,188,64,0.3404255319148936
