,Product,Community
0,87059-150,67.0
0,87056-200,67.0
0,370498,68.0
0,370499,68.0
0,109437,69.0
0,109441,69.0
0,155950,70.0
0,156353,70.0
0,187118-20,71.0
0,187120-20,71.0
0,187119-20,71.0
0,58793-10,72.0
0,58794-10,72.0
0,8325-10,73.0
0,8328-10,73.0
0,8332-10,73.0
0,48007-200,74.0
0,48008-500,74.0
0,131254-10,75.0
0,131264-10,75.0
0,131249-10,75.0
0,30679-500,76.0
0,30680-500,76.0
0,6513-25,77.0
0,6521-25,77.0
0,367603-25,78.0
0,367606-25,78.0
0,341013,79.0
0,34582,79.0
0,129903,80.0
0,132042,80.0
0,15-102021,81.0
0,15-245178,81.0
0,1003635,82.0
0,1000260,82.0
0,1002395,83.0
0,1002396,83.0
0,1003668,83.0
0,1002200,83.0
0,15-132460,85.0
0,15-132461,85.0
0,1004911,49.0
