size_n,instance_seed,zeta,config_id,alpha,beta,visits,time_s,cap_broken,wl_broken,n_pstar,n_pairs_kept,n_corr_communities,n_assigned,community_size_max,status
50,1007,10,nominal,nan,5,9422.0,1.35953950881958,0.0,0.0,50.0,902.0,10.0,50.0,5.0,OK
50,1007,10,alpha0.3,0.3,3,9804.0,1.4105112552642822,0.0,0.0,50.0,902.0,17.0,50.0,3.0,OK
50,1007,10,alpha0.4,0.4,4,9410.0,1.0441081523895264,0.0,0.0,50.0,902.0,13.0,50.0,4.0,OK
50,1007,10,alpha0.6,0.6,6,9514.0,0.9601571559906006,0.0,0.0,50.0,902.0,9.0,50.0,6.0,OK
50,1008,10,nominal,nan,5,8364.0,0.8221397399902344,0.0,0.0,50.0,784.0,10.0,50.0,5.0,OK
50,1008,10,alpha0.3,0.3,3,8452.0,0.8297398090362549,0.0,0.0,50.0,784.0,17.0,50.0,3.0,OK
50,1008,10,alpha0.4,0.4,4,8498.0,2.4271905422210693,0.0,0.0,50.0,784.0,13.0,50.0,4.0,OK
50,1008,10,alpha0.6,0.6,6,8544.0,0.885040283203125,0.0,0.0,50.0,784.0,9.0,50.0,6.0,OK
50,1009,10,nominal,nan,5,8428.0,0.9195506572723389,0.0,0.0,50.0,850.0,10.0,50.0,5.0,OK
50,1009,10,alpha0.3,0.3,3,8180.0,0.9087934494018555,0.0,0.0,50.0,850.0,17.0,50.0,3.0,OK
50,1009,10,alpha0.4,0.4,4,8345.0,1.0774147510528564,0.0,0.0,50.0,850.0,13.0,50.0,4.0,OK
50,1009,10,alpha0.6,0.6,6,8215.0,1.5169525146484375,0.0,0.0,50.0,850.0,9.0,50.0,6.0,OK
50,1010,10,nominal,nan,5,8403.0,0.884629487991333,0.0,0.0,50.0,727.0,10.0,50.0,5.0,OK
50,1010,10,alpha0.3,0.3,3,8571.0,0.9508211612701416,0.0,0.0,50.0,727.0,17.0,50.0,3.0,OK
50,1010,10,alpha0.4,0.4,4,8598.0,1.1792166233062744,0.0,0.0,50.0,727.0,13.0,50.0,4.0,OK
50,1010,10,alpha0.6,0.6,6,8381.0,1.2538211345672607,0.0,0.0,50.0,727.0,9.0,50.0,6.0,OK
50,1011,10,nominal,nan,5,6718.0,1.7267367839813232,0.0,0.0,50.0,898.0,10.0,50.0,5.0,OK
50,1011,10,alpha0.3,0.3,3,6772.0,1.8239450454711914,0.0,0.0,50.0,898.0,17.0,50.0,3.0,OK
50,1011,10,alpha0.4,0.4,4,6690.0,1.2139451503753662,0.0,0.0,50.0,898.0,13.0,50.0,4.0,OK
50,1011,10,alpha0.6,0.6,6,6680.0,1.1344289779663086,0.0,0.0,50.0,898.0,9.0,50.0,6.0,OK
50,1012,10,nominal,nan,5,10797.0,1.1102936267852783,0.0,0.0,50.0,712.0,10.0,50.0,5.0,OK
50,1012,10,alpha0.3,0.3,3,10177.0,1.5966989994049072,0.0,0.0,50.0,712.0,17.0,50.0,3.0,OK
50,1012,10,alpha0.4,0.4,4,10588.0,1.357924222946167,0.0,0.0,50.0,712.0,13.0,50.0,4.0,OK
50,1012,10,alpha0.6,0.6,6,10161.0,1.050983190536499,0.0,0.0,50.0,712.0,9.0,50.0,6.0,OK
500,1001,100,nominal,nan,15,88421.0,14.163664817810059,0.0,0.0,500.0,598.0,38.0,500.0,15.0,OK
500,1001,100,alpha0.3,0.3,30,87120.0,23.037569999694824,0.0,0.0,500.0,598.0,33.0,500.0,30.0,OK
500,1001,100,alpha0.4,0.4,40,87367.0,13.54664659500122,0.0,0.0,500.0,598.0,30.0,500.0,40.0,OK
500,1001,100,alpha0.5,0.5,50,88036.0,16.86150050163269,0.0,0.0,500.0,598.0,28.0,500.0,50.0,OK
500,1001,100,alpha0.6,0.6,60,87291.0,15.377129316329956,0.0,0.0,500.0,598.0,30.0,500.0,60.0,OK
500,1002,100,nominal,nan,15,77240.0,12.708228826522827,0.0,0.0,500.0,363.0,38.0,500.0,15.0,OK
500,1002,100,alpha0.3,0.3,30,77051.0,17.204848527908325,0.0,0.0,500.0,363.0,34.0,500.0,30.0,OK
500,1002,100,alpha0.4,0.4,40,76628.0,15.543394088745117,0.0,0.0,500.0,363.0,33.0,500.0,40.0,OK
500,1002,100,alpha0.5,0.5,50,77109.0,15.985811471939087,0.0,0.0,500.0,363.0,32.0,500.0,50.0,OK
500,1002,100,alpha0.6,0.6,60,77051.0,14.434298992156982,0.0,0.0,500.0,363.0,31.0,500.0,60.0,OK
500,1003,100,nominal,nan,15,70851.0,10.481648683547974,0.0,0.0,500.0,837.0,49.0,500.0,15.0,OK
500,1003,100,alpha0.3,0.3,30,70495.0,10.904173135757446,0.0,0.0,500.0,837.0,37.0,500.0,30.0,OK
500,1003,100,alpha0.4,0.4,40,69954.0,17.614459991455078,0.0,0.0,500.0,837.0,34.0,500.0,40.0,OK
500,1003,100,alpha0.5,0.5,50,69841.0,12.616964101791382,0.0,0.0,500.0,837.0,32.0,500.0,50.0,OK
500,1003,100,alpha0.6,0.6,60,69893.0,10.523478507995605,0.0,0.0,500.0,837.0,33.0,500.0,60.0,OK
500,1004,100,nominal,nan,15,87680.0,16.04750967025757,0.0,0.0,500.0,273.0,23.0,500.0,15.0,OK
500,1004,100,alpha0.3,0.3,30,86817.0,15.35278868675232,0.0,0.0,500.0,273.0,21.0,500.0,30.0,OK
500,1004,100,alpha0.4,0.4,40,86967.0,14.036358833312988,0.0,0.0,500.0,273.0,18.0,500.0,40.0,OK
500,1004,100,alpha0.5,0.5,50,87378.0,16.51330590248108,0.0,0.0,500.0,273.0,17.0,500.0,50.0,OK
500,1004,100,alpha0.6,0.6,60,86666.0,17.612428903579712,0.0,0.0,500.0,273.0,16.0,500.0,60.0,OK
500,1005,100,nominal,nan,15,82337.0,10.659867286682129,0.0,0.0,500.0,841.0,43.0,500.0,15.0,OK
500,1005,100,alpha0.3,0.3,30,82248.0,10.398939847946167,0.0,0.0,500.0,841.0,35.0,500.0,30.0,OK
500,1005,100,alpha0.4,0.4,40,82050.0,14.246147632598877,0.0,0.0,500.0,841.0,29.0,500.0,40.0,OK
500,1005,100,alpha0.5,0.5,50,81437.0,12.080641031265259,0.0,0.0,500.0,841.0,25.0,500.0,50.0,OK
500,1005,100,alpha0.6,0.6,60,80810.0,13.860557079315186,0.0,0.0,500.0,841.0,26.0,500.0,60.0,OK
500,1006,100,nominal,nan,15,63846.0,9.99800443649292,0.0,0.0,500.0,1066.0,46.0,500.0,15.0,OK
500,1006,100,alpha0.3,0.3,30,63328.0,9.180982828140259,0.0,0.0,500.0,1066.0,35.0,500.0,30.0,OK
500,1006,100,alpha0.4,0.4,40,63138.0,9.222792148590088,0.0,0.0,500.0,1066.0,30.0,500.0,40.0,OK
500,1006,100,alpha0.5,0.5,50,63418.0,8.891872882843018,0.0,0.0,500.0,1066.0,31.0,500.0,50.0,OK
500,1006,100,alpha0.6,0.6,60,62879.0,9.100178480148315,0.0,0.0,500.0,1066.0,31.0,500.0,60.0,OK
500,1007,100,nominal,nan,15,85725.0,13.078601360321045,0.0,0.0,500.0,806.0,40.0,500.0,15.0,OK
500,1007,100,alpha0.3,0.3,30,84598.0,11.34377646446228,0.0,0.0,500.0,806.0,32.0,500.0,30.0,OK
500,1007,100,alpha0.4,0.4,40,84153.0,12.531104326248169,0.0,0.0,500.0,806.0,25.0,500.0,40.0,OK
500,1007,100,alpha0.5,0.5,50,84801.0,12.195911169052124,0.0,0.0,500.0,806.0,24.0,500.0,50.0,OK
500,1007,100,alpha0.6,0.6,60,84854.0,11.568022966384888,0.0,0.0,500.0,806.0,26.0,500.0,60.0,OK
500,1008,100,nominal,nan,15,95455.0,14.446367979049683,0.0,0.0,500.0,892.0,46.0,500.0,15.0,OK
500,1008,100,alpha0.3,0.3,30,94115.0,15.140718460083008,0.0,0.0,500.0,892.0,40.0,500.0,30.0,OK
500,1008,100,alpha0.4,0.4,40,94281.0,19.025654792785645,0.0,0.0,500.0,892.0,32.0,500.0,40.0,OK
500,1008,100,alpha0.5,0.5,50,94348.0,24.268370151519775,0.0,0.0,500.0,892.0,32.0,500.0,50.0,OK
500,1008,100,alpha0.6,0.6,60,93590.0,15.452025890350342,0.0,0.0,500.0,892.0,28.0,500.0,60.0,OK
500,1009,100,nominal,nan,15,77823.0,20.18150782585144,0.0,0.0,500.0,913.0,41.0,500.0,15.0,OK
500,1009,100,alpha0.3,0.3,30,77684.0,11.365895986557007,0.0,0.0,500.0,913.0,28.0,500.0,30.0,OK
500,1009,100,alpha0.4,0.4,40,78987.0,8.70327615737915,0.0,0.0,500.0,913.0,27.0,500.0,40.0,OK
500,1009,100,alpha0.5,0.5,50,77633.0,8.539087295532227,0.0,0.0,500.0,913.0,26.0,500.0,50.0,OK
500,1009,100,alpha0.6,0.6,60,76785.0,10.365476608276367,0.0,0.0,500.0,913.0,25.0,500.0,60.0,OK
500,1010,100,nominal,nan,15,58658.0,6.532010555267334,0.0,0.0,500.0,594.0,40.0,500.0,15.0,OK
500,1010,100,alpha0.3,0.3,30,58529.0,10.935258626937866,0.0,0.0,500.0,594.0,35.0,500.0,30.0,OK
500,1010,100,alpha0.4,0.4,40,58447.0,6.86499547958374,0.0,0.0,500.0,594.0,32.0,500.0,40.0,OK
500,1010,100,alpha0.5,0.5,50,58435.0,7.400196075439453,0.0,0.0,500.0,594.0,30.0,500.0,50.0,OK
500,1010,100,alpha0.6,0.6,60,58476.0,9.947415351867676,0.0,0.0,500.0,594.0,29.0,500.0,60.0,OK
1000,1001,100,nominal,nan,15,230393.0,19.127212285995483,0.0,0.0,1000.0,1136.0,75.0,1000.0,15.0,OK
1000,1001,100,alpha0.3,0.3,30,227816.0,19.95542573928833,0.0,0.0,1000.0,1136.0,62.0,1000.0,30.0,OK
1000,1001,100,alpha0.4,0.4,40,226369.0,18.018845081329346,0.0,0.0,1000.0,1136.0,54.0,1000.0,40.0,OK
1000,1001,100,alpha0.5,0.5,50,226536.0,29.777522563934326,0.0,0.0,1000.0,1136.0,55.0,1000.0,50.0,OK
1000,1001,100,alpha0.6,0.6,60,228323.0,22.331108331680298,0.0,0.0,1000.0,1136.0,52.0,1000.0,60.0,OK
1000,1002,100,nominal,nan,15,192741.0,18.144516468048096,0.0,0.0,1000.0,839.0,63.0,1000.0,15.0,OK
1000,1002,100,alpha0.3,0.3,30,191860.0,20.35347580909729,0.0,0.0,1000.0,839.0,55.0,1000.0,30.0,OK
1000,1002,100,alpha0.4,0.4,40,190602.0,24.326911687850952,0.0,0.0,1000.0,839.0,52.0,1000.0,40.0,OK
1000,1002,100,alpha0.5,0.5,50,193181.0,23.67504572868347,0.0,0.0,1000.0,839.0,48.0,1000.0,50.0,OK
1000,1002,100,alpha0.6,0.6,60,190641.0,24.687645196914673,0.0,0.0,1000.0,839.0,46.0,1000.0,60.0,OK
1000,1003,100,nominal,nan,15,201197.0,21.924862146377563,0.0,0.0,1000.0,1664.0,81.0,1000.0,15.0,OK
1000,1003,100,alpha0.3,0.3,30,200383.0,15.418474674224854,0.0,0.0,1000.0,1664.0,62.0,1000.0,30.0,OK
1000,1003,100,alpha0.4,0.4,40,199463.0,17.751287937164307,0.0,0.0,1000.0,1664.0,55.0,1000.0,40.0,OK
1000,1003,100,alpha0.5,0.5,50,197800.0,16.735862970352173,0.0,0.0,1000.0,1664.0,53.0,1000.0,50.0,OK
1000,1003,100,alpha0.6,0.6,60,196776.0,15.755960941314697,0.0,0.0,1000.0,1664.0,48.0,1000.0,60.0,OK
1000,1004,100,nominal,nan,15,164252.0,20.97404408454895,0.0,0.0,1000.0,574.0,62.0,1000.0,15.0,OK
1000,1004,100,alpha0.3,0.3,30,162556.0,12.915815830230713,0.0,0.0,1000.0,574.0,58.0,1000.0,30.0,OK
1000,1004,100,alpha0.4,0.4,40,163099.0,21.687851667404175,0.0,0.0,1000.0,574.0,55.0,1000.0,40.0,OK
1000,1004,100,alpha0.5,0.5,50,163849.0,22.27765417098999,0.0,0.0,1000.0,574.0,52.0,1000.0,50.0,OK
1000,1004,100,alpha0.6,0.6,60,164634.0,20.406718015670776,0.0,0.0,1000.0,574.0,54.0,1000.0,60.0,OK
2000,1001,100,nominal,nan,15,415517.0,47.71792721748352,0.0,0.0,2000.0,2341.0,157.0,2000.0,15.0,OK
2000,1001,100,alpha0.3,0.3,30,406898.0,36.51830744743347,0.0,0.0,2000.0,2341.0,124.0,2000.0,30.0,OK
2000,1001,100,alpha0.4,0.4,40,408052.0,40.255380630493164,0.0,0.0,2000.0,2341.0,115.0,2000.0,40.0,OK
2000,1001,100,alpha0.5,0.5,50,404083.0,32.85229754447937,0.0,0.0,2000.0,2341.0,103.0,2000.0,50.0,OK
2000,1001,100,alpha0.6,0.6,60,413091.0,56.35899519920349,0.0,0.0,2000.0,2341.0,106.0,2000.0,60.0,OK
2000,1002,100,nominal,nan,15,562986.0,49.51725769042969,0.0,0.0,2000.0,1565.0,135.0,2000.0,15.0,OK
2000,1002,100,alpha0.3,0.3,30,563104.0,60.66529941558838,0.0,0.0,2000.0,1565.0,116.0,2000.0,30.0,OK
2000,1002,100,alpha0.4,0.4,40,555991.0,65.51220178604126,0.0,0.0,2000.0,1565.0,109.0,2000.0,40.0,OK
2000,1002,100,alpha0.5,0.5,50,561890.0,70.21186399459839,0.0,0.0,2000.0,1565.0,104.0,2000.0,50.0,OK
2000,1002,100,alpha0.6,0.6,60,558831.0,75.74085712432861,0.0,0.0,2000.0,1565.0,99.0,2000.0,60.0,OK
2000,1003,100,nominal,nan,15,474691.0,37.92748284339905,0.0,0.0,2000.0,3360.0,170.0,2000.0,15.0,OK
2000,1003,100,alpha0.3,0.3,30,468175.0,34.5026319026947,0.0,0.0,2000.0,3360.0,132.0,2000.0,30.0,OK
2000,1003,100,alpha0.4,0.4,40,468836.0,37.2760648727417,0.0,0.0,2000.0,3360.0,119.0,2000.0,40.0,OK
2000,1003,100,alpha0.5,0.5,50,466886.0,41.43176770210266,0.0,0.0,2000.0,3360.0,113.0,2000.0,50.0,OK
2000,1003,100,alpha0.6,0.6,60,464858.0,34.89087915420532,0.0,0.0,2000.0,3360.0,109.0,2000.0,60.0,OK
